area_id,area_name,b01001c001,b01001c001_moe,b01001c002,b01001c002_moe,b01001c003,b01001c003_moe,b01001c004,b01001c004_moe,b01001c005,b01001c005_moe,b01001c006,b01001c006_moe,b01001c007,b01001c007_moe,b01001c008,b01001c008_moe,b01001c009,b01001c009_moe,b01001c010,b01001c010_moe,b01001c011,b01001c011_moe,b01001c012,b01001c012_moe,b01001c013,b01001c013_moe,b01001c014,b01001c014_moe,b01001c015,b01001c015_moe,b01001c016,b01001c016_moe,b01001c017,b01001c017_moe,b01001c018,b01001c018_moe,b01001c019,b01001c019_moe,b01001c020,b01001c020_moe,b01001c021,b01001c021_moe,b01001c022,b01001c022_moe,b01001c023,b01001c023_moe,b01001c024,b01001c024_moe,b01001c025,b01001c025_moe,b01001c026,b01001c026_moe,b01001c027,b01001c027_moe,b01001c028,b01001c028_moe,b01001c029,b01001c029_moe,b01001c030,b01001c030_moe,b01001c031,b01001c031_moe
5.1,Madrona/Leschi,87,94,32,40,0,21,0,21,0,21,0,21,0,21,13,28,0,21,0,21,0,21,19,35,0,21,0,21,0,21,0,21,55,88,42,68,0,21,0,21,0,21,0,21,13,24,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
5.2,Judkins Park,10,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,15,0,12,0,12,0,12,0,12,0,12,10,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,73,57,27,34,0,24,0,24,0,24,0,24,0,24,0,24,0,24,15,32,4,22,4,23,4,22,0,24,0,24,0,24,46,49,0,24,0,24,0,24,0,24,0,24,9,25,0,24,9,27,28,45,0,24,0,24,0,24,0,24,0,24
6.1,First Hill,344,185,208,109,0,24,22,41,0,24,1,21,60,78,0,24,0,24,63,47,32,37,0,24,30,53,0,24,0,24,0,24,136,101,51,58,0,24,0,24,0,24,0,24,20,36,13,31,0,24,51,48,1,21,0,24,0,24,0,24,0,24
6.2,Capitol Hill,303,128,154,87,0,29,0,29,0,29,0,29,0,29,0,29,0,29,13,33,0,29,61,75,49,45,31,35,0,29,0,29,149,102,0,29,0,29,0,29,0,29,17,37,21,42,11,31,36,60,17,36,0,29,47,68,0,29,0,29,0,29
6.3,North Capitol Hill,89,130,47,68,0,12,0,12,0,12,0,12,0,12,0,12,0,12,47,68,0,12,0,12,0,12,0,12,0,12,0,12,42,62,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,42,62,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,36,28,18,25,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,18,25,0,17,0,17,0,17,18,22,0,17,0,17,0,17,0,17,0,17,8,17,0,17,10,19,0,17,0,17,0,17,0,17,0,17,0,17
6.5,Madison Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,27,36,15,28,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,15,28,0,21,0,21,0,21,0,21,12,24,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,12,24,0,21,0,21,0,21
7.2,University District,178,133,105,99,0,29,0,29,19,38,0,29,0,29,18,38,46,74,0,29,0,29,22,42,0,29,0,29,0,29,0,29,73,71,0,29,0,29,0,29,0,29,38,55,0,29,0,29,0,29,16,34,0,29,0,29,19,49,0,29,0,29
7.3,Ravenna/Bryant,86,67,63,56,10,33,0,32,0,32,5,31,0,32,9,33,0,32,23,49,16,32,0,32,0,32,0,32,0,32,0,32,23,38,0,32,0,32,0,32,0,32,0,32,15,37,0,32,0,32,8,33,0,32,0,32,0,32,0,32,0,32
7.4,Wedgwood/View Ridge,51,60,30,37,7,28,11,29,0,27,0,27,0,27,0,27,0,27,0,27,0,27,12,31,0,27,0,27,0,27,0,27,21,41,0,27,0,27,10,29,0,27,0,27,0,27,0,27,0,27,0,27,0,27,11,29,0,27,0,27,0,27
7.5,Laurelhurst/Sand Point,30,31,23,23,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,18,21,0,21,5,20,0,21,0,21,0,21,7,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,7,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,216,198,64,76,15,29,20,37,0,24,0,24,0,24,0,24,0,24,0,24,19,35,10,24,0,24,0,24,0,24,0,24,152,130,22,41,19,35,19,35,0,24,0,24,14,28,15,29,21,40,0,24,0,24,27,38,0,24,0,24,15,29
8.2,Olympic Hills/Victory Heights,19,35,10,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,10,24,0,24,0,24,0,24,0,24,9,22,0,24,9,22,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,136,112,64,61,0,27,0,27,0,27,0,27,0,27,33,59,0,27,11,27,0,27,8,27,12,25,0,27,0,27,0,27,72,57,0,27,0,27,0,27,2,24,0,27,0,27,12,28,0,27,29,52,15,28,3,25,0,27,11,27,0,27
9.1,Broadview/Bitter Lake,231,186,102,141,18,38,17,35,17,35,0,27,0,27,0,27,0,27,17,35,22,41,0,27,11,29,0,27,0,27,0,27,129,90,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,62,74,36,49,31,41,0,27,0,27,0,27
9.2,Licton Springs,23,29,11,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,11,22,0,17,0,17,0,17,0,17,0,17,0,17,12,22,0,17,0,17,0,17,0,17,0,17,0,17,12,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,217,117,133,70,24,43,0,29,16,38,0,29,0,29,12,33,22,40,10,32,36,46,0,29,9,29,4,26,0,29,0,29,84,85,0,29,0,29,0,29,0,29,0,29,0,29,0,29,23,47,0,29,0,29,36,45,25,47,0,29,0,29
9.4,Green Lake,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
9.5,Haller Lake,124,79,49,42,0,21,0,21,0,21,0,21,0,21,0,21,0,21,16,28,0,21,16,28,10,23,7,23,0,21,0,21,75,58,0,21,0,21,0,21,0,21,0,21,0,21,0,21,15,27,16,28,24,43,0,21,8,23,12,22,0,21
10.1,North Beach/Blue Ridge,82,58,54,51,0,21,11,25,0,21,0,21,0,21,0,21,11,25,0,21,15,30,0,21,0,21,0,21,17,23,0,21,28,35,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,14,29,0,21,0,21,14,27,0,21
10.2,Whittier Heights,20,35,20,35,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,20,35,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,45,57,14,29,0,24,0,24,0,24,0,24,0,24,14,29,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,31,51,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,31,51,0,24,0,24,0,24
10.4,Ballard,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
11.1,Fremont,44,45,30,41,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,19,35,0,24,11,32,0,24,0,24,14,30,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,14,30,0,24,0,24,0,24,0,24
11.2,Wallingford,107,68,55,47,0,27,0,27,0,27,0,27,0,27,7,27,9,28,13,25,10,33,16,33,0,27,0,27,0,27,0,27,52,46,0,27,0,27,0,27,0,27,0,27,7,27,0,27,0,27,0,27,11,27,34,41,0,27,0,27,0,27
11.3,Cascade/Eastlake,296,155,234,145,0,21,0,21,0,21,0,21,0,21,0,21,104,97,0,21,0,21,89,98,41,52,0,21,0,21,0,21,62,49,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,10,24,11,25,25,33,16,31,0,21,0,21
12.1,Magnolia,52,59,27,36,0,24,0,24,0,24,0,24,0,24,15,31,0,24,0,24,12,26,0,24,0,24,0,24,0,24,0,24,25,48,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,25,48,0,24,0,24
12.2,Interbay,82,70,38,37,0,21,0,21,0,21,0,21,0,21,0,21,16,31,0,21,10,21,12,23,0,21,0,21,0,21,0,21,44,60,0,21,0,21,0,21,11,23,0,21,0,21,0,21,20,34,0,21,0,21,0,21,0,21,13,25,0,21
12.3,Queen Anne,310,170,115,93,0,40,45,57,0,40,0,40,0,40,0,40,0,40,23,51,0,40,33,54,5,37,0,40,9,39,0,40,195,108,0,40,0,40,14,43,0,40,0,40,51,67,0,40,28,57,72,74,1,38,0,40,29,58,0,40,0,40
13.1,Belltown,120,94,106,91,0,21,0,21,0,21,0,21,0,21,0,21,25,43,0,21,0,21,0,21,81,83,0,21,0,21,0,21,14,28,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,14,28,0,21,0,21
13.2,Downtown Commercial Core,44,50,31,39,0,12,0,12,0,12,0,12,0,12,0,12,5,13,0,12,6,13,20,29,0,12,0,12,0,12,0,12,13,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,29,0,12,0,12
13.3,Pioneer Square/International District,14,21,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,21,0,17,0,17,0,17,0,17,0,17,12,23,0,17,0,17,0,17,0,17,2,13,0,17,0,17,0,17
