area_id,area_name,b19301h001,b19301h001_moe
1.1,Arbor Heights,97017,10774
1.2,Fauntleroy/Seaview,114248,10149
1.3,West Seattle Junction/Genesee Hill,129565,6379
1.4,Alki/Admiral,125614,14443
2.1,North Delridge,49624,5840
2.2,High Point,89006,16137
2.3,Riverview,37832,4577
2.4,Roxhill/Westwood,116466,8866
2.5,Highland Park,33104,5444
3.1,South Park,29198,4077
3.2,Georgetown,30914,6643
3.3,Duwamish/SODO,36006,6444
3.4,South Beacon Hill/NewHolly,91134,14445
3.5,Beacon Hill,99170,20218
3.6,North Beacon Hill/Jefferson Park,126773,12656
4.1,Rainier Beach,87691,14062
4.2,Columbia City,123253,12232
4.3,Seward Park,110435,12118
4.4,Mt. Baker/North Rainier,68611,10494
5.1,Madrona/Leschi,159943,29548
5.2,Judkins Park,37215,6798
5.3,Central Area/Squire Park,190665,15362
6.1,First Hill,151545,16069
6.2,Capitol Hill,189742,12489
6.3,North Capitol Hill,80451,13523
6.4,Miller Park,118110,12261
6.5,Madison Park,99416,14902
7.1,Montlake/Portage Bay,127089,12277
7.2,University District,49654,6958
7.3,Ravenna/Bryant,271602,15236
7.4,Wedgwood/View Ridge,199754,14595
7.5,Laurelhurst/Sand Point,147699,32880
8.1,Northgate/Maple Leaf,117196,9500
8.2,Olympic Hills/Victory Heights,118548,9720
8.3,Cedar Park/Meadowbrook,187048,15758
9.1,Broadview/Bitter Lake,144643,16793
9.2,Licton Springs,83100,6808
9.3,Greenwood/Phinney Ridge,273641,11574
9.4,Green Lake,167451,11252
9.5,Haller Lake,74547,6245
10.1,North Beach/Blue Ridge,152910,11195
10.2,Whittier Heights,85826,4417
10.3,Sunset Hill/Loyal Heights,90442,5792
10.4,Ballard,44231,3860
11.1,Fremont,143407,8146
11.2,Wallingford,189992,13310
11.3,Cascade/Eastlake,155085,16807
12.1,Magnolia,132901,11106
12.2,Interbay,108086,15883
12.3,Queen Anne,410549,26935
13.1,Belltown,171935,33042
13.2,Downtown Commercial Core,80364,17834
13.3,Pioneer Square/International District,78082,20042
