area_id,area_name,c15002c001,c15002c001_moe,c15002c002,c15002c002_moe,c15002c003,c15002c003_moe,c15002c004,c15002c004_moe,c15002c005,c15002c005_moe,c15002c006,c15002c006_moe,c15002c007,c15002c007_moe,c15002c008,c15002c008_moe,c15002c009,c15002c009_moe,c15002c010,c15002c010_moe,c15002c011,c15002c011_moe
1.1,Arbor Heights,33,39,33,39,14,22,0,17,0,17,19,31,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,38,35,26,29,0,24,10,15,16,24,0,24,12,26,0,24,0,24,12,26,0,24
1.3,West Seattle Junction/Genesee Hill,137,105,55,76,0,29,0,29,55,76,0,29,82,72,0,29,15,34,43,53,24,34
1.4,Alki/Admiral,39,47,21,35,0,24,0,24,21,35,0,24,18,34,0,24,0,24,0,24,18,34
2.1,North Delridge,42,49,18,29,0,12,0,12,18,29,0,12,24,39,0,12,24,39,0,12,0,12
2.2,High Point,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
2.3,Riverview,21,34,21,34,0,12,0,12,21,34,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,39,44,0,21,0,21,0,21,0,21,0,21,39,44,0,21,18,34,21,33,0,21
2.5,Highland Park,37,47,9,18,0,21,9,18,0,21,0,21,28,45,0,21,0,21,28,45,0,21
3.1,South Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
3.2,Georgetown,25,26,18,24,0,12,0,12,18,24,0,12,7,12,0,12,0,12,7,12,0,12
3.3,Duwamish/SODO,33,47,7,17,0,12,7,17,0,12,0,12,26,44,14,22,12,22,0,12,0,12
3.4,South Beacon Hill/NewHolly,133,98,44,43,0,24,34,41,0,24,10,27,89,65,0,24,19,27,22,29,48,58
3.5,Beacon Hill,35,39,35,39,0,17,0,17,35,39,0,17,0,17,0,17,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,60,73,13,25,0,24,13,25,0,24,0,24,47,66,0,24,37,66,10,23,0,24
4.1,Rainier Beach,31,42,14,33,0,27,14,33,0,27,0,27,17,34,0,27,0,27,17,34,0,27
4.2,Columbia City,21,30,11,28,0,27,11,28,0,27,0,27,10,29,10,29,0,27,0,27,0,27
4.3,Seward Park,26,29,15,23,0,17,0,17,15,23,0,17,11,22,11,22,0,17,0,17,0,17
4.4,Mt. Baker/North Rainier,121,118,94,113,33,52,31,38,15,25,15,24,27,31,15,24,12,20,0,17,0,17
5.1,Madrona/Leschi,19,35,19,35,0,21,0,21,19,35,0,21,0,21,0,21,0,21,0,21,0,21
5.2,Judkins Park,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,64,55,27,34,1,21,11,24,0,24,15,32,37,47,0,24,0,24,28,45,9,27
6.1,First Hill,190,91,125,74,7,25,38,54,80,53,0,24,65,53,0,24,23,42,26,32,16,33
6.2,Capitol Hill,265,122,154,87,33,41,46,43,71,75,4,25,111,92,0,29,0,29,94,89,17,36
6.3,North Capitol Hill,89,130,47,68,0,12,47,68,0,12,0,12,42,62,0,12,0,12,0,12,42,62
6.4,Miller Park,28,27,18,25,0,17,0,17,18,25,0,17,10,19,0,17,0,17,0,17,10,19
6.5,Madison Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,27,36,15,28,0,21,0,21,15,28,0,21,12,24,0,21,0,21,12,24,0,21
7.2,University District,103,93,68,82,46,74,0,29,22,42,0,29,35,52,19,49,0,29,0,29,16,34
7.3,Ravenna/Bryant,47,55,39,49,0,32,23,49,9,33,7,31,8,33,0,32,0,32,0,32,8,33
7.4,Wedgwood/View Ridge,23,35,12,31,0,27,0,27,0,27,12,31,11,29,0,27,0,27,11,29,0,27
7.5,Laurelhurst/Sand Point,30,31,23,23,0,21,0,21,6,20,17,21,7,21,0,21,0,21,0,21,7,21
8.1,Northgate/Maple Leaf,107,85,29,40,0,24,10,24,19,35,0,24,78,60,13,29,15,29,50,51,0,24
8.2,Olympic Hills/Victory Heights,10,24,10,24,0,24,0,24,10,24,0,24,0,24,0,24,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,101,67,31,26,0,27,17,26,8,27,6,26,70,57,9,28,0,27,32,28,29,52
9.1,Broadview/Bitter Lake,179,121,50,65,39,63,0,27,11,29,0,27,129,90,17,35,64,73,17,36,31,41
9.2,Licton Springs,23,29,11,22,0,17,11,22,0,17,0,17,12,22,0,17,0,17,0,17,12,22
9.3,Greenwood/Phinney Ridge,165,112,81,57,12,33,32,45,32,42,5,25,84,85,0,29,25,47,35,52,24,39
9.4,Green Lake,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
9.5,Haller Lake,124,79,49,42,0,21,33,33,16,28,0,21,75,58,0,21,8,23,28,33,39,47
10.1,North Beach/Blue Ridge,71,48,43,40,11,24,17,27,15,30,0,21,28,35,14,27,0,21,14,29,0,21
10.2,Whittier Heights,20,35,20,35,0,24,20,35,0,24,0,24,0,24,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,31,51,0,24,0,24,0,24,0,24,0,24,31,51,0,24,17,31,14,29,0,24
10.4,Ballard,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
11.1,Fremont,44,45,30,41,0,24,19,35,0,24,11,32,14,30,0,24,0,24,14,30,0,24
11.2,Wallingford,93,63,48,43,0,27,10,33,36,38,2,21,45,46,0,27,38,46,0,27,7,26
11.3,Cascade/Eastlake,296,155,234,145,10,24,48,77,133,109,43,70,62,49,0,21,14,29,11,25,37,39
12.1,Magnolia,37,52,12,26,0,24,0,24,12,26,0,24,25,48,0,24,0,24,25,48,0,24
12.2,Interbay,71,65,38,37,0,21,22,29,0,21,16,31,33,54,0,21,0,21,13,25,20,34
12.3,Queen Anne,200,113,70,61,0,40,0,40,9,39,61,62,130,86,0,40,1,38,102,80,27,50
13.1,Belltown,120,94,106,91,10,21,0,21,71,81,25,43,14,28,0,21,0,21,14,28,0,21
13.2,Downtown Commercial Core,44,50,31,39,5,13,6,13,20,29,0,12,13,29,13,29,0,12,0,12,0,12
13.3,Pioneer Square/International District,2,13,0,17,0,17,0,17,0,17,0,17,2,13,0,17,2,13,0,17,0,17
