area_id,area_name,b25091001,b25091001_moe,b25091002,b25091002_moe,b25091003,b25091003_moe,b25091004,b25091004_moe,b25091005,b25091005_moe,b25091006,b25091006_moe,b25091007,b25091007_moe,b25091008,b25091008_moe,b25091009,b25091009_moe,b25091010,b25091010_moe,b25091011,b25091011_moe,b25091012,b25091012_moe,b25091013,b25091013_moe,b25091014,b25091014_moe,b25091015,b25091015_moe,b25091016,b25091016_moe,b25091017,b25091017_moe,b25091018,b25091018_moe,b25091019,b25091019_moe,b25091020,b25091020_moe,b25091021,b25091021_moe,b25091022,b25091022_moe,b25091023,b25091023_moe
1.1,Arbor Heights,2173,132,1663,143,85,61,190,68,234,93,332,90,160,70,185,65,142,69,120,54,215,75,0,17,510,104,173,81,106,48,75,37,53,34,43,38,25,26,14,15,11,21,10,19,0,17
1.2,Fauntleroy/Seaview,4581,249,3540,266,248,123,373,147,623,168,619,158,435,135,491,179,134,77,198,87,405,128,14,29,1041,154,321,111,210,89,95,62,130,68,93,60,42,45,12,25,37,43,61,49,40,47
1.3,West Seattle Junction/Genesee Hill,4963,275,3819,262,118,63,415,128,786,176,749,176,426,138,386,133,175,82,332,119,412,127,20,32,1144,187,320,118,334,128,156,98,143,78,27,36,13,33,27,38,44,51,80,68,0,29
1.4,Alki/Admiral,3091,242,2118,232,78,59,295,110,289,111,356,114,227,108,139,70,124,96,234,87,350,144,26,30,973,172,281,107,142,75,148,73,79,54,58,47,51,42,27,29,43,43,144,66,0,24
2.1,North Delridge,1294,174,1039,161,73,60,45,37,191,94,146,75,170,87,72,54,58,48,76,80,208,108,0,12,255,81,56,48,73,61,14,22,0,12,37,40,15,24,0,12,14,21,46,45,0,12
2.2,High Point,1098,171,936,156,15,25,54,45,212,102,183,70,149,77,61,80,102,88,80,57,80,55,0,17,162,97,16,29,49,46,0,17,26,27,24,33,0,17,0,17,0,17,0,17,47,75
2.3,Riverview,1161,125,941,130,27,28,87,54,113,54,187,94,109,55,116,57,99,62,120,77,83,44,0,12,220,66,59,38,28,23,40,28,36,26,15,18,0,12,25,37,17,20,0,12,0,12
2.4,Roxhill/Westwood,2881,214,2277,224,64,41,193,81,341,102,422,127,425,120,255,82,76,50,234,89,267,95,0,21,604,115,182,70,125,65,121,64,18,29,42,38,42,49,0,21,33,33,41,36,0,21
2.5,Highland Park,1290,156,1098,154,77,76,50,49,123,73,118,76,189,77,150,84,83,64,111,80,197,83,0,21,192,89,98,61,67,65,16,29,0,21,0,21,0,21,0,21,0,21,11,22,0,21
3.1,South Park,610,110,446,97,18,28,13,19,36,32,40,36,55,31,48,42,15,28,17,23,204,75,0,17,164,67,60,48,44,39,30,33,0,17,23,35,0,17,0,17,0,17,7,16,0,17
3.2,Georgetown,195,59,174,60,0,12,0,12,52,39,10,7,22,27,21,25,8,14,32,33,29,24,0,12,21,22,4,7,0,12,0,12,13,19,0,12,0,12,0,12,0,12,4,8,0,12
3.3,Duwamish/SODO,494,93,344,84,17,16,39,31,27,21,59,40,45,32,34,28,44,34,55,42,24,26,0,12,150,47,72,39,39,35,21,23,5,8,0,12,0,12,0,12,0,12,13,16,0,12
3.4,South Beacon Hill/NewHolly,2403,205,1752,201,69,47,77,64,135,66,332,123,207,95,165,71,176,88,184,78,370,118,37,47,651,128,135,62,183,71,85,55,70,43,46,40,29,29,49,40,0,24,54,44,0,24
3.5,Beacon Hill,2074,222,1375,232,17,21,247,123,211,109,254,112,97,62,117,72,57,47,125,75,238,92,12,22,699,156,172,82,259,116,39,41,20,35,76,52,0,17,33,34,25,33,75,64,0,17
3.6,North Beacon Hill/Jefferson Park,2583,244,1884,239,82,68,49,39,280,119,350,137,245,103,385,130,90,66,63,54,340,122,0,24,699,143,266,106,123,71,125,72,46,45,43,39,0,24,34,37,36,36,26,34,0,24
4.1,Rainier Beach,3197,260,2576,267,111,76,164,110,280,122,430,138,380,140,129,77,252,121,356,160,458,144,16,34,621,137,183,75,54,45,78,52,25,31,39,41,34,41,25,32,99,74,66,49,18,35
4.2,Columbia City,3378,280,2661,270,38,50,143,91,402,126,583,173,225,103,289,120,180,94,230,112,553,163,18,37,717,151,294,94,100,59,112,79,65,56,21,30,54,48,29,32,0,27,42,42,0,27
4.3,Seward Park,2646,140,2072,154,48,36,131,66,305,94,457,143,279,103,158,64,136,61,190,86,368,128,0,17,574,123,164,59,139,59,64,41,20,17,67,75,6,16,12,13,0,17,81,65,21,35
4.4,Mt. Baker/North Rainier,1640,130,1232,135,125,72,170,86,217,88,102,59,156,101,150,68,78,58,147,106,87,60,0,17,408,115,206,98,59,46,76,50,0,17,13,21,40,38,0,17,14,22,0,17,0,17
5.1,Madrona/Leschi,2999,239,2474,271,136,90,264,96,355,125,327,127,355,139,210,107,186,107,105,62,520,180,16,30,525,126,166,83,120,62,27,31,42,39,42,43,25,32,11,23,20,32,40,41,32,37
5.2,Judkins Park,417,95,337,90,0,12,18,21,28,24,51,38,66,41,73,60,9,17,40,43,52,40,0,12,80,36,18,19,23,19,35,27,0,12,0,12,0,12,0,12,0,12,4,7,0,12
5.3,Central Area/Squire Park,3478,250,2700,239,125,69,305,109,385,118,495,136,396,127,291,97,90,59,150,70,449,126,14,30,778,158,293,113,108,64,94,59,49,53,14,23,14,24,33,37,76,71,97,68,0,24
6.1,First Hill,1118,179,788,160,28,34,48,46,166,86,73,52,67,55,129,80,103,81,56,44,118,70,0,24,330,107,133,62,37,34,28,41,27,37,18,29,23,42,14,30,9,25,11,28,30,37
6.2,Capitol Hill,2655,326,2288,317,86,60,107,78,311,182,587,178,295,122,299,117,159,121,111,74,333,159,0,29,367,121,163,88,48,43,73,50,28,42,0,29,0,29,11,32,12,33,32,41,0,29
6.3,North Capitol Hill,1181,173,794,129,32,35,123,53,68,48,153,100,80,56,107,81,43,39,82,94,106,65,0,12,387,139,174,91,130,95,0,12,9,16,0,12,0,12,0,12,37,57,37,35,0,12
