area_id,area_name,b08130001,b08130001_moe,b08130002,b08130002_moe,b08130003,b08130003_moe,b08130004,b08130004_moe,b08130005,b08130005_moe,b08130006,b08130006_moe,b08130007,b08130007_moe,b08130008,b08130008_moe,b08130009,b08130009_moe,b08130010,b08130010_moe,b08130011,b08130011_moe,b08130012,b08130012_moe,b08130013,b08130013_moe,b08130014,b08130014_moe,b08130015,b08130015_moe,b08130016,b08130016_moe,b08130017,b08130017_moe,b08130018,b08130018_moe,b08130019,b08130019_moe,b08130020,b08130020_moe,b08130021,b08130021_moe,b08130022,b08130022_moe,b08130023,b08130023_moe,b08130024,b08130024_moe,b08130025,b08130025_moe,b08130026,b08130026_moe,b08130027,b08130027_moe,b08130028,b08130028_moe,b08130029,b08130029_moe,b08130030,b08130030_moe,b08130031,b08130031_moe
1.1,Arbor Heights,3608,209,3608,209,3339,198,269,101,0,17,2721,239,2721,239,2475,226,246,97,0,17,257,96,257,96,245,94,12,22,0,17,264,98,264,98,264,98,0,17,0,17,0,17,0,17,0,17,0,17,0,17,78,59,78,59,67,58,11,22,0,17,288,91
1.2,Fauntleroy/Seaview,8102,501,7984,507,7649,466,335,168,118,65,5005,474,4974,471,4709,419,265,159,31,35,850,302,850,302,816,297,34,39,0,24,1205,244,1205,244,1189,242,16,31,0,24,71,54,56,48,56,48,0,24,15,29,245,111,173,90,153,98,20,35,72,57,726,191
1.3,West Seattle Junction/Genesee Hill,10157,532,10081,528,9771,520,310,126,76,50,6142,551,6128,549,5852,526,276,122,14,33,1233,271,1233,271,1223,272,10,29,0,29,1619,294,1619,294,1609,295,10,29,0,29,284,115,252,104,238,100,14,33,32,41,238,111,208,108,208,108,0,29,30,27,641,167
1.4,Alki/Admiral,6063,363,6030,361,5671,381,359,126,33,41,3935,379,3902,379,3670,388,232,98,33,41,604,209,604,209,541,211,63,61,0,24,791,171,791,171,746,173,45,41,0,24,126,88,126,88,126,88,0,24,0,24,138,71,138,71,119,64,19,34,0,24,469,151
2.1,North Delridge,2950,272,2921,276,2797,262,124,92,29,35,1621,248,1607,248,1496,245,111,91,14,24,421,192,421,192,408,191,13,22,0,12,612,204,612,204,612,204,0,12,0,12,0,12,0,12,0,12,0,12,0,12,113,75,98,71,98,71,0,12,15,25,183,110
2.2,High Point,2805,290,2805,290,2703,287,102,74,0,17,1710,301,1710,301,1650,298,60,61,0,17,350,152,350,152,350,152,0,17,0,17,451,173,451,173,409,169,42,40,0,17,89,68,89,68,89,68,0,17,0,17,49,41,49,41,49,41,0,17,0,17,156,83
2.3,Riverview,2666,229,2642,234,2542,250,100,55,24,37,1616,177,1616,177,1534,191,82,50,0,12,558,148,558,148,540,147,18,21,0,12,304,107,304,107,304,107,0,12,0,12,12,17,12,17,12,17,0,12,0,12,79,64,55,49,55,49,0,12,24,37,97,45
2.4,Roxhill/Westwood,6860,452,6833,449,6568,455,265,103,27,33,4305,363,4305,363,4088,353,217,97,0,21,835,257,835,257,808,247,27,38,0,21,1125,283,1115,283,1105,283,10,23,10,23,220,118,220,118,209,115,11,24,0,21,145,68,128,62,128,62,0,21,17,32,230,90
2.5,Highland Park,2999,316,2986,313,2925,318,61,65,13,25,1988,271,1988,271,1957,283,31,51,0,21,274,139,274,139,244,141,30,42,0,21,493,211,480,208,480,208,0,21,13,25,64,102,64,102,64,102,0,21,0,21,53,61,53,61,53,61,0,21,0,21,127,67
3.1,South Park,2078,433,2057,432,2030,434,27,29,21,28,1203,288,1203,288,1176,285,27,29,0,17,232,135,232,135,232,135,0,17,0,17,452,163,452,163,452,163,0,17,0,17,49,58,32,52,32,52,0,17,17,27,62,49,58,48,58,48,0,17,4,14,80,56
3.2,Georgetown,745,110,733,110,716,107,17,24,12,18,344,129,332,125,332,125,0,12,12,18,73,72,73,72,73,72,0,12,0,12,168,82,168,82,151,72,17,24,0,12,114,53,114,53,114,53,0,12,0,12,25,36,25,36,25,36,0,12,0,12,21,25
3.3,Duwamish/SODO,1357,191,1357,191,1282,220,75,73,0,12,660,125,660,125,598,140,62,70,0,12,173,96,173,96,160,90,13,21,0,12,275,158,275,158,275,158,0,12,0,12,93,49,93,49,93,49,0,12,0,12,82,54,82,54,82,54,0,12,0,12,74,65
3.4,South Beacon Hill/NewHolly,6375,573,6338,572,5930,537,408,191,37,39,3830,440,3815,440,3565,412,250,159,15,30,966,280,944,279,875,270,69,51,22,33,1284,263,1284,263,1202,233,82,87,0,24,74,58,74,58,74,58,0,24,0,24,100,60,100,60,93,57,7,22,0,24,121,73
3.5,Beacon Hill,4981,569,4970,565,4615,553,355,211,11,23,3157,513,3146,510,3064,514,82,68,11,23,881,256,881,256,689,232,192,171,0,17,635,223,635,223,575,207,60,88,0,17,116,94,116,94,106,89,10,21,0,17,78,57,78,57,67,54,11,23,0,17,114,57
3.6,North Beacon Hill/Jefferson Park,7629,566,7601,563,7332,556,269,133,28,27,3793,423,3793,423,3563,416,230,126,0,24,1027,319,1014,319,994,319,20,37,13,26,1820,371,1812,371,1793,370,19,34,8,26,275,125,275,125,275,125,0,24,0,24,553,206,546,206,546,206,0,24,7,24,161,94
4.1,Rainier Beach,6803,538,6744,542,6565,551,179,85,59,75,4393,474,4352,477,4251,483,101,64,41,70,1041,302,1041,302,979,301,62,52,0,27,870,212,870,212,854,212,16,33,0,27,48,64,48,64,48,64,0,27,0,27,153,94,135,90,135,90,0,27,18,35,298,154
4.2,Columbia City,8119,600,8088,603,7877,594,211,108,31,40,4651,493,4651,493,4469,487,182,103,0,27,794,211,782,210,782,210,0,27,12,32,1764,356,1764,356,1735,358,29,40,0,27,241,125,222,121,222,121,0,27,19,37,327,147,327,147,327,147,0,27,0,27,342,131
4.3,Seward Park,4312,367,4296,367,4127,353,169,73,16,24,2703,311,2687,309,2562,302,125,67,16,24,470,149,470,149,459,148,11,22,0,17,610,139,610,139,610,139,0,17,0,17,119,65,119,65,107,63,12,22,0,17,142,80,142,80,121,76,21,27,0,17,268,117
4.4,Mt. Baker/North Rainier,2812,312,2803,311,2730,309,73,55,9,16,1539,231,1530,230,1472,235,58,49,9,16,324,135,324,135,324,135,0,17,0,17,504,201,504,201,489,197,15,25,0,17,76,53,76,53,76,53,0,17,0,17,128,72,128,72,128,72,0,17,0,17,241,108
5.1,Madrona/Leschi,5629,412,5572,411,5244,401,328,206,57,48,3089,358,3089,358,2875,358,214,120,0,21,593,269,593,269,479,184,114,185,0,21,778,219,778,219,778,219,0,21,0,21,232,145,203,143,203,143,0,21,29,35,445,184,417,183,417,183,0,21,28,35,492,183
5.2,Judkins Park,1400,215,1383,213,1325,221,58,49,17,28,649,158,649,158,621,162,28,32,0,12,97,69,80,63,67,60,13,20,17,28,406,156,406,156,389,153,17,27,0,12,141,64,141,64,141,64,0,12,0,12,18,20,18,20,18,20,0,12,0,12,89,67
5.3,Central Area/Squire Park,10248,577,10199,579,9967,578,232,88,49,40,4072,436,4072,436,3869,422,203,83,0,24,672,191,672,191,653,189,19,28,0,24,2266,360,2246,359,2236,359,10,26,20,35,1755,325,1742,325,1742,325,0,24,13,24,910,223,894,223,894,223,0,24,16,25,573,158
6.1,First Hill,7493,529,7447,525,7236,531,211,96,46,40,1709,292,1685,286,1578,283,107,66,24,32,295,173,295,173,277,171,18,27,0,24,1573,288,1573,288,1518,295,55,49,0,24,3402,408,3390,407,3359,405,31,42,12,27,166,79,156,77,156,77,0,24,10,26,348,143
