area_id,area_name,b01002c001,b01002c001_moe,b01002c002,b01002c002_moe,b01002c003,b01002c003_moe
1.1,Arbor Heights,16,12,14,61,16,0
3.3,Duwamish/SODO,30,44,18,60,43,0
3.4,South Beacon Hill/NewHolly,22,22,17,21,28,31
4.1,Rainier Beach,15,12,17,7,7,26
4.3,Seward Park,39,61,39,41,15,88
4.4,Mt. Baker/North Rainier,42,2,43,4,41,27
5.3,Central Area/Squire Park,30,14,48,49,26,12
6.1,First Hill,36,25,20,62,37,14
6.2,Capitol Hill,88,62,123,10,56,26
7.2,University District,28,45,28,35,69,100
7.4,Wedgwood/View Ridge,53,88,53,100,59,106
8.1,Northgate/Maple Leaf,24,17,8,45,26,19
8.3,Cedar Park/Meadowbrook,30,18,22,10,42,20
9.1,Broadview/Bitter Lake,35,18,15,35,63,54
9.3,Greenwood/Phinney Ridge,74,72,67,68,127,41
9.5,Haller Lake,104,39,102,25,89,32
10.1,North Beach/Blue Ridge,53,44,38,72,64,37
11.2,Wallingford,54,6,53,0,61,12
11.3,Cascade/Eastlake,109,15,108,10,121,32
12.1,Magnolia,42,53,25,31,66,2
12.2,Interbay,40,18,46,10,31,14
12.3,Queen Anne,31,19,31,35,24,16
