area_id,area_name,b12001001,b12001001_moe,b12001002,b12001002_moe,b12001003,b12001003_moe,b12001004,b12001004_moe,b12001005,b12001005_moe,b12001006,b12001006_moe,b12001007,b12001007_moe,b12001008,b12001008_moe,b12001009,b12001009_moe,b12001010,b12001010_moe,b12001011,b12001011_moe,b12001012,b12001012_moe,b12001013,b12001013_moe,b12001014,b12001014_moe,b12001015,b12001015_moe,b12001016,b12001016_moe,b12001017,b12001017_moe,b12001018,b12001018_moe,b12001019,b12001019_moe
1.1,Arbor Heights,5095,223,2491,146,770,160,1402,152,1368,151,34,31,14,24,20,22,59,42,260,98,2604,181,660,167,1383,148,1353,145,30,32,10,20,20,30,243,90,318,103
1.2,Fauntleroy/Seaview,11543,486,5363,374,1591,308,2980,280,2831,270,149,73,34,43,115,64,146,75,646,180,6180,273,1670,233,3076,288,2817,266,259,106,65,54,194,92,396,110,1038,234
1.3,West Seattle Junction/Genesee Hill,15172,575,7109,425,2714,407,3550,242,3305,244,245,99,111,67,134,76,181,80,664,182,8063,453,2681,385,3508,273,3261,243,247,136,60,87,187,107,700,200,1174,230
1.4,Alki/Admiral,9775,423,4463,302,1539,294,2357,234,2185,213,172,129,0,24,172,129,84,57,483,149,5312,352,1630,299,2368,227,2177,215,191,120,0,24,191,120,432,121,882,179
2.1,North Delridge,4151,265,2028,202,811,216,833,172,779,168,54,62,36,57,18,25,17,25,367,136,2123,195,867,208,811,175,780,167,31,39,31,39,0,12,176,83,269,95
2.2,High Point,5047,401,2221,267,1016,278,868,143,812,137,56,47,0,17,56,47,42,40,295,127,2826,306,1233,310,1020,181,803,132,217,135,161,129,56,46,259,132,314,117
2.3,Riverview,3878,237,2056,216,1050,226,768,106,658,117,110,86,0,12,110,86,22,26,216,93,1822,149,522,125,801,142,663,120,138,79,82,70,56,45,144,62,355,119
2.4,Roxhill/Westwood,10423,578,5041,404,1950,325,2421,304,2079,254,342,203,155,116,187,163,116,56,554,164,5382,425,1921,325,2208,251,2103,253,105,64,75,57,30,31,351,102,902,237
2.5,Highland Park,5037,361,2656,284,1200,287,1125,204,1074,194,51,50,21,35,30,40,45,71,286,122,2381,208,586,170,1286,206,1066,187,220,100,62,60,158,85,156,84,353,126
3.1,South Park,3243,414,1711,387,696,209,821,231,539,125,282,169,34,35,248,163,34,46,160,83,1532,202,638,160,671,135,557,133,114,76,76,60,38,47,141,56,82,46
3.2,Georgetown,1066,135,601,96,277,83,225,67,176,59,49,43,17,23,32,36,0,12,99,52,465,89,182,66,216,67,178,59,38,33,24,26,14,23,0,12,67,48
3.3,Duwamish/SODO,2265,367,1374,352,686,186,302,106,245,89,57,58,29,41,28,33,48,50,338,156,891,147,445,138,282,93,244,89,38,33,32,32,6,9,87,48,77,46
3.4,South Beacon Hill/NewHolly,11616,804,5668,491,2139,343,2887,278,2478,242,409,192,58,43,351,189,171,77,471,148,5948,508,1825,420,2878,252,2519,251,359,143,188,114,171,90,673,164,572,165
