area_id,area_name,b19301d001,b19301d001_moe
1.1,Arbor Heights,91795,25177
1.2,Fauntleroy/Seaview,88019,21625
1.3,West Seattle Junction/Genesee Hill,92203,28853
1.4,Alki/Admiral,108153,23225
2.1,North Delridge,34754,7568
2.2,High Point,45795,13316
2.3,Riverview,36673,7863
2.4,Roxhill/Westwood,76222,13656
2.5,Highland Park,26778,5383
3.1,South Park,13532,3618
3.2,Georgetown,13818,2079
3.3,Duwamish/SODO,29699,10546
3.4,South Beacon Hill/NewHolly,56294,5977
3.5,Beacon Hill,43407,4876
3.6,North Beacon Hill/Jefferson Park,65079,7557
4.1,Rainier Beach,41776,7626
4.2,Columbia City,71406,14675
4.3,Seward Park,50611,8702
4.4,Mt. Baker/North Rainier,22203,9570
5.1,Madrona/Leschi,189487,43764
5.2,Judkins Park,21624,4902
5.3,Central Area/Squire Park,146862,32403
6.1,First Hill,93997,30045
6.2,Capitol Hill,206322,37813
6.3,North Capitol Hill,80716,35978
6.4,Miller Park,144521,71500
6.5,Madison Park,15946,8085
7.1,Montlake/Portage Bay,115469,36750
7.2,University District,31152,7223
7.3,Ravenna/Bryant,210122,43772
7.4,Wedgwood/View Ridge,188208,34881
7.5,Laurelhurst/Sand Point,118009,31931
8.1,Northgate/Maple Leaf,108086,39511
8.2,Olympic Hills/Victory Heights,101924,16777
8.3,Cedar Park/Meadowbrook,146584,31715
9.1,Broadview/Bitter Lake,93670,28041
9.2,Licton Springs,72555,21854
9.3,Greenwood/Phinney Ridge,210941,43674
9.4,Green Lake,117876,21569
9.5,Haller Lake,60149,17089
10.1,North Beach/Blue Ridge,100963,24238
10.2,Whittier Heights,73046,25208
10.3,Sunset Hill/Loyal Heights,73593,29359
10.4,Ballard,51265,19423
11.1,Fremont,172763,39355
11.2,Wallingford,160597,35883
11.3,Cascade/Eastlake,252681,129126
12.1,Magnolia,97690,26918
12.2,Interbay,81235,25224
12.3,Queen Anne,417884,73863
13.1,Belltown,146444,90376
13.2,Downtown Commercial Core,44443,22649
13.3,Pioneer Square/International District,30794,5558
