area_id,area_name,c15002f001,c15002f001_moe,c15002f002,c15002f002_moe,c15002f003,c15002f003_moe,c15002f004,c15002f004_moe,c15002f005,c15002f005_moe,c15002f006,c15002f006_moe,c15002f007,c15002f007_moe,c15002f008,c15002f008_moe,c15002f009,c15002f009_moe,c15002f010,c15002f010_moe,c15002f011,c15002f011_moe
1.1,Arbor Heights,27,28,27,28,0,17,0,17,0,17,27,28,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,41,45,21,33,4,20,0,24,17,31,0,24,20,33,0,24,0,24,0,24,20,33
1.3,West Seattle Junction/Genesee Hill,130,109,56,63,9,22,14,31,0,29,33,57,74,90,0,29,2,24,72,91,0,29
1.4,Alki/Admiral,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,148,153,80,70,51,77,0,12,13,22,16,26,68,85,54,81,0,12,14,24,0,12
2.2,High Point,21,31,7,18,0,17,7,18,0,17,0,17,14,21,0,17,0,17,10,22,4,16
2.3,Riverview,17,17,9,12,9,12,0,12,0,12,0,12,8,13,0,12,0,12,0,12,8,13
2.4,Roxhill/Westwood,376,217,252,158,145,115,32,43,4,21,71,69,124,87,67,66,0,21,57,60,0,21
2.5,Highland Park,67,61,21,35,21,35,0,21,0,21,0,21,46,51,19,33,0,21,27,44,0,21
3.1,South Park,54,58,23,31,23,31,0,17,0,17,0,17,31,32,15,28,16,19,0,17,0,17
3.2,Georgetown,42,58,42,58,42,58,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,58,94,58,94,37,89,21,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,55,53,43,41,27,34,0,24,0,24,16,33,12,25,0,24,12,25,0,24,0,24
3.5,Beacon Hill,141,181,84,121,20,69,36,72,12,22,16,29,57,73,6,25,33,53,18,33,0,17
3.6,North Beacon Hill/Jefferson Park,186,166,150,159,14,30,44,72,39,68,53,73,36,47,0,24,0,24,36,47,0,24
4.1,Rainier Beach,190,161,99,97,0,27,49,75,0,27,50,65,91,85,44,68,0,27,47,58,0,27
4.2,Columbia City,127,94,57,61,23,43,9,28,16,33,9,28,70,68,18,34,16,36,23,40,13,31
4.3,Seward Park,52,51,19,26,0,17,11,22,8,18,0,17,33,41,0,17,9,20,0,17,24,40
4.4,Mt. Baker/North Rainier,14,22,14,22,0,17,0,17,0,17,14,22,0,17,0,17,0,17,0,17,0,17
5.1,Madrona/Leschi,112,91,52,51,0,21,0,21,0,21,52,51,60,59,0,21,0,21,12,24,48,47
5.2,Judkins Park,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,137,106,92,86,6,25,16,33,36,65,34,38,45,37,0,24,0,24,13,30,32,33
6.1,First Hill,252,123,175,126,38,42,44,64,52,42,41,55,77,71,28,40,0,24,19,39,30,53
6.2,Capitol Hill,110,86,42,44,0,29,0,29,16,35,26,36,68,78,0,29,0,29,54,76,14,35
6.3,North Capitol Hill,56,63,56,63,0,12,0,12,20,31,36,54,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,16,20,0,17,0,17,0,17,0,17,0,17,16,20,4,16,4,15,8,18,0,17
6.5,Madison Park,12,19,12,19,0,17,0,17,12,19,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,58,77,0,21,0,21,0,21,0,21,0,21,58,77,0,21,0,21,0,21,58,77
7.2,University District,53,84,53,84,0,29,0,29,53,84,0,29,0,29,0,29,0,29,0,29,0,29
7.3,Ravenna/Bryant,101,68,65,52,0,32,19,37,0,32,46,49,36,40,0,32,5,30,0,32,31,39
7.4,Wedgwood/View Ridge,41,35,10,28,0,27,0,27,0,27,10,28,31,34,0,27,0,27,0,27,31,34
7.5,Laurelhurst/Sand Point,17,26,10,24,0,21,0,21,10,24,0,21,7,20,0,21,0,21,0,21,7,20
8.1,Northgate/Maple Leaf,232,156,121,87,70,74,0,24,25,42,26,32,111,78,17,34,68,69,0,24,26,32
8.2,Olympic Hills/Victory Heights,225,158,111,83,18,37,0,24,61,73,32,35,114,79,0,24,17,34,72,70,25,31
8.3,Cedar Park/Meadowbrook,431,248,364,243,30,42,262,238,67,74,5,25,67,57,12,29,15,34,40,49,0,27
9.1,Broadview/Bitter Lake,113,73,65,60,19,36,0,27,0,27,46,52,48,46,19,36,0,27,24,35,5,26
9.2,Licton Springs,171,130,75,80,17,25,38,62,20,30,0,17,96,72,0,17,42,57,12,22,42,41
