area_id,area_name,b17020h001,b17020h001_moe,b17020h002,b17020h002_moe,b17020h003,b17020h003_moe,b17020h004,b17020h004_moe,b17020h005,b17020h005_moe,b17020h006,b17020h006_moe,b17020h007,b17020h007_moe,b17020h008,b17020h008_moe,b17020h009,b17020h009_moe,b17020h010,b17020h010_moe,b17020h011,b17020h011_moe,b17020h012,b17020h012_moe,b17020h013,b17020h013_moe,b17020h014,b17020h014_moe,b17020h015,b17020h015_moe,b17020h016,b17020h016_moe,b17020h017,b17020h017_moe
1.1,Arbor Heights,4928,356,110,55,0,17,0,17,0,17,0,17,106,55,4,14,0,17,4818,363,337,100,128,68,273,93,114,54,3286,247,455,82,225,71
1.2,Fauntleroy/Seaview,11738,624,649,252,11,24,0,24,38,40,64,58,519,190,0,24,17,33,11089,659,693,221,95,85,509,159,476,191,7747,501,779,152,790,151
1.3,West Seattle Junction/Genesee Hill,14870,588,861,303,57,69,0,29,70,80,56,70,588,206,12,31,78,67,14009,649,640,186,155,93,928,176,740,185,9649,508,1030,174,867,177
1.4,Alki/Admiral,9336,517,596,202,0,24,0,24,0,24,19,36,463,175,38,39,76,62,8740,482,417,192,34,42,473,151,346,121,5839,332,926,251,705,151
2.1,North Delridge,3206,431,192,121,15,24,0,12,0,12,0,12,161,110,14,22,2,4,3014,409,203,93,38,50,87,102,86,60,2400,288,110,74,90,54
2.2,High Point,2530,358,404,215,0,17,0,17,0,17,0,17,345,210,45,37,14,27,2126,284,91,58,34,36,63,52,116,96,1701,243,73,53,48,40
2.3,Riverview,2370,259,165,75,0,12,0,12,0,12,0,12,165,75,0,12,0,12,2205,257,55,40,18,22,45,36,118,75,1761,231,122,46,86,45
2.4,Roxhill/Westwood,6546,543,386,182,0,21,0,21,0,21,0,21,361,179,13,27,12,26,6160,518,355,124,49,39,197,90,189,107,4609,375,380,111,381,114
2.5,Highland Park,2962,327,316,137,0,21,0,21,0,21,13,25,180,93,58,56,65,75,2646,331,87,64,41,44,69,58,177,117,1756,276,334,120,182,102
3.1,South Park,1039,219,107,73,0,17,0,17,0,17,0,17,107,73,0,17,0,17,932,212,46,31,6,16,52,46,8,18,768,182,15,22,37,33
3.2,Georgetown,700,147,99,97,0,12,0,12,0,12,0,12,96,96,3,6,0,12,601,103,3,7,0,12,14,21,0,12,539,102,35,41,10,13
3.3,Duwamish/SODO,1110,251,341,150,0,12,0,12,0,12,0,12,314,140,7,16,20,34,769,181,4,8,0,12,0,12,6,10,654,161,33,45,72,53
3.4,South Beacon Hill/NewHolly,1827,378,360,230,37,62,0,24,24,42,86,97,159,101,7,24,47,70,1467,289,60,36,0,24,27,30,64,57,988,225,155,67,173,75
3.5,Beacon Hill,1797,357,123,75,0,17,0,17,0,17,0,17,92,81,0,17,31,36,1674,335,61,54,0,17,31,35,42,44,1371,291,70,55,99,80
3.6,North Beacon Hill/Jefferson Park,4232,456,337,116,0,24,0,24,0,24,0,24,312,117,0,24,25,46,3895,434,346,185,35,35,124,101,0,24,3216,344,101,65,73,70
4.1,Rainier Beach,3422,464,443,181,32,51,0,27,0,27,0,27,356,160,20,30,35,47,2979,422,126,92,27,49,119,112,92,89,2115,303,230,103,270,139
4.2,Columbia City,5165,544,524,199,0,27,9,27,41,45,30,51,360,153,48,66,36,35,4641,533,385,143,86,56,228,102,153,61,3384,429,255,105,150,80
