area_id,area_name,b17001a001,b17001a001_moe,b17001a002,b17001a002_moe,b17001a003,b17001a003_moe,b17001a004,b17001a004_moe,b17001a005,b17001a005_moe,b17001a006,b17001a006_moe,b17001a007,b17001a007_moe,b17001a008,b17001a008_moe,b17001a009,b17001a009_moe,b17001a010,b17001a010_moe,b17001a011,b17001a011_moe,b17001a012,b17001a012_moe,b17001a013,b17001a013_moe,b17001a014,b17001a014_moe,b17001a015,b17001a015_moe,b17001a016,b17001a016_moe,b17001a017,b17001a017_moe,b17001a018,b17001a018_moe,b17001a019,b17001a019_moe,b17001a020,b17001a020_moe,b17001a021,b17001a021_moe,b17001a022,b17001a022_moe,b17001a023,b17001a023_moe,b17001a024,b17001a024_moe,b17001a025,b17001a025_moe,b17001a026,b17001a026_moe,b17001a027,b17001a027_moe,b17001a028,b17001a028_moe,b17001a029,b17001a029_moe,b17001a030,b17001a030_moe,b17001a031,b17001a031_moe,b17001a032,b17001a032_moe,b17001a033,b17001a033_moe,b17001a034,b17001a034_moe,b17001a035,b17001a035_moe,b17001a036,b17001a036_moe,b17001a037,b17001a037_moe,b17001a038,b17001a038_moe,b17001a039,b17001a039_moe,b17001a040,b17001a040_moe,b17001a041,b17001a041_moe,b17001a042,b17001a042_moe,b17001a043,b17001a043_moe,b17001a044,b17001a044_moe,b17001a045,b17001a045_moe,b17001a046,b17001a046_moe,b17001a047,b17001a047_moe,b17001a048,b17001a048_moe,b17001a049,b17001a049_moe,b17001a050,b17001a050_moe,b17001a051,b17001a051_moe,b17001a052,b17001a052_moe,b17001a053,b17001a053_moe,b17001a054,b17001a054_moe,b17001a055,b17001a055_moe,b17001a056,b17001a056_moe,b17001a057,b17001a057_moe,b17001a058,b17001a058_moe,b17001a059,b17001a059_moe
1.1,Arbor Heights,5140,328,110,55,66,49,0,17,0,17,0,17,0,17,0,17,0,17,12,21,28,41,0,17,16,24,10,21,0,17,0,17,44,35,0,17,0,17,0,17,0,17,0,17,0,17,8,18,22,33,0,17,1,12,9,19,4,14,0,17,5030,338,2506,212,217,82,92,57,107,58,20,21,10,20,31,26,122,73,332,95,523,101,412,101,329,82,234,65,77,31,2524,208,129,62,36,38,204,70,17,21,14,25,32,28,58,45,325,102,460,96,419,94,461,103,221,62,148,52
1.2,Fauntleroy/Seaview,12189,638,705,256,404,176,11,24,0,24,14,28,15,29,15,29,0,24,0,24,69,81,59,47,125,98,79,60,0,24,17,33,301,139,0,24,0,24,24,37,26,30,8,22,0,24,0,24,29,44,27,31,93,60,76,55,0,24,18,34,11484,671,5329,401,347,137,19,35,174,77,225,132,93,84,67,49,77,52,862,215,1070,220,1050,175,760,152,250,100,335,95,6155,428,403,163,76,78,407,168,83,72,14,30,50,40,150,71,1035,218,985,215,1093,178,875,175,529,116,455,107
1.3,West Seattle Junction/Genesee Hill,15291,607,935,310,526,192,57,69,0,29,19,38,0,29,0,29,37,66,27,34,127,99,81,64,65,64,98,90,0,29,15,35,409,191,0,29,0,29,51,72,0,29,0,29,19,38,24,43,17,26,92,76,4,25,96,91,30,38,76,55,14356,665,6596,453,247,113,89,81,330,117,192,85,113,68,80,83,243,93,967,265,1435,211,1149,188,876,166,548,113,327,123,7760,461,421,154,80,50,612,172,205,87,35,42,115,68,364,188,1178,250,1356,182,1149,210,1223,182,482,123,540,145
1.4,Alki/Admiral,9774,561,596,202,155,81,0,24,0,24,0,24,0,24,0,24,19,36,0,24,25,34,0,24,86,62,0,24,0,24,25,32,441,170,0,24,0,24,0,24,0,24,0,24,0,24,116,86,145,123,29,43,53,44,9,23,38,39,51,44,9178,508,4313,300,227,109,34,42,126,88,84,58,15,29,129,70,62,49,769,180,463,124,991,174,712,129,456,157,245,91,4865,408,245,160,27,43,374,134,36,43,45,47,58,46,149,116,666,175,749,141,699,162,887,192,470,155,460,106
2.1,North Delridge,3367,449,212,125,116,88,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,24,1,2,43,66,23,33,33,32,0,12,96,72,15,24,0,12,0,12,0,12,0,12,0,12,0,12,42,40,0,12,20,30,17,24,0,12,2,4,3155,427,1602,240,117,90,0,12,50,55,0,12,13,20,26,32,33,39,436,157,394,99,226,88,244,113,46,41,17,22,1553,272,86,60,38,50,37,49,62,59,0,12,0,12,0,12,591,166,246,106,222,105,114,65,84,42,73,55
2.2,High Point,2668,373,473,230,228,141,0,17,0,17,0,17,0,17,0,17,0,17,67,98,53,64,67,81,5,16,19,26,17,19,0,17,245,134,0,17,0,17,0,17,32,51,0,17,0,17,79,87,40,50,1,13,28,31,23,30,28,32,14,27,2195,291,1145,192,56,50,34,36,39,43,37,41,14,26,25,35,92,91,333,136,262,116,183,76,36,29,25,30,9,20,1050,184,35,41,0,17,24,38,26,33,14,26,0,17,73,56,298,108,299,114,120,77,74,43,48,44,39,35
2.3,Riverview,2637,292,228,152,102,62,0,12,0,12,0,12,0,12,0,12,0,12,40,51,0,12,29,34,10,17,23,26,0,12,0,12,126,103,0,12,31,50,0,12,0,12,0,12,0,12,10,13,7,14,60,53,18,29,0,12,0,12,0,12,2409,263,1360,229,55,39,9,15,27,27,11,17,7,10,61,50,84,74,326,155,245,121,297,101,155,75,56,34,27,21,1049,139,19,23,9,14,29,28,27,24,0,12,23,25,52,41,148,58,219,75,227,68,171,65,66,35,59,38
2.4,Roxhill/Westwood,8369,771,1035,565,455,284,78,119,0,21,36,58,20,35,49,71,0,21,4,25,108,104,56,49,67,69,12,26,13,27,12,26,580,352,59,84,0,21,53,78,53,78,0,21,24,42,36,45,120,130,154,101,34,40,38,34,0,21,9,23,7334,637,3522,342,165,75,26,29,136,78,24,26,19,26,65,59,281,155,700,185,880,180,623,141,295,89,172,73,136,64,3812,438,237,96,34,37,170,84,68,51,4,20,96,79,248,149,649,168,712,142,634,133,479,176,220,78,261,82
2.5,Highland Park,3555,424,411,150,281,123,0,21,16,29,17,29,13,25,0,21,0,21,0,21,14,26,36,42,54,53,67,54,19,32,45,71,130,88,0,21,0,21,0,21,0,21,0,21,0,21,20,36,17,30,0,21,7,17,16,28,39,47,31,36,3144,422,1621,267,65,53,0,21,58,56,40,49,0,21,89,75,11,30,426,169,265,107,255,94,192,111,158,86,62,59,1523,240,98,94,41,44,11,25,26,30,24,38,0,21,106,78,245,114,297,104,120,58,244,113,191,84,120,68
3.1,South Park,2694,609,764,397,354,189,52,56,0,17,42,72,0,17,0,17,0,17,9,20,79,70,80,97,73,69,0,17,19,30,0,17,410,315,60,109,17,29,70,87,72,71,23,41,0,17,25,30,71,70,21,29,7,16,15,22,0,17,29,39,1930,591,1177,400,81,62,40,52,94,54,33,45,0,17,15,26,60,53,271,137,324,213,141,71,88,72,15,22,15,20,753,238,122,75,6,16,63,67,0,17,0,17,18,31,35,45,195,79,177,82,62,45,53,35,0,17,22,29
