area_id,area_name,b13002g001,b13002g001_moe,b13002g002,b13002g002_moe,b13002g003,b13002g003_moe,b13002g004,b13002g004_moe,b13002g005,b13002g005_moe,b13002g006,b13002g006_moe,b13002g007,b13002g007_moe
1.1,Arbor Heights,110,69,23,30,12,23,11,22,87,63,43,43,44,42
1.2,Fauntleroy/Seaview,69,67,0,24,0,24,0,24,69,67,49,52,20,38
1.3,West Seattle Junction/Genesee Hill,174,92,0,29,0,29,0,29,174,92,79,60,95,69
1.4,Alki/Admiral,119,82,0,24,0,24,0,24,119,82,30,38,89,60
2.1,North Delridge,98,78,0,12,0,12,0,12,98,78,0,12,98,78
2.2,High Point,64,87,0,17,0,17,0,17,64,87,0,17,64,87
2.3,Riverview,102,75,0,12,0,12,0,12,102,75,81,68,21,33
2.4,Roxhill/Westwood,209,108,0,21,0,21,0,21,209,108,42,38,167,95
2.5,Highland Park,38,47,16,30,16,30,0,21,22,34,0,21,22,34
3.1,South Park,173,162,0,17,0,17,0,17,173,162,35,47,138,127
3.2,Georgetown,39,43,14,23,14,23,0,12,25,37,0,12,25,37
3.3,Duwamish/SODO,10,16,0,12,0,12,0,12,10,16,0,12,10,16
3.4,South Beacon Hill/NewHolly,110,81,0,24,0,24,0,24,110,81,40,50,70,67
3.5,Beacon Hill,102,87,0,17,0,17,0,17,102,87,43,50,59,71
3.6,North Beacon Hill/Jefferson Park,126,95,35,60,35,60,0,24,91,78,37,36,54,76
4.1,Rainier Beach,381,198,27,38,15,33,12,30,354,204,99,96,255,181
4.2,Columbia City,260,140,0,27,0,27,0,27,260,140,56,41,204,134
4.3,Seward Park,78,53,0,17,0,17,0,17,78,53,35,33,43,43
4.4,Mt. Baker/North Rainier,97,67,14,22,14,22,0,17,83,64,29,33,54,54
5.1,Madrona/Leschi,144,126,0,21,0,21,0,21,144,126,9,18,135,126
5.2,Judkins Park,75,59,0,12,0,12,0,12,75,59,25,29,50,50
5.3,Central Area/Squire Park,414,185,15,32,15,32,0,24,399,182,87,71,312,168
6.1,First Hill,303,124,0,24,0,24,0,24,303,124,17,31,286,122
6.2,Capitol Hill,268,123,0,29,0,29,0,29,268,123,44,62,224,112
6.3,North Capitol Hill,12,20,0,12,0,12,0,12,12,20,0,12,12,20
6.4,Miller Park,97,57,0,17,0,17,0,17,97,57,31,36,66,44
6.5,Madison Park,32,37,0,17,0,17,0,17,32,37,17,28,15,24
7.1,Montlake/Portage Bay,124,91,0,21,0,21,0,21,124,91,16,28,108,87
7.2,University District,465,168,48,77,0,29,48,77,417,154,17,37,400,151
7.3,Ravenna/Bryant,483,145,12,35,12,35,0,32,471,144,106,66,365,122
7.4,Wedgwood/View Ridge,119,72,15,33,15,33,0,27,104,68,26,34,78,63
7.5,Laurelhurst/Sand Point,119,103,0,21,0,21,0,21,119,103,70,92,49,53
8.1,Northgate/Maple Leaf,130,68,0,24,0,24,0,24,130,68,43,47,87,53
8.2,Olympic Hills/Victory Heights,276,174,0,24,0,24,0,24,276,174,49,49,227,162
8.3,Cedar Park/Meadowbrook,92,59,4,25,0,27,4,25,88,59,2,25,86,58
9.1,Broadview/Bitter Lake,322,188,2,21,0,27,2,21,320,187,66,74,254,140
9.2,Licton Springs,150,89,22,37,22,37,0,17,128,81,31,45,97,67
9.3,Greenwood/Phinney Ridge,307,118,20,38,0,29,20,38,287,113,91,60,196,101
9.4,Green Lake,329,208,0,24,0,24,0,24,329,208,50,65,279,200
9.5,Haller Lake,94,79,0,21,0,21,0,21,94,79,8,18,86,78
10.1,North Beach/Blue Ridge,197,114,0,21,0,21,0,21,197,114,89,58,108,77
10.2,Whittier Heights,126,94,0,24,0,24,0,24,126,94,81,79,45,43
10.3,Sunset Hill/Loyal Heights,235,121,37,42,17,32,20,36,198,116,47,66,151,98
10.4,Ballard,217,171,0,17,0,17,0,17,217,171,44,53,173,163
11.1,Fremont,293,140,0,24,0,24,0,24,293,140,106,65,187,123
11.2,Wallingford,304,121,0,27,0,27,0,27,304,121,53,47,251,107
11.3,Cascade/Eastlake,277,139,14,29,14,29,0,21,263,133,56,88,207,102
12.1,Magnolia,90,81,0,24,0,24,0,24,90,81,73,77,17,34
12.2,Interbay,181,112,27,46,27,46,0,21,154,105,92,95,62,47
12.3,Queen Anne,681,207,0,40,0,40,0,40,681,207,252,123,429,166
13.1,Belltown,190,110,0,21,0,21,0,21,190,110,73,68,117,89
13.2,Downtown Commercial Core,38,44,0,12,0,12,0,12,38,44,26,36,12,26
13.3,Pioneer Square/International District,37,31,0,17,0,17,0,17,37,31,17,22,20,23
