area_id,area_name,b20017i001,b20017i001_moe,b20017i002,b20017i002_moe,b20017i003,b20017i003_moe,b20017i004,b20017i004_moe,b20017i005,b20017i005_moe,b20017i006,b20017i006_moe,b20017i007,b20017i007_moe
2.1,North Delridge,33802,33549,35750,62037,54653,18266,4632,3321,33177,31084,19861,62075,33490,37063
2.3,Riverview,17303,28041,40595,46423,61736,7461,7969,22964,16645,7524,16776,53633,14722,13842
2.4,Roxhill/Westwood,19250,34218,41750,37918,51429,22685,15272,1949,17938,14620,43403,17370,12308,8656
4.2,Columbia City,33667,32133,16500,50040,54779,87737,9125,12581,35000,31192,39091,18334,5556,11100
5.3,Central Area/Squire Park,29375,10520,20750,23246,31058,37166,14107,34280,29813,17573,38482,16135,15357,15167
6.1,First Hill,10052,7190,10807,2023,21583,11697,7306,6423,4261,6630,16875,135902,2670,2123
6.2,Capitol Hill,22833,10860,23792,16031,121339,160210,23222,19333,18652,24649,72721,24619,18047,17759
8.1,Northgate/Maple Leaf,56395,13338,55911,26922,76280,37476,42449,28322,59531,39777,66860,16225,30535,16425
8.2,Olympic Hills/Victory Heights,21607,20570,50395,34368,52368,13079,20156,5601,19273,6797,27788,24548,11646,6394
9.2,Licton Springs,25189,5962,25164,7134,26174,573,4615,35576,30179,27862,24348,25850,31250,48402
9.3,Greenwood/Phinney Ridge,20181,1466,20448,3993,21445,163960,16250,7544,19688,22741,65221,60828,17986,8042
9.4,Green Lake,23385,14047,24609,51492,155156,240807,17418,57935,22985,10557,70250,90516,22883,6981
9.5,Haller Lake,28239,18593,38125,22126,42516,4144,5446,22007,25927,10662,42697,29655,16429,16450
10.1,North Beach/Blue Ridge,18169,4097,18099,1503,100192,147851,17708,8315,20417,29283,42361,60103,10398,3164
10.4,Ballard,33750,22222,57000,191375,175536,231327,35114,147429,31523,11757,44107,24264,30876,9759
11.1,Fremont,31133,12893,30577,29062,53824,18021,9167,12875,31513,14856,60641,42180,12440,30007
12.2,Interbay,39559,13478,22143,86529,100250,104402,4563,15021,39706,6121,42130,5335,34000,13089
12.3,Queen Anne,67487,27019,57855,40092,73875,118223,48886,13296,75064,51403,101406,51995,50723,47961
