area_id,area_name,b05003c001,b05003c001_moe,b05003c002,b05003c002_moe,b05003c003,b05003c003_moe,b05003c004,b05003c004_moe,b05003c005,b05003c005_moe,b05003c006,b05003c006_moe,b05003c007,b05003c007_moe,b05003c008,b05003c008_moe,b05003c009,b05003c009_moe,b05003c010,b05003c010_moe,b05003c011,b05003c011_moe,b05003c012,b05003c012_moe,b05003c013,b05003c013_moe,b05003c014,b05003c014_moe,b05003c015,b05003c015_moe,b05003c016,b05003c016_moe,b05003c017,b05003c017_moe,b05003c018,b05003c018_moe,b05003c019,b05003c019_moe,b05003c020,b05003c020_moe,b05003c021,b05003c021_moe,b05003c022,b05003c022_moe,b05003c023,b05003c023_moe
1.1,Arbor Heights,111,127,75,86,42,57,42,57,0,17,0,17,0,17,33,39,33,39,0,17,0,17,0,17,36,46,36,46,36,46,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,50,40,26,29,0,24,0,24,0,24,0,24,0,24,26,29,26,29,0,24,0,24,0,24,24,28,0,24,0,24,0,24,0,24,0,24,24,28,24,28,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,151,116,69,79,14,33,14,33,0,29,0,29,0,29,55,76,55,76,0,29,0,29,0,29,82,72,0,29,0,29,0,29,0,29,0,29,82,72,82,72,0,29,0,29,0,29
1.4,Alki/Admiral,49,50,31,41,10,23,10,23,0,24,0,24,0,24,21,35,21,35,0,24,0,24,0,24,18,34,0,24,0,24,0,24,0,24,0,24,18,34,18,34,0,24,0,24,0,24
2.1,North Delridge,42,49,18,29,0,12,0,12,0,12,0,12,0,12,18,29,18,29,0,12,0,12,0,12,24,39,0,12,0,12,0,12,0,12,0,12,24,39,24,39,0,12,0,12,0,12
2.2,High Point,8,20,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,8,20,0,17,0,17,0,17,0,17,0,17,8,20,8,20,0,17,0,17,0,17
2.3,Riverview,44,67,21,34,0,12,0,12,0,12,0,12,0,12,21,34,21,34,0,12,0,12,0,12,23,34,23,34,23,34,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,101,128,62,97,22,38,22,38,0,21,0,21,0,21,40,65,40,65,0,21,0,21,0,21,39,44,0,21,0,21,0,21,0,21,0,21,39,44,21,33,18,34,0,21,18,34
2.5,Highland Park,37,47,9,18,0,21,0,21,0,21,0,21,0,21,9,18,9,18,0,21,0,21,0,21,28,45,0,21,0,21,0,21,0,21,0,21,28,45,28,45,0,21,0,21,0,21
3.1,South Park,28,47,14,26,14,26,14,26,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,26,14,26,14,26,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
3.2,Georgetown,25,26,18,24,0,12,0,12,0,12,0,12,0,12,18,24,18,24,0,12,0,12,0,12,7,12,0,12,0,12,0,12,0,12,0,12,7,12,7,12,0,12,0,12,0,12
3.3,Duwamish/SODO,66,103,22,31,15,26,15,26,0,12,0,12,0,12,7,17,7,17,0,12,0,12,0,12,44,76,18,32,18,32,0,12,0,12,0,12,26,44,26,44,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,249,199,114,114,70,81,70,81,0,24,0,24,0,24,44,43,44,43,0,24,0,24,0,24,135,96,46,50,46,50,0,24,0,24,0,24,89,65,89,65,0,24,0,24,0,24
3.5,Beacon Hill,36,39,35,39,0,17,0,17,0,17,0,17,0,17,35,39,35,39,0,17,0,17,0,17,1,12,0,17,0,17,0,17,0,17,0,17,1,12,1,12,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,60,73,13,25,0,24,0,24,0,24,0,24,0,24,13,25,13,25,0,24,0,24,0,24,47,66,0,24,0,24,0,24,0,24,0,24,47,66,47,66,0,24,0,24,0,24
4.1,Rainier Beach,131,108,59,60,45,54,45,54,0,27,0,27,0,27,14,33,0,27,14,33,0,27,14,33,72,76,55,69,55,69,0,27,0,27,0,27,17,34,17,34,0,27,0,27,0,27
4.2,Columbia City,56,47,11,28,0,27,0,27,0,27,0,27,0,27,11,28,11,28,0,27,0,27,0,27,45,46,20,37,0,27,20,37,20,37,0,27,25,36,25,36,0,27,0,27,0,27
4.3,Seward Park,51,61,28,41,13,23,13,23,0,17,0,17,0,17,15,23,15,23,0,17,0,17,0,17,23,28,12,23,12,23,0,17,0,17,0,17,11,22,11,22,0,17,0,17,0,17
4.4,Mt. Baker/North Rainier,139,127,94,113,0,17,0,17,0,17,0,17,0,17,94,113,12,23,82,109,33,38,49,77,45,52,0,17,0,17,0,17,0,17,0,17,45,52,45,52,0,17,0,17,0,17
5.1,Madrona/Leschi,87,94,32,40,0,21,0,21,0,21,0,21,0,21,32,40,32,40,0,21,0,21,0,21,55,88,42,68,42,68,0,21,0,21,0,21,13,24,13,24,0,21,0,21,0,21
5.2,Judkins Park,10,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,15,0,12,0,12,0,12,0,12,0,12,10,15,10,15,0,12,0,12,0,12
5.3,Central Area/Squire Park,73,57,27,34,0,24,0,24,0,24,0,24,0,24,27,34,12,24,15,32,15,32,0,24,46,49,0,24,0,24,0,24,0,24,0,24,46,49,46,49,0,24,0,24,0,24
6.1,First Hill,344,185,208,109,23,39,23,39,0,24,0,24,0,24,185,104,155,92,30,53,0,24,30,53,136,101,51,58,51,58,0,24,0,24,0,24,85,59,85,59,0,24,0,24,0,24
6.2,Capitol Hill,303,128,154,87,0,29,0,29,0,29,0,29,0,29,154,87,154,87,0,29,0,29,0,29,149,102,0,29,0,29,0,29,0,29,0,29,149,102,132,98,17,36,0,29,17,36
6.3,North Capitol Hill,89,130,47,68,0,12,0,12,0,12,0,12,0,12,47,68,47,68,0,12,0,12,0,12,42,62,0,12,0,12,0,12,0,12,0,12,42,62,42,62,0,12,0,12,0,12
6.4,Miller Park,36,28,18,25,0,17,0,17,0,17,0,17,0,17,18,25,18,25,0,17,0,17,0,17,18,22,0,17,0,17,0,17,0,17,0,17,18,22,18,22,0,17,0,17,0,17
6.5,Madison Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,27,36,15,28,0,21,0,21,0,21,0,21,0,21,15,28,15,28,0,21,0,21,0,21,12,24,0,21,0,21,0,21,0,21,0,21,12,24,12,24,0,21,0,21,0,21
7.2,University District,178,133,105,99,19,38,19,38,0,29,0,29,0,29,86,85,86,85,0,29,0,29,0,29,73,71,0,29,0,29,0,29,0,29,0,29,73,71,73,71,0,29,0,29,0,29
7.3,Ravenna/Bryant,86,67,63,56,15,33,15,33,0,32,0,32,0,32,48,50,48,50,0,32,0,32,0,32,23,38,0,32,0,32,0,32,0,32,0,32,23,38,23,38,0,32,0,32,0,32
7.4,Wedgwood/View Ridge,51,60,30,37,18,30,18,30,0,27,0,27,0,27,12,31,12,31,0,27,0,27,0,27,21,41,10,29,10,29,0,27,0,27,0,27,11,29,11,29,0,27,0,27,0,27
7.5,Laurelhurst/Sand Point,30,31,23,23,0,21,0,21,0,21,0,21,0,21,23,23,18,21,5,20,0,21,5,20,7,21,0,21,0,21,0,21,0,21,0,21,7,21,7,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,216,198,64,76,35,46,35,46,0,24,0,24,0,24,29,40,29,40,0,24,0,24,0,24,152,130,60,76,60,76,0,24,0,24,0,24,92,67,92,67,0,24,0,24,0,24
8.2,Olympic Hills/Victory Heights,19,35,10,24,0,24,0,24,0,24,0,24,0,24,10,24,10,24,0,24,0,24,0,24,9,22,9,22,9,22,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,136,112,64,61,0,27,0,27,0,27,0,27,0,27,64,61,64,61,0,27,0,27,0,27,72,57,2,24,2,24,0,27,0,27,0,27,70,57,70,57,0,27,0,27,0,27
9.1,Broadview/Bitter Lake,231,186,102,141,52,84,35,60,17,35,0,27,17,35,50,65,11,29,39,63,0,27,39,63,129,90,0,27,0,27,0,27,0,27,0,27,129,90,112,86,17,35,0,27,17,35
9.2,Licton Springs,23,29,11,22,0,17,0,17,0,17,0,17,0,17,11,22,11,22,0,17,0,17,0,17,12,22,0,17,0,17,0,17,0,17,0,17,12,22,12,22,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,217,117,133,70,40,49,40,49,0,29,0,29,0,29,93,61,93,61,0,29,0,29,0,29,84,85,0,29,0,29,0,29,0,29,0,29,84,85,84,85,0,29,0,29,0,29
9.4,Green Lake,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
9.5,Haller Lake,124,79,49,42,0,21,0,21,0,21,0,21,0,21,49,42,49,42,0,21,0,21,0,21,75,58,0,21,0,21,0,21,0,21,0,21,75,58,75,58,0,21,0,21,0,21
10.1,North Beach/Blue Ridge,82,58,54,51,11,25,11,25,0,21,0,21,0,21,43,40,43,40,0,21,0,21,0,21,28,35,0,21,0,21,0,21,0,21,0,21,28,35,28,35,0,21,0,21,0,21
10.2,Whittier Heights,20,35,20,35,0,24,0,24,0,24,0,24,0,24,20,35,0,24,20,35,0,24,20,35,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,45,57,14,29,0,24,0,24,0,24,0,24,0,24,14,29,14,29,0,24,0,24,0,24,31,51,0,24,0,24,0,24,0,24,0,24,31,51,31,51,0,24,0,24,0,24
10.4,Ballard,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
11.1,Fremont,44,45,30,41,0,24,0,24,0,24,0,24,0,24,30,41,30,41,0,24,0,24,0,24,14,30,0,24,0,24,0,24,0,24,0,24,14,30,14,30,0,24,0,24,0,24
11.2,Wallingford,107,68,55,47,0,27,0,27,0,27,0,27,0,27,55,47,55,47,0,27,0,27,0,27,52,46,0,27,0,27,0,27,0,27,0,27,52,46,52,46,0,27,0,27,0,27
11.3,Cascade/Eastlake,296,155,234,145,0,21,0,21,0,21,0,21,0,21,234,145,234,145,0,21,0,21,0,21,62,49,0,21,0,21,0,21,0,21,0,21,62,49,62,49,0,21,0,21,0,21
12.1,Magnolia,52,59,27,36,0,24,0,24,0,24,0,24,0,24,27,36,27,36,0,24,0,24,0,24,25,48,0,24,0,24,0,24,0,24,0,24,25,48,25,48,0,24,0,24,0,24
