area_id,area_name,b27015001,b27015001_moe,b27015002,b27015002_moe,b27015003,b27015003_moe,b27015004,b27015004_moe,b27015005,b27015005_moe,b27015006,b27015006_moe,b27015007,b27015007_moe,b27015008,b27015008_moe,b27015009,b27015009_moe,b27015010,b27015010_moe,b27015011,b27015011_moe,b27015012,b27015012_moe,b27015013,b27015013_moe,b27015014,b27015014_moe,b27015015,b27015015_moe,b27015016,b27015016_moe,b27015017,b27015017_moe,b27015018,b27015018_moe,b27015019,b27015019_moe,b27015020,b27015020_moe,b27015021,b27015021_moe,b27015022,b27015022_moe,b27015023,b27015023_moe,b27015024,b27015024_moe,b27015025,b27015025_moe,b27015026,b27015026_moe
1.1,Arbor Heights,6243,300,203,92,175,80,119,50,128,58,28,47,807,250,603,193,448,129,345,131,204,112,1063,270,926,252,869,248,257,134,137,102,1092,282,1074,277,1038,271,157,74,18,21,3078,436,2911,420,2891,420,251,82,167,111
1.2,Fauntleroy/Seaview,13623,592,1003,286,885,271,659,249,428,146,118,91,1824,364,1598,326,1303,285,663,185,226,105,1380,360,1248,334,1139,280,260,133,132,105,1585,381,1381,324,1333,315,394,158,204,136,7831,708,7280,671,7101,673,563,182,551,353
1.3,West Seattle Junction/Genesee Hill,17489,592,1562,362,1337,333,835,292,810,213,225,124,2552,389,2277,368,2062,344,749,229,275,165,2881,559,2687,544,2517,505,492,178,194,125,2561,508,2450,504,2337,486,427,173,111,108,7933,718,7703,701,7552,683,450,165,230,118
1.4,Alki/Admiral,11059,562,1012,336,810,308,641,266,412,155,202,136,1690,342,1286,255,1157,232,549,169,404,218,1488,437,1391,382,1238,364,400,137,97,111,1114,320,1057,309,1023,305,250,112,57,48,5755,612,5630,610,5525,593,480,173,125,87
2.1,North Delridge,4729,359,464,200,323,145,117,95,240,115,141,158,639,218,594,200,509,199,99,56,45,59,772,281,695,261,670,259,106,82,77,68,865,378,779,358,745,352,88,61,86,83,1989,382,1907,359,1852,360,115,99,82,90
2.2,High Point,6449,416,2383,583,2030,548,486,175,1838,525,353,182,964,414,919,411,659,298,416,239,45,40,951,367,843,337,758,326,152,98,108,78,805,371,721,350,567,230,184,265,84,73,1346,330,1327,328,1223,313,116,105,19,25
2.3,Riverview,4683,295,514,245,274,164,61,40,222,163,240,174,636,222,433,169,350,151,132,72,203,94,840,361,678,281,479,162,247,235,162,125,782,241,741,230,678,222,108,73,41,36,1911,397,1690,376,1633,389,181,77,221,130
2.4,Roxhill/Westwood,12524,701,1845,459,1251,308,502,154,991,300,594,264,2471,642,1937,517,1405,317,719,389,534,235,2909,600,2267,472,2033,442,495,186,642,372,2195,507,1932,439,1694,405,386,185,263,163,3104,514,2890,462,2766,444,218,125,214,144
2.5,Highland Park,5801,462,1030,357,789,271,294,161,641,194,241,132,1109,347,859,290,637,238,378,184,250,124,1390,422,1296,399,1207,385,188,105,94,82,452,232,422,233,422,233,82,70,30,48,1820,454,1550,402,1343,351,294,160,270,149
3.1,South Park,4310,608,880,429,685,384,165,130,591,374,195,120,1215,336,870,291,570,194,423,203,345,152,1010,396,619,301,404,185,296,209,391,321,400,178,348,167,304,138,95,123,52,42,805,621,559,508,403,330,156,183,246,241
3.2,Georgetown,1134,131,199,71,116,60,69,53,78,56,83,56,416,165,198,82,178,79,51,39,218,124,183,96,183,96,179,96,30,41,0,12,239,102,239,102,217,87,59,59,0,12,97,103,87,90,77,79,19,34,10,19
3.3,Duwamish/SODO,1861,203,210,98,145,75,81,57,88,57,65,52,490,288,338,198,156,82,216,178,152,134,301,127,231,98,212,96,70,42,70,58,347,153,325,139,308,136,93,83,22,32,513,185,513,185,505,185,8,15,0,12
3.4,South Beacon Hill/NewHolly,15472,1268,3637,1064,2998,1000,613,245,2723,971,639,276,3880,708,2997,582,1744,385,1571,426,883,364,2292,641,1914,516,1704,472,312,142,378,209,2390,600,1958,517,1584,426,576,209,432,234,3273,862,2732,673,2413,657,529,249,541,451
3.5,Beacon Hill,9243,686,724,226,687,218,291,141,559,200,37,49,1247,449,1040,385,557,213,581,320,207,121,1895,631,1603,568,1108,404,660,325,292,163,1129,537,988,472,886,435,111,105,141,121,4248,912,3829,840,3402,772,694,203,419,240
3.6,North Beacon Hill/Jefferson Park,14060,731,2562,626,2091,542,503,226,1796,514,471,262,3340,847,2556,679,1730,545,1053,415,784,287,3128,794,2398,607,2050,517,765,335,730,318,1317,456,1128,395,944,355,269,172,189,181,3713,696,3506,652,3437,648,85,63,207,135
4.1,Rainier Beach,15032,975,2665,751,1933,547,492,240,1679,489,732,342,3522,939,2811,750,1779,543,1382,569,711,429,3206,756,2629,645,2231,561,553,260,577,288,1687,573,1452,462,1167,370,392,256,235,166,3952,886,3532,835,3121,737,956,384,420,230
4.2,Columbia City,16179,809,3194,629,2277,451,783,225,1749,382,917,345,3524,754,2877,664,1668,429,1620,489,647,273,2266,698,2052,648,1742,537,393,196,214,164,2683,668,2185,573,1776,480,613,315,498,265,4512,756,4066,665,3859,639,446,177,446,270
4.3,Seward Park,8496,521,954,447,690,297,261,125,515,278,264,200,1016,271,895,238,642,179,426,151,121,80,1799,486,1526,386,1224,312,507,225,273,192,1371,402,1319,383,1189,337,317,136,52,62,3356,438,3263,418,3212,417,284,99,93,70
4.4,Mt. Baker/North Rainier,5468,468,611,239,508,207,145,78,404,203,103,126,804,455,639,361,567,344,161,86,165,168,535,254,408,183,348,172,135,83,127,158,882,418,882,418,707,374,195,220,0,17,2636,389,2564,372,2413,347,276,116,72,65
5.1,Madrona/Leschi,9903,566,875,384,572,267,308,159,367,214,303,298,1587,595,1333,463,1033,322,554,295,254,202,961,407,757,278,677,264,217,104,204,211,1269,523,1199,523,1122,518,221,128,70,86,5211,499,5119,506,4969,493,509,156,92,94
5.2,Judkins Park,2673,259,731,149,641,126,143,69,607,124,90,76,770,241,703,236,650,231,86,51,67,55,590,205,525,195,441,185,134,75,65,51,377,210,266,162,266,162,7,14,111,171,205,116,178,102,176,102,28,44,27,31
5.3,Central Area/Squire Park,16231,765,2919,577,2449,536,1567,390,1561,439,470,193,2850,537,2259,429,1778,341,740,250,591,220,2569,535,2357,511,2064,389,471,315,212,90,2168,511,1867,441,1829,440,141,91,301,205,5725,755,5455,712,5303,682,316,170,270,156
6.1,First Hill,11094,549,3997,496,3197,432,1741,349,1846,259,800,255,2391,358,1911,320,1653,292,516,182,480,172,1419,345,1155,300,1119,292,112,64,264,163,1329,356,1226,332,1186,330,212,111,103,103,1958,426,1801,392,1730,383,337,117,157,115
6.2,Capitol Hill,20043,771,4505,547,3431,477,2430,376,1534,386,1074,338,5201,762,3781,603,3331,521,698,334,1420,403,3395,545,2836,450,2741,434,250,119,559,196,2160,459,2071,428,2071,428,50,53,89,84,4782,818,4416,743,4386,743,220,123,366,264
6.3,North Capitol Hill,3908,239,336,119,266,107,224,99,85,63,70,57,497,220,376,164,306,141,99,80,121,135,584,200,525,186,525,186,35,39,59,48,547,235,531,230,531,230,17,26,16,27,1944,288,1944,288,1882,300,213,94,0,12
6.4,Miller Park,7190,364,413,111,331,88,225,84,190,59,82,66,1024,276,814,239,700,214,221,144,210,110,1278,409,1198,403,879,234,420,306,80,57,527,195,516,193,493,189,43,42,11,21,3948,445,3892,436,3685,371,378,216,56,38
6.5,Madison Park,5066,379,312,140,278,125,198,118,107,69,34,40,656,218,656,218,636,218,221,109,0,17,558,178,502,163,482,163,181,91,56,68,402,178,402,178,378,174,36,33,0,17,3138,472,3119,466,3020,463,656,193,19,30
7.1,Montlake/Portage Bay,9336,464,365,144,327,135,283,126,129,69,38,49,1281,316,1160,285,1112,278,153,80,121,98,2125,485,1881,437,1856,434,207,93,244,130,804,223,791,220,750,208,132,75,13,23,4761,499,4565,444,4446,437,582,132,196,112
7.2,University District,11265,1175,4304,649,3565,600,3209,612,430,95,739,289,1586,397,1273,309,1204,309,161,101,313,195,1877,759,1718,717,1685,714,98,64,159,117,946,669,846,643,846,643,24,45,100,117,2552,996,2486,919,2442,919,157,87,66,89
7.3,Ravenna/Bryant,23687,800,3136,487,2773,459,2278,436,699,179,363,173,3616,674,3244,645,2766,494,962,345,372,143,2425,510,2158,462,1975,438,529,154,267,155,2767,611,2646,565,2519,529,373,198,121,106,11743,804,11460,784,11338,778,623,152,283,121
7.4,Wedgwood/View Ridge,14864,457,649,171,571,167,531,161,316,115,78,43,1890,374,1628,321,1370,294,605,164,262,143,2122,473,1908,447,1776,428,390,142,214,122,2099,469,1901,417,1856,412,359,136,198,187,8104,700,7873,689,7747,682,783,161,231,131
7.5,Laurelhurst/Sand Point,10637,524,1213,337,975,285,625,207,493,196,238,190,942,341,798,301,702,287,220,103,144,98,1166,295,1166,295,1160,294,175,86,0,21,754,343,754,343,754,343,86,63,0,21,6562,615,6489,613,6350,607,638,142,73,54
8.1,Northgate/Maple Leaf,13157,598,2764,447,2164,390,1415,310,1191,330,600,208,2919,641,2370,544,2050,498,688,238,549,282,1906,435,1672,396,1466,322,455,230,234,143,1487,367,1364,334,1277,322,305,140,123,93,4081,572,3901,556,3726,506,417,233,180,140
8.2,Olympic Hills/Victory Heights,14484,680,2442,439,1958,371,963,249,1419,314,484,290,2567,533,2154,435,1644,330,908,280,413,169,2659,521,2353,497,2255,488,378,163,306,156,2006,556,1656,446,1636,439,112,87,350,182,4810,650,4561,619,4427,618,307,140,249,121
8.3,Cedar Park/Meadowbrook,11958,594,1923,452,1374,367,484,175,1070,330,549,206,2299,455,1771,394,1511,347,491,174,528,202,2238,497,1640,367,1533,363,341,137,598,375,1436,327,1358,315,1274,298,171,80,78,73,4062,508,3964,505,3800,498,452,153,98,75
9.1,Broadview/Bitter Lake,13197,757,2508,442,2139,416,1293,306,1608,341,369,150,2651,781,2131,548,1437,320,1241,419,520,331,2392,548,1865,445,1645,384,650,257,527,260,1526,412,1473,402,1433,401,216,125,53,67,4120,571,4097,570,4007,555,357,128,23,35
9.2,Licton Springs,8846,502,1264,312,771,229,421,170,479,168,493,252,1703,501,1177,397,1033,392,318,120,526,292,2003,507,1509,403,1265,398,303,170,494,282,1364,409,1239,398,1170,375,120,84,125,76,2512,571,2456,554,2407,544,49,47,56,51
