area_id,area_name,b11001d001,b11001d001_moe,b11001d002,b11001d002_moe,b11001d003,b11001d003_moe,b11001d004,b11001d004_moe,b11001d005,b11001d005_moe,b11001d006,b11001d006_moe,b11001d007,b11001d007_moe,b11001d008,b11001d008_moe,b11001d009,b11001d009_moe
1.1,Arbor Heights,106,53,28,29,28,29,0,17,0,17,0,17,78,46,55,38,23,32
1.2,Fauntleroy/Seaview,240,96,156,78,72,47,84,73,8,23,76,76,84,57,84,57,0,24
1.3,West Seattle Junction/Genesee Hill,178,79,89,57,75,51,14,33,0,29,14,33,89,60,89,60,0,29
1.4,Alki/Admiral,302,114,88,62,88,62,0,24,0,24,0,24,214,102,149,97,65,59
2.1,North Delridge,212,100,161,93,88,65,73,67,49,60,24,30,51,48,35,38,16,26
2.2,High Point,590,146,326,111,184,78,142,91,0,17,142,91,264,140,191,116,73,80
2.3,Riverview,228,61,219,61,162,52,57,42,12,20,45,36,9,15,0,12,9,15
2.4,Roxhill/Westwood,491,129,390,117,315,108,75,70,44,60,31,39,101,66,30,29,71,62
2.5,Highland Park,267,78,230,69,163,79,67,56,27,41,40,44,37,43,37,43,0,21
3.1,South Park,191,51,184,49,104,40,80,49,35,45,45,39,7,16,7,16,0,17
3.2,Georgetown,25,20,25,20,25,20,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,209,55,122,34,91,38,31,29,0,12,31,29,87,46,87,46,0,12
3.4,South Beacon Hill/NewHolly,2013,195,1674,193,1138,172,536,165,211,92,325,138,339,113,308,110,31,31
3.5,Beacon Hill,1505,186,1191,177,880,146,311,131,85,73,226,112,314,118,202,94,112,80
3.6,North Beacon Hill/Jefferson Park,2271,215,1362,189,935,182,427,141,175,96,252,118,909,188,758,165,151,119
4.1,Rainier Beach,1148,198,848,154,671,148,177,88,44,46,133,81,300,126,284,122,16,33
4.2,Columbia City,1359,191,1027,148,691,146,336,123,100,56,236,115,332,141,276,119,56,78
4.3,Seward Park,565,83,395,77,333,78,62,49,28,25,34,41,170,77,121,65,49,40
4.4,Mt. Baker/North Rainier,382,82,250,64,79,59,171,67,61,51,110,74,132,75,114,67,18,23
5.1,Madrona/Leschi,254,91,123,61,123,61,0,21,0,21,0,21,131,77,119,74,12,22
5.2,Judkins Park,597,106,159,54,129,45,30,31,0,12,30,31,438,97,392,86,46,39
5.3,Central Area/Squire Park,473,150,136,87,97,60,39,59,39,59,0,24,337,122,201,91,136,99
6.1,First Hill,1179,208,312,115,220,87,92,65,70,59,22,33,867,186,710,190,157,97
6.2,Capitol Hill,1106,279,141,87,111,82,30,34,13,31,17,32,965,271,815,257,150,76
6.3,North Capitol Hill,187,107,91,74,91,74,0,12,0,12,0,12,96,64,96,64,0,12
6.4,Miller Park,180,65,99,51,76,46,23,22,5,14,18,21,81,50,58,34,23,38
6.5,Madison Park,125,99,45,51,45,51,0,17,0,17,0,17,80,81,80,81,0,17
7.1,Montlake/Portage Bay,202,81,88,58,68,59,20,24,0,21,20,24,114,69,74,52,40,48
7.2,University District,1400,220,172,77,50,39,122,70,81,62,41,40,1228,223,919,220,309,126
7.3,Ravenna/Bryant,977,185,488,121,411,116,77,55,20,41,57,48,489,145,275,99,214,115
7.4,Wedgwood/View Ridge,623,103,442,94,362,85,80,55,26,35,54,49,181,84,170,82,11,29
7.5,Laurelhurst/Sand Point,486,143,339,121,247,109,92,58,0,21,92,58,147,83,128,79,19,23
8.1,Northgate/Maple Leaf,1211,201,470,129,348,127,122,69,46,45,76,64,741,197,688,191,53,41
8.2,Olympic Hills/Victory Heights,1062,198,591,150,327,110,264,121,82,75,182,94,471,156,386,130,85,93
8.3,Cedar Park/Meadowbrook,532,135,217,67,199,67,18,31,3,25,15,33,315,115,234,101,81,63
9.1,Broadview/Bitter Lake,513,135,218,81,203,79,15,29,0,27,15,29,295,133,234,104,61,80
9.2,Licton Springs,835,175,287,112,211,105,76,49,27,31,49,39,548,152,459,148,89,57
9.3,Greenwood/Phinney Ridge,701,155,472,117,313,113,159,76,0,29,159,76,229,107,174,96,55,53
9.4,Green Lake,403,118,180,75,148,68,32,35,0,24,32,35,223,96,174,94,49,48
9.5,Haller Lake,523,130,321,100,274,95,47,46,0,21,47,46,202,113,101,96,101,73
10.1,North Beach/Blue Ridge,220,77,134,61,127,60,7,20,7,20,0,21,86,47,75,44,11,23
10.2,Whittier Heights,212,82,135,69,124,67,11,26,0,24,11,26,77,60,42,49,35,41
10.3,Sunset Hill/Loyal Heights,231,102,136,73,105,67,31,39,19,31,12,26,95,87,82,85,13,25
10.4,Ballard,273,124,62,49,62,49,0,17,0,17,0,17,211,126,150,101,61,76
11.1,Fremont,390,117,124,60,74,50,50,39,0,24,50,39,266,106,160,80,106,72
11.2,Wallingford,868,185,121,54,90,49,31,32,0,27,31,32,747,180,344,138,403,138
11.3,Cascade/Eastlake,1391,291,303,172,185,104,118,135,112,135,6,23,1088,305,994,296,94,77
12.1,Magnolia,214,89,86,61,86,61,0,24,0,24,0,24,128,76,64,59,64,55
12.2,Interbay,256,128,116,87,90,79,26,33,0,21,26,33,140,98,63,54,77,83
12.3,Queen Anne,1492,276,509,148,445,151,64,89,0,40,64,89,983,239,836,228,147,103
13.1,Belltown,640,203,107,77,75,52,32,56,32,56,0,21,533,185,508,183,25,42
13.2,Downtown Commercial Core,194,105,128,91,128,91,0,12,0,12,0,12,66,58,66,58,0,12
13.3,Pioneer Square/International District,1302,146,540,122,408,114,132,76,30,30,102,68,762,132,727,131,35,41
