area_id,area_name,b19101i001,b19101i001_moe,b19101i002,b19101i002_moe,b19101i003,b19101i003_moe,b19101i004,b19101i004_moe,b19101i005,b19101i005_moe,b19101i006,b19101i006_moe,b19101i007,b19101i007_moe,b19101i008,b19101i008_moe,b19101i009,b19101i009_moe,b19101i010,b19101i010_moe,b19101i011,b19101i011_moe,b19101i012,b19101i012_moe,b19101i013,b19101i013_moe,b19101i014,b19101i014_moe,b19101i015,b19101i015_moe,b19101i016,b19101i016_moe,b19101i017,b19101i017_moe
1.1,Arbor Heights,103,67,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,24,42,0,17,22,37,15,24,18,22,11,20,13,23
1.2,Fauntleroy/Seaview,72,52,0,24,0,24,16,31,0,24,0,24,0,24,0,24,15,30,0,24,0,24,0,24,0,24,0,24,0,24,19,34,22,35
1.3,West Seattle Junction/Genesee Hill,149,97,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,13,33,13,34,0,29,0,29,0,29,61,71,11,29,51,62
1.4,Alki/Admiral,97,97,0,24,0,24,0,24,0,24,0,24,0,24,24,40,0,24,0,24,54,86,0,24,0,24,0,24,19,35,0,24,0,24
2.1,North Delridge,95,74,0,12,0,12,0,12,54,81,0,12,0,12,0,12,0,12,0,12,0,12,27,31,14,23,0,12,0,12,0,12,0,12
2.2,High Point,27,27,0,17,0,17,0,17,10,22,0,17,0,17,0,17,7,17,0,17,0,17,0,17,0,17,10,20,0,17,0,17,0,17
2.3,Riverview,47,35,0,12,0,12,0,12,0,12,9,15,0,12,0,12,12,18,0,12,0,12,0,12,18,25,0,12,0,12,0,12,8,14
2.4,Roxhill/Westwood,679,169,17,32,51,59,32,49,73,79,58,72,25,37,2,18,10,25,66,57,41,48,145,94,124,110,28,44,0,21,7,21,0,21
2.5,Highland Park,177,127,17,30,0,21,0,21,50,79,0,21,0,21,0,21,0,21,17,30,0,21,64,102,16,28,2,23,11,25,0,21,0,21
3.1,South Park,309,74,33,42,47,49,0,17,26,48,37,48,14,22,9,18,15,27,10,21,28,46,59,53,0,17,31,47,0,17,0,17,0,17
3.2,Georgetown,58,53,0,12,0,12,0,12,0,12,0,12,0,12,18,24,0,12,30,44,0,12,0,12,10,17,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,60,56,6,10,0,12,0,12,0,12,0,12,28,44,0,12,0,12,0,12,0,12,8,13,7,13,0,12,0,12,0,12,11,17
3.4,South Beacon Hill/NewHolly,89,68,0,24,0,24,21,28,0,24,19,28,0,24,49,61,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
3.5,Beacon Hill,36,41,18,33,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,6,22,0,17,0,17,12,22,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,299,132,35,59,17,37,10,27,54,76,10,28,19,39,10,28,95,91,0,24,19,37,0,24,0,24,9,25,21,37,0,24,0,24
4.1,Rainier Beach,330,148,36,61,0,27,31,55,54,86,10,28,41,70,38,64,0,27,0,27,73,87,47,58,0,27,0,27,0,27,0,27,0,27
4.2,Columbia City,221,129,0,27,0,27,0,27,36,65,0,27,16,33,11,28,13,30,11,27,74,94,0,27,30,38,30,47,0,27,0,27,0,27
4.3,Seward Park,139,94,0,17,37,58,28,46,0,17,4,27,0,17,6,16,0,17,0,17,0,17,46,57,10,21,8,18,0,17,0,17,0,17
4.4,Mt. Baker/North Rainier,29,33,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,29,33,0,17
5.1,Madrona/Leschi,68,57,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,16,32,0,21,16,27,0,21,36,44
5.2,Judkins Park,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,166,86,0,24,0,24,0,24,0,24,0,24,13,29,0,24,26,34,48,63,0,24,0,24,36,40,0,24,43,48,0,24,0,24
6.1,First Hill,97,56,0,24,0,24,13,29,0,24,18,35,0,24,0,24,43,42,0,24,0,24,0,24,0,24,23,34,0,24,0,24,0,24
6.2,Capitol Hill,218,182,0,29,0,29,0,29,0,29,90,147,0,29,0,29,32,57,0,29,37,67,0,29,0,29,46,80,0,29,13,33,0,29
6.3,North Capitol Hill,37,44,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,31,0,12,0,12,0,12,0,12,19,31
6.4,Miller Park,50,36,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,7,16,18,21,17,20,0,17,8,17
6.5,Madison Park,12,19,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,12,19,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,61,42,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,9,23,9,23,15,28,10,24,10,23,8,21
7.2,University District,30,44,0,29,17,36,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,13,33,0,29,0,29
7.3,Ravenna/Bryant,78,51,0,32,0,32,0,32,0,32,0,32,13,36,0,32,0,32,0,32,0,32,14,37,34,36,0,32,0,32,17,33,0,32
7.4,Wedgwood/View Ridge,134,60,10,28,0,27,0,27,0,27,0,27,0,27,0,27,5,25,0,27,0,27,0,27,11,29,38,40,15,27,36,36,19,31
7.5,Laurelhurst/Sand Point,22,38,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,22,38,0,21,0,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,257,123,0,24,0,24,9,25,40,65,0,24,14,29,98,112,0,24,10,25,0,24,0,24,33,33,27,33,0,24,0,24,26,33
8.2,Olympic Hills/Victory Heights,301,117,43,70,0,24,0,24,16,33,0,24,27,47,0,24,0,24,0,24,80,69,44,43,17,34,48,42,0,24,16,33,10,26
8.3,Cedar Park/Meadowbrook,241,108,10,29,11,27,57,75,17,36,0,27,0,27,0,27,0,27,13,30,0,27,82,70,30,48,7,27,0,27,0,27,14,26
9.1,Broadview/Bitter Lake,130,107,52,84,0,27,12,27,0,27,0,27,0,27,0,27,0,27,17,35,0,27,0,27,0,27,0,27,49,61,0,27,0,27
9.2,Licton Springs,200,122,0,17,0,17,17,31,0,17,60,70,0,17,0,17,29,30,12,22,0,17,58,92,3,13,9,19,0,17,12,22,0,17
9.3,Greenwood/Phinney Ridge,241,109,0,29,16,37,0,29,9,31,0,29,36,64,0,29,15,38,51,61,0,29,24,36,16,36,22,43,15,36,27,33,10,32
9.4,Green Lake,126,100,0,24,0,24,0,24,0,24,0,24,0,24,7,31,49,77,30,50,13,29,10,27,0,24,0,24,0,24,0,24,17,36
