area_id,area_name,b19202d001,b19202d001_moe
1.1,Arbor Heights,149259,135676
1.2,Fauntleroy/Seaview,18500,45963
1.3,West Seattle Junction/Genesee Hill,80395,43048
1.4,Alki/Admiral,187678,23986
2.1,North Delridge,25341,68646
2.2,High Point,60562,127776
2.4,Roxhill/Westwood,101020,78837
2.5,Highland Park,20398,14286
3.3,Duwamish/SODO,38438,27029
3.4,South Beacon Hill/NewHolly,72649,69472
3.5,Beacon Hill,66250,55016
3.6,North Beacon Hill/Jefferson Park,56079,21078
4.1,Rainier Beach,88609,36338
4.2,Columbia City,110862,36786
4.3,Seward Park,126500,46936
4.4,Mt. Baker/North Rainier,18077,17822
5.1,Madrona/Leschi,187418,222884
5.2,Judkins Park,15417,14345
5.3,Central Area/Squire Park,210236,115098
6.1,First Hill,128376,79834
6.2,Capitol Hill,254934,149558
6.3,North Capitol Hill,66711,49949
6.4,Miller Park,54565,68861
6.5,Madison Park,4113,28008
7.1,Montlake/Portage Bay,121302,229402
7.2,University District,38831,20040
7.3,Ravenna/Bryant,283286,131611
7.4,Wedgwood/View Ridge,139224,74572
7.5,Laurelhurst/Sand Point,40230,154596
8.1,Northgate/Maple Leaf,72681,17579
8.2,Olympic Hills/Victory Heights,241174,184804
8.3,Cedar Park/Meadowbrook,214010,113239
9.1,Broadview/Bitter Lake,17173,3990
9.2,Licton Springs,61279,52866
9.3,Greenwood/Phinney Ridge,116593,148029
9.4,Green Lake,109231,174590
9.5,Haller Lake,41935,42660
10.1,North Beach/Blue Ridge,200604,20379
10.2,Whittier Heights,76029,30066
10.3,Sunset Hill/Loyal Heights,63831,190655
10.4,Ballard,83250,20366
11.1,Fremont,347370,116960
11.2,Wallingford,106730,92488
11.3,Cascade/Eastlake,198595,93557
12.1,Magnolia,212729,88160
12.2,Interbay,114122,113873
12.3,Queen Anne,414136,137221
13.1,Belltown,147116,41009
13.2,Downtown Commercial Core,30192,64449
13.3,Pioneer Square/International District,22244,11814
