area_id,area_name,b14007a001,b14007a001_moe,b14007a002,b14007a002_moe,b14007a003,b14007a003_moe,b14007a004,b14007a004_moe,b14007a005,b14007a005_moe,b14007a006,b14007a006_moe,b14007a007,b14007a007_moe,b14007a008,b14007a008_moe,b14007a009,b14007a009_moe,b14007a010,b14007a010_moe,b14007a011,b14007a011_moe,b14007a012,b14007a012_moe,b14007a013,b14007a013_moe,b14007a014,b14007a014_moe,b14007a015,b14007a015_moe,b14007a016,b14007a016_moe,b14007a017,b14007a017_moe,b14007a018,b14007a018_moe,b14007a019,b14007a019_moe
1.1,Arbor Heights,4965,309,821,151,217,81,40,30,81,49,31,28,59,46,51,44,49,35,0,17,10,22,27,23,35,31,0,17,43,32,24,27,101,52,53,37,4144,252
1.2,Fauntleroy/Seaview,11832,630,2058,321,140,95,193,112,81,95,13,27,207,109,53,40,122,67,88,69,154,115,119,72,108,85,80,57,56,41,82,64,309,132,253,102,9774,524
1.3,West Seattle Junction/Genesee Hill,15292,622,2952,381,259,118,196,76,171,83,106,63,147,81,215,83,121,67,160,80,127,67,143,84,69,43,209,97,113,91,81,69,515,167,320,142,12340,507
1.4,Alki/Admiral,9645,523,1674,267,238,112,17,27,185,124,45,42,62,47,57,47,92,56,75,58,19,34,61,49,30,33,96,64,112,61,28,32,418,128,139,98,7971,423
2.1,North Delridge,3149,411,356,190,38,50,0,12,37,49,0,12,38,50,12,19,0,12,28,41,19,31,0,12,15,26,27,32,26,32,0,12,72,52,44,44,2793,306
2.2,High Point,2664,380,498,221,60,49,34,36,24,38,23,37,0,17,16,28,0,17,0,17,53,46,29,35,14,26,14,26,25,35,15,26,159,182,32,38,2166,294
2.3,Riverview,2579,284,331,103,18,22,11,18,8,13,0,12,0,12,26,27,0,12,11,17,6,10,33,29,17,19,62,43,26,32,48,54,59,34,6,13,2248,275
2.4,Roxhill/Westwood,8068,749,1599,382,97,58,60,52,88,82,96,67,114,82,15,22,11,25,97,83,81,59,20,35,41,39,91,77,196,126,203,138,252,109,137,61,6469,496
2.5,Highland Park,3424,391,536,176,0,21,52,46,39,47,0,21,35,40,0,21,17,31,15,26,24,29,24,34,16,31,54,50,24,35,35,42,169,87,32,38,2888,367
3.1,South Park,2593,512,574,213,60,62,48,52,28,51,67,49,21,37,63,61,21,37,51,57,28,51,25,42,36,42,18,31,23,41,8,18,64,61,13,18,2019,463
3.2,Georgetown,825,204,100,69,0,12,7,11,0,12,7,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,83,64,3,9,725,233
3.3,Duwamish/SODO,1262,259,89,64,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,10,0,12,0,12,61,56,22,24,1173,254
3.4,South Beacon Hill/NewHolly,2052,398,539,227,51,60,9,25,0,24,0,24,12,28,6,20,24,42,42,54,109,83,0,24,64,58,46,62,13,24,15,25,148,78,0,24,1513,249
3.5,Beacon Hill,1802,350,137,79,7,18,0,17,0,17,0,17,17,30,0,17,7,17,7,18,14,25,7,17,24,40,8,18,0,17,11,21,24,29,11,23,1665,327
3.6,North Beacon Hill/Jefferson Park,4846,576,709,230,45,48,90,72,58,65,48,59,19,34,19,34,19,34,39,46,0,24,0,24,0,24,0,24,31,54,0,24,166,140,175,76,4137,495
4.1,Rainier Beach,4143,571,714,231,64,60,51,58,69,73,24,40,0,27,0,27,12,30,0,27,17,34,37,64,69,79,17,37,0,27,64,55,275,148,15,32,3429,471
4.2,Columbia City,5782,659,957,231,30,34,157,81,40,46,63,53,54,45,20,37,29,35,35,37,77,56,62,66,69,65,10,26,0,27,26,44,99,65,186,92,4825,566
4.3,Seward Park,4910,503,1036,230,108,55,47,35,76,43,88,56,72,55,54,38,26,36,51,51,56,42,75,55,21,25,61,45,9,21,46,51,167,125,79,62,3874,366
4.4,Mt. Baker/North Rainier,3306,323,892,214,28,32,75,80,46,42,26,32,49,47,26,42,71,56,35,39,100,50,0,17,53,46,13,22,55,45,13,22,177,112,125,94,2414,223
5.1,Madrona/Leschi,6013,445,1016,230,164,82,109,100,30,34,56,38,11,23,59,50,45,41,43,42,14,25,27,26,0,21,57,46,72,57,31,36,166,81,132,98,4997,369
5.2,Judkins Park,802,221,92,61,0,12,9,14,0,12,0,12,12,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,59,48,12,19,710,212
5.3,Central Area/Squire Park,10401,618,2004,329,171,90,67,46,173,91,33,56,34,41,59,51,0,24,44,47,39,45,15,30,53,44,31,46,1,21,13,29,680,188,591,179,8397,511
6.1,First Hill,9438,714,2538,529,7,24,6,24,14,39,6,24,0,24,0,24,2,24,13,33,13,32,2,21,2,24,12,24,2,24,25,34,1957,471,477,160,6900,500
6.2,Capitol Hill,15808,838,2165,414,0,29,44,55,0,29,17,37,0,29,0,29,0,29,10,30,15,34,0,29,5,29,5,29,0,29,37,52,1339,351,693,201,13643,792
6.3,North Capitol Hill,3316,299,477,149,46,41,22,25,0,12,10,17,10,15,18,31,13,21,26,30,39,31,0,12,20,18,10,16,0,12,29,36,104,89,130,94,2839,260
6.4,Miller Park,5556,360,1325,181,129,67,50,32,47,36,39,30,75,36,61,54,39,29,28,30,28,28,43,33,90,53,64,44,40,33,27,26,285,88,280,103,4231,306
6.5,Madison Park,4517,383,811,200,68,46,47,31,58,40,93,54,42,37,86,54,42,34,28,29,14,22,36,35,36,32,16,24,70,48,37,48,45,42,93,61,3706,310
7.1,Montlake/Portage Bay,8020,436,1603,278,168,70,37,33,70,44,63,58,55,36,50,42,19,26,106,50,22,26,52,37,12,22,32,30,55,40,76,52,386,150,400,177,6417,358
7.2,University District,12494,1218,8642,1056,40,46,36,42,39,48,39,42,0,29,35,44,12,31,0,29,31,44,23,33,0,29,11,31,15,28,154,246,7755,977,452,151,3852,537
7.3,Ravenna/Bryant,19018,759,6314,628,415,132,196,80,272,104,163,70,158,76,67,40,130,57,160,72,98,53,165,71,136,63,106,60,116,63,134,64,2765,496,1233,270,12704,496
7.4,Wedgwood/View Ridge,11670,474,2694,289,308,92,155,67,126,58,138,62,164,70,114,63,124,71,51,35,111,67,145,82,129,81,182,89,114,71,176,80,393,122,264,105,8976,352
7.5,Laurelhurst/Sand Point,8319,584,2622,399,199,90,160,94,110,56,122,61,60,52,151,79,131,67,114,62,61,52,135,76,160,72,92,55,108,67,77,57,554,208,388,126,5697,399
8.1,Northgate/Maple Leaf,9141,479,2154,360,178,82,100,54,26,37,63,46,60,44,89,65,65,88,45,41,87,47,72,53,54,68,61,43,46,42,89,62,782,291,337,116,6987,400
8.2,Olympic Hills/Victory Heights,9826,618,1926,315,130,78,51,38,78,50,105,80,61,43,126,89,60,50,40,37,39,40,58,47,105,56,63,51,30,32,67,52,588,193,325,118,7900,457
8.3,Cedar Park/Meadowbrook,8560,531,1573,313,92,44,159,88,53,49,58,35,38,39,84,51,22,29,83,53,37,43,50,42,15,23,69,66,75,45,52,46,401,138,285,109,6987,413
9.1,Broadview/Bitter Lake,9991,703,1855,358,133,83,31,33,108,79,88,62,45,40,69,54,68,47,74,54,119,82,137,106,64,66,50,46,31,35,147,83,462,179,229,120,8136,582
9.2,Licton Springs,6012,456,869,255,46,43,31,39,11,23,34,40,38,37,0,17,32,38,0,17,0,17,12,22,22,41,16,29,22,36,26,43,459,207,120,75,5143,432
9.3,Greenwood/Phinney Ridge,18498,629,3252,337,423,112,204,82,169,63,142,74,106,54,212,100,125,63,88,54,160,84,61,46,39,42,119,58,46,47,81,48,712,187,565,152,15246,551
9.4,Green Lake,11331,634,2263,336,213,77,40,41,62,44,105,54,36,37,107,62,67,49,94,55,28,39,44,42,51,42,163,81,15,32,30,37,514,180,694,207,9068,550
9.5,Haller Lake,6651,454,1080,245,136,89,40,32,67,49,96,81,41,36,46,38,38,42,61,44,21,29,62,58,34,40,8,21,0,21,24,30,264,112,142,80,5571,364
10.1,North Beach/Blue Ridge,9832,475,1986,288,159,73,50,35,60,45,81,62,147,79,75,45,158,69,128,86,56,47,89,74,93,49,106,81,165,85,86,72,414,132,119,60,7846,376
10.2,Whittier Heights,10053,407,1915,309,287,101,141,82,103,55,81,52,57,42,105,61,65,78,35,34,65,52,15,29,61,44,35,33,50,47,114,97,332,134,369,131,8138,346
10.3,Sunset Hill/Loyal Heights,11970,586,2284,331,278,100,111,60,94,57,68,53,63,45,115,69,101,63,49,46,121,63,71,52,77,55,26,30,129,81,80,72,581,203,320,122,9686,464
10.4,Ballard,5835,465,679,224,62,76,29,35,0,17,0,17,8,14,0,17,33,42,17,27,26,19,19,30,16,25,19,30,0,17,0,17,185,140,265,139,5156,445
11.1,Fremont,13061,505,2588,362,186,71,59,43,90,72,69,53,37,40,53,46,39,36,28,36,48,49,40,41,24,34,50,42,13,30,61,50,860,285,931,236,10473,549
11.2,Wallingford,12689,837,3527,549,186,74,131,62,149,66,58,41,88,52,117,69,106,60,62,45,33,34,53,38,38,37,32,36,43,37,2,24,1590,481,839,224,9162,550
11.3,Cascade/Eastlake,8512,651,1489,347,44,53,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,34,38,0,21,0,21,8,23,945,277,458,158,7023,597
12.1,Magnolia,10861,596,2459,457,242,105,137,77,125,81,226,107,61,45,85,81,243,115,115,68,141,83,188,106,106,62,69,70,58,46,40,40,479,343,144,81,8402,383
12.2,Interbay,8074,516,1526,260,131,87,117,81,79,78,27,32,51,49,64,73,65,52,28,34,22,27,27,40,22,26,44,42,50,48,8,21,539,193,252,122,6548,434
12.3,Queen Anne,29495,1072,6451,781,382,114,137,81,129,81,126,68,115,70,229,105,235,108,132,70,67,59,125,82,140,78,130,84,89,61,256,98,3269,679,890,265,23044,765
13.1,Belltown,5930,499,464,172,0,21,0,21,0,21,0,21,0,21,0,21,14,25,0,21,0,21,0,21,0,21,0,21,0,21,0,21,184,108,266,130,5466,496
13.2,Downtown Commercial Core,2659,293,166,116,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,90,90,76,60,2493,292
13.3,Pioneer Square/International District,1714,221,106,90,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,6,17,0,17,46,36,54,83,1608,212
