area_id,area_name,b14007i001,b14007i001_moe,b14007i002,b14007i002_moe,b14007i003,b14007i003_moe,b14007i004,b14007i004_moe,b14007i005,b14007i005_moe,b14007i006,b14007i006_moe,b14007i007,b14007i007_moe,b14007i008,b14007i008_moe,b14007i009,b14007i009_moe,b14007i010,b14007i010_moe,b14007i011,b14007i011_moe,b14007i012,b14007i012_moe,b14007i013,b14007i013_moe,b14007i014,b14007i014_moe,b14007i015,b14007i015_moe,b14007i016,b14007i016_moe,b14007i017,b14007i017_moe,b14007i018,b14007i018_moe,b14007i019,b14007i019_moe
1.1,Arbor Heights,325,175,92,62,30,39,0,17,6,16,0,17,15,24,6,16,11,20,0,17,0,17,10,20,0,17,0,17,0,17,0,17,14,22,0,17,233,137
1.2,Fauntleroy/Seaview,627,287,278,183,0,24,0,24,48,77,0,24,0,24,40,33,0,24,28,36,57,72,31,39,0,24,13,26,0,24,0,24,61,64,0,24,349,142
1.3,West Seattle Junction/Genesee Hill,595,240,156,114,14,33,0,29,14,35,0,29,0,29,0,29,12,30,0,29,0,29,0,29,0,29,0,29,0,29,12,30,73,91,31,42,439,190
1.4,Alki/Admiral,523,303,114,92,0,24,0,24,44,72,0,24,0,24,0,24,0,24,24,43,0,24,0,24,0,24,21,36,0,24,0,24,25,40,0,24,409,254
2.1,North Delridge,354,148,31,38,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,26,0,12,0,12,0,12,16,26,0,12,323,155
2.2,High Point,228,122,77,67,0,17,0,17,11,22,0,17,0,17,0,17,11,22,0,17,16,28,23,28,0,17,0,17,0,17,0,17,0,17,16,28,151,91
2.3,Riverview,266,160,53,57,0,12,11,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,18,0,12,31,28,0,12,213,133
2.4,Roxhill/Westwood,2704,649,994,323,68,61,80,64,108,73,51,48,46,59,0,21,11,25,81,83,19,35,43,49,35,39,79,77,103,92,133,131,116,75,21,35,1710,420
2.5,Highland Park,726,276,163,98,0,21,14,26,16,29,0,21,17,29,0,21,0,21,0,21,0,21,0,21,2,22,0,21,0,21,26,43,88,65,0,21,563,257
3.1,South Park,1764,494,550,198,53,60,40,52,42,57,58,49,41,44,56,59,21,37,23,40,42,57,31,43,37,43,26,34,23,41,0,17,57,60,0,17,1214,455
3.2,Georgetown,204,166,16,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,21,0,12,188,157
3.3,Duwamish/SODO,207,153,40,60,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,32,0,12,15,26,0,12,7,13,0,12,167,140
3.4,South Beacon Hill/NewHolly,417,200,219,136,0,24,0,24,28,35,15,33,0,24,0,24,0,24,42,54,88,78,0,24,9,22,0,24,0,24,7,21,30,31,0,24,198,107
3.5,Beacon Hill,353,301,90,97,0,17,5,22,6,24,19,35,19,35,6,24,0,17,0,17,14,25,0,17,0,17,8,18,0,17,0,17,13,26,0,17,263,233
3.6,North Beacon Hill/Jefferson Park,1383,534,325,196,0,24,46,59,38,61,31,54,0,24,27,35,53,74,25,35,0,24,54,74,0,24,0,24,31,54,0,24,8,24,12,29,1058,446
4.1,Rainier Beach,1548,493,603,255,17,34,54,54,44,62,39,64,0,27,53,84,36,61,0,27,105,111,47,65,29,51,44,72,0,27,31,54,89,102,15,32,945,311
4.2,Columbia City,1129,431,245,133,20,37,0,27,14,30,13,30,0,27,0,27,13,31,0,27,13,31,33,60,14,33,6,30,59,66,0,27,49,50,11,29,884,365
4.3,Seward Park,584,412,184,171,0,17,0,17,11,21,0,17,38,48,0,17,0,17,26,45,0,17,27,45,0,17,0,17,0,17,0,17,82,115,0,17,400,258
4.4,Mt. Baker/North Rainier,227,153,42,52,0,17,0,17,15,24,0,17,0,17,0,17,15,24,0,17,0,17,0,17,0,17,0,17,0,17,0,17,12,21,0,17,185,137
5.1,Madrona/Leschi,314,162,92,68,42,49,17,32,0,21,0,21,0,21,0,21,0,21,15,26,0,21,0,21,0,21,0,21,0,21,0,21,18,31,0,21,222,114
5.2,Judkins Park,156,172,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,156,172
5.3,Central Area/Squire Park,1097,309,362,155,57,72,12,28,116,74,0,24,0,24,19,35,0,24,0,24,9,25,11,28,11,27,0,24,12,30,22,33,57,42,36,41,735,205
6.1,First Hill,1105,295,356,141,0,24,0,24,14,39,0,24,0,24,0,24,0,24,13,33,12,32,9,25,3,22,4,22,0,24,19,32,223,91,59,67,749,224
6.2,Capitol Hill,1302,373,270,150,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,26,60,0,29,0,29,0,29,218,139,26,38,1032,340
6.3,North Capitol Hill,259,111,20,31,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,20,31,0,12,239,110
6.4,Miller Park,336,129,128,75,0,17,0,17,0,17,5,16,0,17,9,19,0,17,15,22,5,16,0,17,6,17,18,28,0,17,0,17,41,36,29,28,208,86
6.5,Madison Park,131,92,65,62,0,17,0,17,0,17,12,20,0,17,0,17,11,18,0,17,0,17,12,20,0,17,0,17,0,17,30,47,0,17,0,17,66,50
7.1,Montlake/Portage Bay,338,149,77,55,11,23,28,32,12,23,0,21,0,21,11,25,15,28,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,261,128
7.2,University District,949,305,787,285,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,769,283,18,40,162,105
7.3,Ravenna/Bryant,632,180,388,141,31,38,0,32,0,32,0,32,10,32,19,32,2,30,0,32,0,32,17,32,0,32,9,29,15,37,0,32,195,93,90,81,244,90
7.4,Wedgwood/View Ridge,514,174,250,122,44,49,9,28,8,28,19,32,0,27,33,35,0,27,0,27,30,50,19,32,0,27,18,36,11,34,16,33,31,35,12,28,264,101
7.5,Laurelhurst/Sand Point,259,173,132,121,0,21,0,21,21,36,26,37,0,21,20,35,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,8,21,57,62,127,98
8.1,Northgate/Maple Leaf,778,269,257,156,11,28,11,28,0,24,25,33,0,24,0,24,0,24,0,24,7,23,0,24,0,24,0,24,0,24,51,71,145,151,7,24,521,202
