area_id,area_name,b17010a001,b17010a001_moe,b17010a002,b17010a002_moe,b17010a003,b17010a003_moe,b17010a004,b17010a004_moe,b17010a005,b17010a005_moe,b17010a006,b17010a006_moe,b17010a007,b17010a007_moe,b17010a008,b17010a008_moe,b17010a009,b17010a009_moe,b17010a010,b17010a010_moe,b17010a011,b17010a011_moe,b17010a012,b17010a012_moe,b17010a013,b17010a013_moe,b17010a014,b17010a014_moe,b17010a015,b17010a015_moe,b17010a016,b17010a016_moe,b17010a017,b17010a017_moe,b17010a018,b17010a018_moe,b17010a019,b17010a019_moe,b17010a020,b17010a020_moe,b17010a021,b17010a021_moe,b17010a022,b17010a022_moe,b17010a023,b17010a023_moe,b17010a024,b17010a024_moe,b17010a025,b17010a025_moe,b17010a026,b17010a026_moe,b17010a027,b17010a027_moe,b17010a028,b17010a028_moe,b17010a029,b17010a029_moe,b17010a030,b17010a030_moe,b17010a031,b17010a031_moe,b17010a032,b17010a032_moe,b17010a033,b17010a033_moe,b17010a034,b17010a034_moe,b17010a035,b17010a035_moe,b17010a036,b17010a036_moe,b17010a037,b17010a037_moe,b17010a038,b17010a038_moe,b17010a039,b17010a039_moe,b17010a040,b17010a040_moe,b17010a041,b17010a041_moe
1.1,Arbor Heights,1420,136,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,1420,136,1201,146,517,86,100,54,171,73,246,76,684,110,219,79,72,47,66,46,21,36,10,19,35,28,6,16,147,63,46,35,10,20,0,17,36,30,101,54
1.2,Fauntleroy/Seaview,3113,279,66,53,66,53,52,47,0,24,11,25,41,39,14,29,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,3047,279,2619,273,1121,150,301,121,198,102,622,166,1498,244,428,122,46,37,21,29,0,24,0,24,21,29,25,33,382,117,160,69,68,51,17,34,75,57,222,98
1.3,West Seattle Junction/Genesee Hill,3838,271,138,90,68,50,8,27,8,27,0,29,0,29,60,50,70,80,19,39,19,39,0,29,0,29,19,39,0,29,51,72,51,72,0,29,51,72,0,29,0,29,3700,282,2991,261,1313,170,414,126,197,87,702,147,1678,216,709,187,178,84,43,44,0,29,0,29,43,44,135,71,531,168,394,142,93,90,8,27,293,118,137,98
1.4,Alki/Admiral,2246,209,46,42,27,34,0,24,0,24,0,24,0,24,27,34,19,34,0,24,0,24,0,24,0,24,0,24,0,24,19,34,0,24,0,24,0,24,0,24,19,34,2200,216,1943,203,733,124,167,82,124,107,442,117,1210,204,257,119,119,102,32,43,23,41,0,24,9,23,87,94,138,64,113,57,35,43,0,24,78,52,25,34
2.1,North Delridge,633,148,15,24,0,12,0,12,0,12,0,12,0,12,0,12,15,24,15,24,15,24,15,24,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,618,146,524,140,253,101,150,86,28,42,75,63,271,110,94,60,33,33,12,19,0,12,0,12,12,19,21,27,61,50,47,46,14,22,0,12,33,40,14,21
2.2,High Point,605,126,15,26,0,17,0,17,0,17,0,17,0,17,0,17,15,26,0,17,0,17,0,17,0,17,0,17,0,17,15,26,15,26,0,17,0,17,15,26,0,17,590,126,470,131,173,87,103,79,47,48,23,29,297,105,120,60,10,19,0,17,0,17,0,17,0,17,10,19,110,58,66,45,13,24,0,17,53,47,44,39
2.3,Riverview,613,94,38,48,0,12,0,12,0,12,0,12,0,12,0,12,38,48,0,12,0,12,0,12,0,12,0,12,0,12,38,48,29,46,0,12,0,12,29,46,9,14,575,82,370,74,171,60,49,37,0,12,122,51,199,67,205,65,84,53,40,30,9,15,0,12,31,29,44,48,121,53,40,27,18,20,0,12,22,24,81,45
2.4,Roxhill/Westwood,1930,219,123,98,103,94,84,89,0,21,84,89,0,21,19,34,20,36,0,21,0,21,0,21,0,21,0,21,0,21,20,36,20,36,0,21,0,21,20,36,0,21,1807,221,1388,203,640,139,255,91,77,54,308,90,748,168,419,152,158,114,57,49,0,21,0,21,57,49,101,106,261,100,173,82,70,42,0,21,103,74,88,48
2.5,Highland Park,936,169,31,28,0,21,0,21,0,21,0,21,0,21,0,21,31,28,14,26,14,26,0,21,0,21,14,26,0,21,17,30,17,30,0,21,0,21,17,30,0,21,905,173,693,175,135,76,58,60,21,40,56,43,558,161,212,109,52,49,52,49,0,21,0,21,52,49,0,21,160,104,135,100,63,79,17,30,55,51,25,29
3.1,South Park,472,96,113,77,0,17,0,17,0,17,0,17,0,17,0,17,113,77,19,30,19,30,0,17,0,17,19,30,0,17,94,73,85,73,0,17,50,55,35,45,9,19,359,104,257,91,164,87,30,27,54,50,80,68,93,46,102,64,44,39,36,37,29,36,0,17,7,18,8,17,58,53,44,47,0,17,37,48,7,18,14,26
