area_id,area_name,b19013d001,b19013d001_moe
1.1,Arbor Heights,154573,257981
1.2,Fauntleroy/Seaview,208297,182669
1.3,West Seattle Junction/Genesee Hill,137339,121790
1.4,Alki/Admiral,186170,81771
2.1,North Delridge,67308,55263
2.2,High Point,79490,45279
2.3,Riverview,96250,37912
2.4,Roxhill/Westwood,193676,37851
2.5,Highland Park,57074,40435
3.1,South Park,39719,12177
3.2,Georgetown,72083,23846
3.3,Duwamish/SODO,58393,21387
3.4,South Beacon Hill/NewHolly,165962,22480
3.5,Beacon Hill,138378,19796
3.6,North Beacon Hill/Jefferson Park,142724,32185
4.1,Rainier Beach,116721,29477
4.2,Columbia City,151501,41111
4.3,Seward Park,128272,19938
4.4,Mt. Baker/North Rainier,30756,14160
5.1,Madrona/Leschi,133869,124335
5.2,Judkins Park,27636,11163
5.3,Central Area/Squire Park,339942,175998
6.1,First Hill,140800,53782
6.2,Capitol Hill,266653,117824
6.3,North Capitol Hill,82868,17542
6.4,Miller Park,255435,150552
6.5,Madison Park,27569,55803
7.1,Montlake/Portage Bay,187269,126061
7.2,University District,42188,24918
7.3,Ravenna/Bryant,369397,123774
7.4,Wedgwood/View Ridge,388911,85023
7.5,Laurelhurst/Sand Point,229286,108288
8.1,Northgate/Maple Leaf,112604,51345
8.2,Olympic Hills/Victory Heights,169017,68830
8.3,Cedar Park/Meadowbrook,241295,105376
9.1,Broadview/Bitter Lake,153761,80061
9.2,Licton Springs,94223,73457
9.3,Greenwood/Phinney Ridge,451002,235403
9.4,Green Lake,176928,192336
9.5,Haller Lake,145071,98734
10.1,North Beach/Blue Ridge,234836,33006
10.2,Whittier Heights,170214,63412
10.3,Sunset Hill/Loyal Heights,175250,74966
10.4,Ballard,74732,21928
11.1,Fremont,380035,123462
11.2,Wallingford,220855,158364
11.3,Cascade/Eastlake,197637,85071
12.1,Magnolia,258756,76142
12.2,Interbay,129343,51717
12.3,Queen Anne,579860,192822
13.1,Belltown,147935,39840
13.2,Downtown Commercial Core,33095,223575
13.3,Pioneer Square/International District,31819,10353
