area_id,area_name,b01002h001,b01002h001_moe,b01002h002,b01002h002_moe,b01002h003,b01002h003_moe
1.1,Arbor Heights,88,5,85,5,90,7
1.2,Fauntleroy/Seaview,88,3,87,4,88,4
1.3,West Seattle Junction/Genesee Hill,126,5,124,5,128,7
1.4,Alki/Admiral,94,3,95,4,94,5
2.1,North Delridge,37,4,40,4,33,3
2.2,High Point,70,5,68,9,75,8
2.3,Riverview,40,4,38,4,44,6
2.4,Roxhill/Westwood,122,13,120,13,125,16
2.5,Highland Park,47,3,45,5,52,9
3.1,South Park,41,4,40,6,41,3
3.2,Georgetown,43,2,43,2,42,12
3.3,Duwamish/SODO,40,10,46,14,38,7
3.4,South Beacon Hill/NewHolly,135,13,135,12,133,27
3.5,Beacon Hill,76,14,76,11,84,21
3.6,North Beacon Hill/Jefferson Park,103,7,104,10,103,12
4.1,Rainier Beach,94,9,101,9,90,8
4.2,Columbia City,117,7,119,8,115,12
4.3,Seward Park,88,5,88,5,94,14
4.4,Mt. Baker/North Rainier,43,2,43,3,43,2
5.1,Madrona/Leschi,83,5,86,6,81,8
5.2,Judkins Park,37,4,35,8,40,6
5.3,Central Area/Squire Park,141,7,146,10,135,9
6.1,First Hill,142,12,140,11,150,13
6.2,Capitol Hill,130,7,135,8,126,6
6.3,North Capitol Hill,42,2,43,4,35,5
6.4,Miller Park,72,4,73,5,69,4
6.5,Madison Park,45,3,44,3,47,6
7.1,Montlake/Portage Bay,74,4,77,7,71,5
7.2,University District,64,2,66,2,63,2
7.3,Ravenna/Bryant,212,12,211,16,217,16
7.4,Wedgwood/View Ridge,177,7,172,8,179,10
7.5,Laurelhurst/Sand Point,80,9,82,11,81,12
8.1,Northgate/Maple Leaf,118,8,110,5,132,14
8.2,Olympic Hills/Victory Heights,129,7,127,8,135,11
8.3,Cedar Park/Meadowbrook,177,9,170,14,181,11
9.1,Broadview/Bitter Lake,152,10,134,9,160,10
9.2,Licton Springs,64,4,66,6,61,6
9.3,Greenwood/Phinney Ridge,237,7,237,9,236,10
9.4,Green Lake,109,6,104,8,113,7
9.5,Haller Lake,94,5,88,6,96,4
10.1,North Beach/Blue Ridge,134,3,131,5,136,6
10.2,Whittier Heights,74,3,73,4,74,3
10.3,Sunset Hill/Loyal Heights,82,3,81,5,84,6
10.4,Ballard,34,3,33,2,36,6
11.1,Fremont,101,3,104,7,99,5
11.2,Wallingford,133,6,131,9,135,8
11.3,Cascade/Eastlake,102,7,105,10,94,11
12.1,Magnolia,92,5,94,3,90,7
12.2,Interbay,74,4,73,5,76,5
12.3,Queen Anne,249,8,251,10,246,13
13.1,Belltown,81,5,80,4,87,10
13.2,Downtown Commercial Core,47,4,48,4,45,7
13.3,Pioneer Square/International District,95,18,92,25,85,34
