area_id,area_name,b17020f001,b17020f001_moe,b17020f002,b17020f002_moe,b17020f003,b17020f003_moe,b17020f004,b17020f004_moe,b17020f005,b17020f005_moe,b17020f006,b17020f006_moe,b17020f007,b17020f007_moe,b17020f008,b17020f008_moe,b17020f009,b17020f009_moe,b17020f010,b17020f010_moe,b17020f011,b17020f011_moe,b17020f012,b17020f012_moe,b17020f013,b17020f013_moe,b17020f014,b17020f014_moe,b17020f015,b17020f015_moe,b17020f016,b17020f016_moe,b17020f017,b17020f017_moe
1.1,Arbor Heights,41,37,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,41,37,0,17,0,17,0,17,0,17,41,37,0,17,0,17
1.2,Fauntleroy/Seaview,101,134,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,101,134,0,24,0,24,15,30,15,30,71,86,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,159,135,61,89,0,29,0,29,0,29,0,29,61,89,0,29,0,29,98,110,14,32,0,29,12,30,12,30,60,67,0,29,0,29
1.4,Alki/Admiral,24,43,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,24,43,0,24,0,24,24,43,0,24,0,24,0,24,0,24
2.1,North Delridge,148,153,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,148,153,0,12,0,12,0,12,0,12,148,153,0,12,0,12
2.2,High Point,55,79,44,76,12,22,0,17,22,40,0,17,10,22,0,17,0,17,11,28,0,17,0,17,0,17,0,17,11,28,0,17,0,17
2.3,Riverview,17,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,17,17,0,12,0,12,0,12,0,12,9,12,8,13,0,12
2.4,Roxhill/Westwood,705,410,233,259,74,103,0,21,61,65,0,21,98,105,0,21,0,21,472,296,48,48,0,21,21,36,41,47,336,226,26,43,0,21
2.5,Highland Park,67,61,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,67,61,0,21,0,21,0,21,0,21,67,61,0,21,0,21
3.1,South Park,132,160,33,53,0,17,0,17,6,16,14,25,13,23,0,17,0,17,99,153,0,17,0,17,28,50,30,52,41,56,0,17,0,17
3.2,Georgetown,58,79,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,58,79,0,12,0,12,0,12,0,12,58,79,0,12,0,12
3.3,Duwamish/SODO,58,94,12,30,0,12,0,12,0,12,0,12,12,30,0,12,0,12,46,67,0,12,0,12,0,12,0,12,34,44,12,30,0,12
3.4,South Beacon Hill/NewHolly,82,89,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,82,89,14,28,0,24,13,26,0,24,41,49,14,29,0,24
3.5,Beacon Hill,254,320,92,119,0,17,0,17,38,67,0,17,54,78,0,17,0,17,162,288,39,61,0,17,17,62,0,17,90,139,16,58,0,17
3.6,North Beacon Hill/Jefferson Park,242,231,100,143,0,24,0,24,0,24,0,24,100,143,0,24,0,24,142,118,13,29,0,24,0,24,0,24,129,109,0,24,0,24
4.1,Rainier Beach,569,540,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,569,540,0,27,0,27,138,148,191,179,240,227,0,27,0,27
4.2,Columbia City,145,117,71,68,0,27,0,27,0,27,0,27,71,68,0,27,0,27,74,93,14,32,0,27,0,27,0,27,53,62,7,33,0,27
4.3,Seward Park,52,51,24,40,0,17,0,17,0,17,0,17,0,17,24,40,0,17,28,36,0,17,0,17,0,17,0,17,11,22,0,17,17,30
4.4,Mt. Baker/North Rainier,14,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,22,0,17,0,17,0,17,0,17,14,22,0,17,0,17
5.1,Madrona/Leschi,162,112,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,162,112,50,70,0,21,0,21,0,21,112,91,0,21,0,21
5.2,Judkins Park,14,23,14,23,0,12,0,12,0,12,0,12,14,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,159,125,32,63,0,24,0,24,0,24,0,24,32,63,0,24,0,24,127,103,10,29,0,24,0,24,12,30,105,79,0,24,0,24
6.1,First Hill,258,137,24,33,0,24,0,24,0,24,0,24,24,33,0,24,0,24,234,135,0,24,0,24,0,24,0,24,234,135,0,24,0,24
6.2,Capitol Hill,146,90,30,39,0,29,0,29,0,29,0,29,30,39,0,29,0,29,116,85,0,29,0,29,0,29,0,29,116,85,0,29,0,29
6.3,North Capitol Hill,56,63,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,56,63,0,12,0,12,0,12,0,12,56,63,0,12,0,12
6.4,Miller Park,16,20,8,16,0,17,0,17,0,17,0,17,8,16,0,17,0,17,8,18,0,17,0,17,0,17,0,17,8,18,0,17,0,17
6.5,Madison Park,35,56,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,35,56,0,17,0,17,23,38,0,17,12,19,0,17,0,17
7.1,Montlake/Portage Bay,69,79,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,69,79,0,21,11,24,0,21,0,21,58,77,0,21,0,21
7.2,University District,276,263,205,246,0,29,0,29,0,29,0,29,205,246,0,29,0,29,71,89,0,29,0,29,0,29,0,29,71,89,0,29,0,29
7.3,Ravenna/Bryant,196,128,44,61,0,32,0,32,0,32,0,32,44,61,0,32,0,32,152,116,16,39,14,37,21,45,0,32,101,68,0,32,0,32
7.4,Wedgwood/View Ridge,54,38,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,54,38,0,27,13,31,0,27,0,27,41,35,0,27,0,27
7.5,Laurelhurst/Sand Point,38,39,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,38,39,0,21,0,21,21,36,0,21,17,26,0,21,0,21
8.1,Northgate/Maple Leaf,291,216,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,291,216,0,24,0,24,0,24,0,24,276,216,0,24,15,29
8.2,Olympic Hills/Victory Heights,281,190,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,281,190,0,24,0,24,14,29,42,42,225,158,0,24,0,24
8.3,Cedar Park/Meadowbrook,631,338,122,144,16,36,0,27,16,33,15,33,75,70,0,27,0,27,509,344,32,51,0,27,13,30,63,67,396,268,0,27,5,25
9.1,Broadview/Bitter Lake,113,73,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,113,73,0,27,0,27,0,27,0,27,94,65,0,27,19,36
9.2,Licton Springs,279,204,54,55,0,17,0,17,0,17,0,17,54,55,0,17,0,17,225,181,0,17,0,17,0,17,16,25,164,134,45,62,0,17
9.3,Greenwood/Phinney Ridge,542,286,22,30,0,29,0,29,0,29,0,29,22,30,0,29,0,29,520,285,0,29,21,40,45,47,25,41,419,240,10,31,0,29
9.4,Green Lake,190,118,18,34,0,24,0,24,0,24,0,24,0,24,0,24,18,34,172,115,0,24,0,24,0,24,0,24,172,115,0,24,0,24
9.5,Haller Lake,149,119,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,149,119,0,21,10,24,0,21,0,21,139,115,0,21,0,21
10.1,North Beach/Blue Ridge,118,135,26,43,0,21,0,21,0,21,0,21,26,43,0,21,0,21,92,97,29,48,0,21,0,21,0,21,63,57,0,21,0,21
10.2,Whittier Heights,134,130,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,134,130,0,24,0,24,0,24,0,24,134,130,0,24,0,24
10.3,Sunset Hill/Loyal Heights,86,66,19,33,0,24,0,24,0,24,0,24,0,24,19,33,0,24,67,60,0,24,0,24,0,24,0,24,67,60,0,24,0,24
10.4,Ballard,30,36,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,30,36,0,17,0,17,0,17,0,17,30,36,0,17,0,17
11.1,Fremont,119,82,10,31,0,24,0,24,0,24,0,24,10,31,0,24,0,24,109,78,14,30,0,24,0,24,0,24,83,72,12,26,0,24
11.2,Wallingford,167,136,105,116,0,27,0,27,0,27,0,27,105,116,0,27,0,27,62,77,0,27,0,27,0,27,0,27,62,77,0,27,0,27
11.3,Cascade/Eastlake,283,205,58,62,0,21,0,21,0,21,0,21,26,39,32,53,0,21,225,195,52,84,0,21,0,21,0,21,163,125,0,21,10,23
12.1,Magnolia,72,83,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,72,83,47,74,0,24,0,24,0,24,25,44,0,24,0,24
12.2,Interbay,60,52,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,60,52,0,21,0,21,0,21,0,21,60,52,0,21,0,21
12.3,Queen Anne,459,192,123,135,0,40,0,40,0,40,0,40,123,135,0,40,0,40,336,138,0,40,0,40,19,47,77,74,240,106,0,40,0,40
13.1,Belltown,147,115,56,79,0,21,0,21,0,21,0,21,56,79,0,21,0,21,91,83,0,21,0,21,0,21,0,21,91,83,0,21,0,21
13.2,Downtown Commercial Core,111,97,32,38,0,12,0,12,0,12,0,12,32,38,0,12,0,12,79,91,0,12,0,12,0,12,0,12,79,91,0,12,0,12
13.3,Pioneer Square/International District,64,54,39,41,0,17,0,17,0,17,0,17,39,41,0,17,0,17,25,36,0,17,0,17,0,17,0,17,25,36,0,17,0,17
