area_id,area_name,b10001001,b10001001_moe,b10001002,b10001002_moe,b10001003,b10001003_moe,b10001004,b10001004_moe
1.1,Arbor Heights,40,40,31,40,9,18,0,17
1.2,Fauntleroy/Seaview,118,89,56,70,22,34,40,38
1.3,West Seattle Junction/Genesee Hill,20,35,0,29,20,35,0,29
1.4,Alki/Admiral,0,24,0,24,0,24,0,24
2.1,North Delridge,55,82,27,41,0,12,28,41
2.2,High Point,38,39,8,19,17,30,13,25
2.3,Riverview,77,70,8,14,19,21,50,71
2.4,Roxhill/Westwood,123,72,41,38,69,63,13,27
2.5,Highland Park,6,27,6,27,0,21,0,21
3.1,South Park,92,76,35,36,26,36,31,39
3.2,Georgetown,59,36,11,18,24,16,24,16
3.3,Duwamish/SODO,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,353,138,159,99,94,57,100,77
3.5,Beacon Hill,113,80,77,65,12,23,24,30
3.6,North Beacon Hill/Jefferson Park,154,117,81,90,41,49,32,56
4.1,Rainier Beach,556,288,144,105,262,168,150,113
4.2,Columbia City,136,95,5,24,26,40,105,78
4.3,Seward Park,47,38,34,35,7,16,6,15
4.4,Mt. Baker/North Rainier,76,54,29,34,0,17,47,53
5.1,Madrona/Leschi,16,30,0,21,16,30,0,21
5.2,Judkins Park,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,77,89,69,89,0,24,8,25
6.1,First Hill,22,42,22,42,0,24,0,24
6.2,Capitol Hill,0,29,0,29,0,29,0,29
6.3,North Capitol Hill,17,26,0,12,17,26,0,12
6.4,Miller Park,193,219,0,17,36,43,157,179
6.5,Madison Park,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,11,25,0,21,11,25,0,21
7.2,University District,0,29,0,29,0,29,0,29
7.3,Ravenna/Bryant,55,72,14,36,41,70,0,32
7.4,Wedgwood/View Ridge,72,68,0,27,62,61,10,29
7.5,Laurelhurst/Sand Point,32,34,0,21,32,34,0,21
8.1,Northgate/Maple Leaf,52,55,27,46,20,40,5,23
8.2,Olympic Hills/Victory Heights,79,64,33,53,46,43,0,24
8.3,Cedar Park/Meadowbrook,44,41,10,28,31,37,3,25
9.1,Broadview/Bitter Lake,21,40,0,27,21,40,0,27
9.2,Licton Springs,0,17,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,203,100,117,69,59,57,27,38
9.4,Green Lake,44,39,34,37,0,24,10,27
9.5,Haller Lake,109,124,93,121,8,22,8,22
10.1,North Beach/Blue Ridge,31,37,0,21,31,37,0,21
10.2,Whittier Heights,13,27,0,24,0,24,13,27
10.3,Sunset Hill/Loyal Heights,81,68,56,61,12,25,13,27
10.4,Ballard,17,27,0,17,17,27,0,17
11.1,Fremont,0,24,0,24,0,24,0,24
11.2,Wallingford,24,43,0,27,12,30,12,30
11.3,Cascade/Eastlake,8,22,0,21,0,21,8,22
12.1,Magnolia,0,24,0,24,0,24,0,24
12.2,Interbay,0,21,0,21,0,21,0,21
12.3,Queen Anne,37,56,0,40,25,54,12,43
13.1,Belltown,0,21,0,21,0,21,0,21
13.2,Downtown Commercial Core,0,12,0,12,0,12,0,12
13.3,Pioneer Square/International District,16,22,7,16,9,20,0,17
