area_id,area_name,b17001b001,b17001b001_moe,b17001b002,b17001b002_moe,b17001b003,b17001b003_moe,b17001b004,b17001b004_moe,b17001b005,b17001b005_moe,b17001b006,b17001b006_moe,b17001b007,b17001b007_moe,b17001b008,b17001b008_moe,b17001b009,b17001b009_moe,b17001b010,b17001b010_moe,b17001b011,b17001b011_moe,b17001b012,b17001b012_moe,b17001b013,b17001b013_moe,b17001b014,b17001b014_moe,b17001b015,b17001b015_moe,b17001b016,b17001b016_moe,b17001b017,b17001b017_moe,b17001b018,b17001b018_moe,b17001b019,b17001b019_moe,b17001b020,b17001b020_moe,b17001b021,b17001b021_moe,b17001b022,b17001b022_moe,b17001b023,b17001b023_moe,b17001b024,b17001b024_moe,b17001b025,b17001b025_moe,b17001b026,b17001b026_moe,b17001b027,b17001b027_moe,b17001b028,b17001b028_moe,b17001b029,b17001b029_moe,b17001b030,b17001b030_moe,b17001b031,b17001b031_moe,b17001b032,b17001b032_moe,b17001b033,b17001b033_moe,b17001b034,b17001b034_moe,b17001b035,b17001b035_moe,b17001b036,b17001b036_moe,b17001b037,b17001b037_moe,b17001b038,b17001b038_moe,b17001b039,b17001b039_moe,b17001b040,b17001b040_moe,b17001b041,b17001b041_moe,b17001b042,b17001b042_moe,b17001b043,b17001b043_moe,b17001b044,b17001b044_moe,b17001b045,b17001b045_moe,b17001b046,b17001b046_moe,b17001b047,b17001b047_moe,b17001b048,b17001b048_moe,b17001b049,b17001b049_moe,b17001b050,b17001b050_moe,b17001b051,b17001b051_moe,b17001b052,b17001b052_moe,b17001b053,b17001b053_moe,b17001b054,b17001b054_moe,b17001b055,b17001b055_moe,b17001b056,b17001b056_moe,b17001b057,b17001b057_moe,b17001b058,b17001b058_moe,b17001b059,b17001b059_moe
1.1,Arbor Heights,69,59,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,69,59,69,59,0,17,0,17,0,17,0,17,0,17,0,17,0,17,28,47,12,23,15,25,14,23,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,216,116,72,79,30,38,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,30,38,0,24,0,24,42,70,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,42,70,0,24,0,24,144,87,89,64,0,24,0,24,0,24,0,24,0,24,13,26,0,24,23,42,18,34,35,38,0,24,0,24,0,24,55,38,20,36,0,24,0,24,14,28,0,24,0,24,0,24,0,24,14,29,7,24,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,318,174,129,112,88,100,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,79,100,9,31,0,29,0,29,41,49,0,29,0,29,0,29,0,29,0,29,0,29,0,29,41,49,0,29,0,29,0,29,0,29,0,29,189,129,95,65,0,29,0,29,0,29,0,29,0,29,0,29,0,29,13,33,69,58,13,32,0,29,0,29,0,29,94,98,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,18,38,0,29,76,95,0,29,0,29
1.4,Alki/Admiral,295,171,139,119,95,80,0,24,0,24,38,43,0,24,0,24,0,24,0,24,57,46,0,24,0,24,0,24,0,24,0,24,44,46,0,24,0,24,0,24,0,24,0,24,0,24,0,24,44,46,0,24,0,24,0,24,0,24,0,24,156,112,89,85,0,24,0,24,0,24,0,24,0,24,0,24,0,24,41,64,48,56,0,24,0,24,0,24,0,24,67,77,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,43,69,24,42,0,24,0,24,0,24
2.1,North Delridge,434,329,88,101,12,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,18,0,12,0,12,76,97,0,12,0,12,0,12,0,12,0,12,0,12,0,12,66,97,0,12,0,12,10,16,0,12,0,12,346,307,154,152,52,76,0,12,0,12,0,12,0,12,0,12,0,12,71,84,18,29,0,12,13,20,0,12,0,12,192,167,56,81,0,12,0,12,0,12,0,12,0,12,0,12,72,84,37,59,0,12,27,40,0,12,0,12
2.2,High Point,2105,404,1195,440,612,314,134,121,0,17,239,168,43,48,9,21,0,17,82,89,35,36,70,70,0,17,0,17,0,17,0,17,583,178,104,75,0,17,10,22,22,36,34,45,19,24,89,68,88,99,113,51,31,32,17,24,56,86,0,17,910,441,460,230,110,117,28,50,46,56,26,43,9,18,0,17,42,49,50,55,30,55,60,53,43,46,16,30,0,17,450,221,26,42,0,17,31,57,22,37,0,17,19,33,23,33,138,95,104,115,46,48,33,43,0,17,8,18
2.3,Riverview,531,243,161,158,89,70,0,12,0,12,15,26,0,12,0,12,28,45,18,30,0,12,28,37,0,12,0,12,0,12,0,12,72,97,0,12,0,12,0,12,29,48,0,12,0,12,0,12,0,12,43,52,0,12,0,12,0,12,0,12,370,227,197,134,0,12,0,12,22,33,96,67,0,12,0,12,29,39,0,12,0,12,0,12,50,70,0,12,0,12,173,108,0,12,0,12,0,12,0,12,22,32,22,32,0,12,0,12,82,81,25,33,22,25,0,12,0,12
2.4,Roxhill/Westwood,1087,345,205,153,127,90,38,49,0,21,18,34,0,21,0,21,0,21,0,21,15,30,19,38,0,21,0,21,23,33,14,28,78,80,20,37,0,21,0,21,0,21,0,21,0,21,27,32,20,37,0,21,0,21,11,26,0,21,0,21,882,310,340,159,0,21,0,21,28,46,29,48,0,21,0,21,0,21,79,96,47,54,33,42,110,87,0,21,14,28,542,232,0,21,16,30,112,93,0,21,0,21,0,21,0,21,213,141,61,85,77,59,0,21,37,38,26,33
2.5,Highland Park,509,128,19,30,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,19,30,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,17,30,2,13,490,124,271,76,0,21,0,21,0,21,0,21,0,21,26,30,67,61,41,49,66,63,12,25,18,30,41,35,0,21,219,66,0,21,0,21,0,21,0,21,0,21,0,21,26,29,78,41,47,48,20,35,48,30,0,21,0,21
3.1,South Park,193,121,94,113,30,51,0,17,0,17,0,17,0,17,0,17,16,29,0,17,0,17,0,17,0,17,14,27,0,17,0,17,64,69,0,17,0,17,16,31,0,17,0,17,15,29,0,17,0,17,0,17,9,18,24,32,0,17,0,17,99,57,42,37,0,17,0,17,6,16,0,17,0,17,0,17,0,17,0,17,0,17,12,23,9,19,15,27,0,17,57,46,0,17,0,17,0,17,0,17,0,17,0,17,10,22,0,17,15,24,24,33,8,18,0,17,0,17
