area_id,area_name,b22005i001,b22005i001_moe,b22005i002,b22005i002_moe,b22005i003,b22005i003_moe
1.1,Arbor Heights,131,79,0,17,131,79
1.2,Fauntleroy/Seaview,206,89,63,53,143,77
1.3,West Seattle Junction/Genesee Hill,253,115,13,31,240,113
1.4,Alki/Admiral,200,123,0,24,200,123
2.1,North Delridge,237,87,0,12,237,87
2.2,High Point,66,45,10,22,56,42
2.3,Riverview,55,35,18,25,37,25
2.4,Roxhill/Westwood,928,194,208,114,720,183
2.5,Highland Park,325,148,25,41,300,143
3.1,South Park,394,81,178,86,216,93
3.2,Georgetown,70,56,32,31,38,46
3.3,Duwamish/SODO,81,59,27,33,54,54
3.4,South Beacon Hill/NewHolly,89,68,8,23,81,67
3.5,Beacon Hill,43,43,31,38,12,22
3.6,North Beacon Hill/Jefferson Park,421,164,78,73,343,146
4.1,Rainier Beach,486,170,193,143,293,129
4.2,Columbia City,407,164,90,93,317,148
4.3,Seward Park,150,96,28,46,122,89
4.4,Mt. Baker/North Rainier,104,82,15,24,89,78
5.1,Madrona/Leschi,108,74,0,21,108,74
5.2,Judkins Park,59,53,0,12,59,53
5.3,Central Area/Squire Park,514,152,45,48,469,149
6.1,First Hill,293,116,33,41,260,111
6.2,Capitol Hill,788,233,70,74,718,222
6.3,North Capitol Hill,161,77,0,12,161,77
6.4,Miller Park,143,61,11,23,132,58
6.5,Madison Park,12,19,0,17,12,19
7.1,Montlake/Portage Bay,133,89,12,23,121,88
7.2,University District,246,154,12,30,234,153
7.3,Ravenna/Bryant,247,100,32,44,215,95
7.4,Wedgwood/View Ridge,169,67,0,27,169,67
7.5,Laurelhurst/Sand Point,78,53,0,21,78,53
8.1,Northgate/Maple Leaf,415,169,10,25,405,173
8.2,Olympic Hills/Victory Heights,342,125,0,24,342,125
8.3,Cedar Park/Meadowbrook,391,131,75,77,316,118
9.1,Broadview/Bitter Lake,229,132,52,84,177,93
9.2,Licton Springs,303,141,47,52,256,130
9.3,Greenwood/Phinney Ridge,501,158,21,37,480,153
9.4,Green Lake,381,149,18,34,363,146
9.5,Haller Lake,259,134,0,21,259,134
10.1,North Beach/Blue Ridge,246,108,10,23,236,107
10.2,Whittier Heights,189,116,0,24,189,116
10.3,Sunset Hill/Loyal Heights,182,88,19,33,163,84
10.4,Ballard,327,179,0,17,327,179
11.1,Fremont,368,139,0,24,368,139
11.2,Wallingford,137,69,12,29,125,68
11.3,Cascade/Eastlake,538,181,66,66,472,172
12.1,Magnolia,70,51,0,24,70,51
12.2,Interbay,176,88,10,22,166,86
12.3,Queen Anne,752,212,26,44,726,211
13.1,Belltown,221,115,0,21,221,115
13.2,Downtown Commercial Core,125,98,14,21,111,98
13.3,Pioneer Square/International District,64,51,12,24,52,45
