area_id,area_name,b19013e001,b19013e001_moe
2.3,Riverview,69886,58986
2.4,Roxhill/Westwood,43704,13424
3.1,South Park,65197,11488
4.2,Columbia City,12262,234288
9.5,Haller Lake,41032,1915
