area_id,area_name,b08202001,b08202001_moe,b08202002,b08202002_moe,b08202003,b08202003_moe,b08202004,b08202004_moe,b08202005,b08202005_moe,b08202006,b08202006_moe,b08202007,b08202007_moe,b08202008,b08202008_moe,b08202009,b08202009_moe,b08202010,b08202010_moe,b08202011,b08202011_moe,b08202012,b08202012_moe,b08202013,b08202013_moe,b08202014,b08202014_moe,b08202015,b08202015_moe,b08202016,b08202016_moe,b08202017,b08202017_moe,b08202018,b08202018_moe,b08202019,b08202019_moe,b08202020,b08202020_moe,b08202021,b08202021_moe,b08202022,b08202022_moe
1.1,Arbor Heights,2639,96,497,88,956,159,999,143,187,63,695,122,243,75,452,110,1078,131,245,60,312,123,521,112,311,82,0,17,76,44,192,69,43,32,555,95,9,18,116,61,286,80,144,62
1.2,Fauntleroy/Seaview,6410,211,1381,201,2259,231,2615,280,155,70,2228,268,997,201,1231,195,2436,290,353,114,532,141,1551,246,918,197,18,32,250,118,581,148,69,43,828,146,13,28,246,89,483,137,86,56
1.3,West Seattle Junction/Genesee Hill,8391,238,1935,269,3176,305,3053,279,227,89,3192,303,1378,240,1814,246,2865,280,475,126,824,179,1566,233,1283,225,66,74,318,119,754,195,145,72,1051,137,16,35,220,86,733,130,82,58
1.4,Alki/Admiral,5786,190,1537,223,2553,283,1627,197,69,53,2650,243,1032,202,1618,219,1938,231,435,123,477,127,1026,184,603,159,70,53,252,132,248,97,33,38,595,106,0,24,206,91,353,120,36,41
2.1,North Delridge,2387,100,384,131,1186,203,740,182,77,54,934,206,294,117,640,192,984,211,90,60,379,153,515,170,246,105,0,12,129,86,93,62,24,29,223,103,0,12,38,50,132,95,53,49
2.2,High Point,2731,199,858,186,1060,229,737,150,76,58,875,194,502,161,373,138,917,223,255,121,348,172,314,95,485,161,34,35,144,80,246,134,61,53,454,94,67,52,195,80,177,84,15,25
2.3,Riverview,1680,73,184,81,742,125,567,108,187,70,376,101,93,49,283,92,455,110,37,29,179,79,239,87,513,131,45,54,221,107,199,80,48,47,336,85,9,15,59,43,129,49,139,54
2.4,Roxhill/Westwood,5489,176,991,172,2574,261,1671,249,253,108,1925,217,616,133,1309,202,1919,235,268,104,610,162,1041,199,647,161,75,56,221,90,248,94,103,88,998,195,32,41,434,142,382,124,150,73
2.5,Highland Park,2563,202,823,172,800,177,785,169,155,63,995,188,641,163,354,129,820,182,147,71,237,97,436,165,408,149,18,31,137,77,226,121,27,41,340,83,17,30,72,52,123,75,128,60
3.1,South Park,1323,80,280,114,477,141,389,91,177,96,365,98,191,90,174,81,224,74,0,17,93,52,131,62,251,103,5,14,132,85,82,49,32,28,483,125,84,73,78,66,176,65,145,92
