area_id,area_name,b08105i001,b08105i001_moe,b08105i002,b08105i002_moe,b08105i003,b08105i003_moe,b08105i004,b08105i004_moe,b08105i005,b08105i005_moe,b08105i006,b08105i006_moe,b08105i007,b08105i007_moe
1.1,Arbor Heights,214,121,132,90,0,17,74,68,0,17,0,17,8,19
1.2,Fauntleroy/Seaview,291,123,133,82,109,89,49,45,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,332,171,136,104,0,29,84,77,43,59,26,48,43,56
1.4,Alki/Admiral,249,153,182,126,47,76,20,36,0,24,0,24,0,24
2.1,North Delridge,247,140,114,70,79,83,54,81,0,12,0,12,0,12
2.2,High Point,72,52,28,33,0,17,20,30,0,17,0,17,24,31
2.3,Riverview,151,79,90,46,18,22,34,41,0,12,9,15,0,12
2.4,Roxhill/Westwood,1304,334,760,188,169,133,273,196,45,74,18,25,39,49
2.5,Highland Park,489,248,245,177,64,86,81,60,64,102,35,55,0,21
3.1,South Park,861,399,483,235,107,94,207,141,49,58,8,18,7,16
3.2,Georgetown,102,82,76,62,0,12,4,9,22,28,0,12,0,12
3.3,Duwamish/SODO,122,116,16,19,18,23,76,104,0,12,0,12,12,30
3.4,South Beacon Hill/NewHolly,165,98,150,91,0,24,15,32,0,24,0,24,0,24
3.5,Beacon Hill,169,132,115,98,36,35,9,18,9,18,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,746,344,449,227,114,123,183,163,0,24,0,24,0,24
4.1,Rainier Beach,651,228,363,177,121,112,90,89,0,27,51,61,26,35
4.2,Columbia City,658,284,435,260,35,44,119,92,69,77,0,27,0,27
4.3,Seward Park,311,256,167,201,12,22,86,68,13,23,33,54,0,17
4.4,Mt. Baker/North Rainier,137,108,74,75,33,52,15,25,0,17,0,17,15,24
5.1,Madrona/Leschi,217,113,83,62,66,52,16,31,0,21,0,21,52,50
5.2,Judkins Park,156,172,41,51,16,26,91,123,0,12,0,12,8,14
5.3,Central Area/Squire Park,647,193,223,95,39,52,295,167,52,41,26,34,12,27
6.1,First Hill,558,223,101,79,71,74,112,95,257,142,0,24,17,27
6.2,Capitol Hill,1035,282,311,191,27,51,343,177,313,158,27,39,14,33
6.3,North Capitol Hill,199,108,55,50,0,12,56,53,75,79,0,12,13,20
6.4,Miller Park,155,65,59,44,23,29,46,31,0,17,20,30,7,16
6.5,Madison Park,46,36,35,32,0,17,0,17,0,17,0,17,11,18
7.1,Montlake/Portage Bay,182,117,34,32,8,21,102,101,27,34,0,21,11,25
7.2,University District,353,148,120,75,26,34,69,75,103,68,0,29,35,58
7.3,Ravenna/Bryant,317,107,137,64,31,37,79,58,8,32,41,54,21,35
7.4,Wedgwood/View Ridge,265,106,203,94,8,27,21,32,0,27,9,28,24,26
7.5,Laurelhurst/Sand Point,160,95,85,64,0,21,66,72,0,21,0,21,9,23
8.1,Northgate/Maple Leaf,548,219,313,154,17,32,115,81,49,70,54,59,0,24
8.2,Olympic Hills/Victory Heights,518,194,298,136,103,76,99,85,18,37,0,24,0,24
8.3,Cedar Park/Meadowbrook,684,303,509,306,69,60,55,53,11,27,40,60,0,27
9.1,Broadview/Bitter Lake,256,126,138,80,55,65,14,35,0,27,0,27,49,61
9.2,Licton Springs,494,215,280,143,48,56,151,96,15,28,0,17,0,17
9.3,Greenwood/Phinney Ridge,724,247,411,151,135,119,108,71,6,29,9,31,55,66
9.4,Green Lake,515,183,219,103,53,82,171,114,45,41,0,24,27,33
9.5,Haller Lake,338,127,231,112,28,33,57,42,22,37,0,21,0,21
10.1,North Beach/Blue Ridge,389,146,294,133,44,37,51,44,0,21,0,21,0,21
10.2,Whittier Heights,340,173,219,114,0,24,13,26,0,24,108,117,0,24
10.3,Sunset Hill/Loyal Heights,223,107,120,87,0,24,54,47,18,34,31,41,0,24
10.4,Ballard,400,211,58,96,19,33,211,153,42,53,0,17,70,75
11.1,Fremont,561,165,274,116,51,64,170,102,0,24,31,38,35,46
11.2,Wallingford,298,137,85,54,22,34,87,70,84,86,12,29,8,27
11.3,Cascade/Eastlake,528,178,169,103,46,45,86,54,139,82,30,39,58,97
12.1,Magnolia,157,108,72,70,64,63,0,24,21,40,0,24,0,24
12.2,Interbay,251,130,124,100,7,18,69,59,28,37,7,19,16,28
12.3,Queen Anne,1314,362,604,272,193,150,315,149,114,84,16,43,72,83
13.1,Belltown,225,129,83,79,0,21,91,75,51,47,0,21,0,21
13.2,Downtown Commercial Core,58,44,17,29,0,12,14,21,27,33,0,12,0,12
13.3,Pioneer Square/International District,41,40,0,17,0,17,16,22,25,36,0,17,0,17
