area_id,area_name,b18101b001,b18101b001_moe,b18101b002,b18101b002_moe,b18101b003,b18101b003_moe,b18101b004,b18101b004_moe,b18101b005,b18101b005_moe,b18101b006,b18101b006_moe,b18101b007,b18101b007_moe,b18101b008,b18101b008_moe,b18101b009,b18101b009_moe,b18101b010,b18101b010_moe
1.1,Arbor Heights,69,59,0,17,0,17,0,17,69,59,0,17,69,59,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,216,116,47,54,0,24,47,54,169,100,30,38,139,93,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,318,174,0,29,0,29,0,29,318,174,54,88,264,152,0,29,0,29,0,29
1.4,Alki/Admiral,270,155,38,43,0,24,38,43,232,129,4,20,228,128,0,24,0,24,0,24
2.1,North Delridge,434,329,108,157,0,12,108,157,326,198,0,12,326,198,0,12,0,12,0,12
2.2,High Point,2127,409,953,251,22,37,931,235,1094,298,284,160,810,208,80,92,67,90,13,18
2.3,Riverview,531,243,234,149,22,33,212,130,297,146,16,26,281,152,0,12,0,12,0,12
2.4,Roxhill/Westwood,1087,345,261,160,0,21,261,160,712,246,63,57,649,240,114,69,25,31,89,62
2.5,Highland Park,509,128,26,30,0,21,26,30,423,94,0,21,423,94,60,44,19,30,41,35
3.1,South Park,209,127,69,70,0,17,69,70,125,70,33,33,92,50,15,27,0,17,15,27
3.2,Georgetown,27,36,0,12,0,12,0,12,27,36,0,12,27,36,0,12,0,12,0,12
3.3,Duwamish/SODO,394,273,70,79,0,12,70,79,311,208,71,58,240,182,13,21,0,12,13,21
3.4,South Beacon Hill/NewHolly,4895,1096,2070,878,15,32,2055,877,2499,456,277,142,2222,416,326,125,188,107,138,61
3.5,Beacon Hill,887,351,237,148,0,17,237,148,531,232,17,28,514,230,119,79,19,31,100,70
3.6,North Beacon Hill/Jefferson Park,2122,435,791,306,0,24,791,306,1079,233,112,85,967,225,252,141,107,97,145,90
4.1,Rainier Beach,5061,778,1619,456,14,34,1605,456,2947,474,362,152,2585,455,495,148,171,106,324,134
4.2,Columbia City,4487,807,936,397,56,76,880,400,2900,544,249,108,2651,576,651,178,212,97,439,161
4.3,Seward Park,1323,283,242,132,9,18,233,131,845,228,125,79,720,194,236,93,19,21,217,99
4.4,Mt. Baker/North Rainier,735,316,146,125,0,17,146,125,422,203,104,94,318,185,167,71,82,59,85,50
