area_id,area_name,b17020g001,b17020g001_moe,b17020g002,b17020g002_moe,b17020g003,b17020g003_moe,b17020g004,b17020g004_moe,b17020g005,b17020g005_moe,b17020g006,b17020g006_moe,b17020g007,b17020g007_moe,b17020g008,b17020g008_moe,b17020g009,b17020g009_moe,b17020g010,b17020g010_moe,b17020g011,b17020g011_moe,b17020g012,b17020g012_moe,b17020g013,b17020g013_moe,b17020g014,b17020g014_moe,b17020g015,b17020g015_moe,b17020g016,b17020g016_moe,b17020g017,b17020g017_moe
1.1,Arbor Heights,459,239,11,22,0,17,0,17,0,17,0,17,11,22,0,17,0,17,448,237,91,62,30,37,76,75,46,49,205,124,0,17,0,17
1.2,Fauntleroy/Seaview,498,206,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,498,206,93,61,12,25,146,92,56,56,167,93,3,20,21,29
1.3,West Seattle Junction/Genesee Hill,834,243,48,64,10,30,0,29,0,29,12,33,26,30,0,29,0,29,786,233,167,96,69,87,160,98,65,67,325,120,0,29,0,29
1.4,Alki/Admiral,460,216,15,29,0,24,0,24,0,24,0,24,15,29,0,24,0,24,445,220,103,86,0,24,24,40,65,71,231,111,22,38,0,24
2.1,North Delridge,245,125,76,54,0,12,0,12,0,12,0,12,76,54,0,12,0,12,169,120,0,12,0,12,0,12,27,42,142,100,0,12,0,12
2.2,High Point,240,120,82,89,0,17,0,17,17,30,59,86,6,15,0,17,0,17,158,83,36,39,0,17,0,17,7,17,100,57,15,27,0,17
2.3,Riverview,389,174,8,12,0,12,0,12,0,12,0,12,8,12,0,12,0,12,381,171,95,80,0,12,116,69,0,12,162,76,0,12,8,13
2.4,Roxhill/Westwood,694,219,61,61,17,31,0,21,0,21,0,21,44,40,0,21,0,21,633,213,90,63,22,32,68,57,103,78,336,153,0,21,14,27
2.5,Highland Park,348,197,97,86,0,21,0,21,0,21,0,21,97,86,0,21,0,21,251,170,64,75,14,26,42,46,8,23,123,101,0,21,0,21
3.1,South Park,288,257,39,49,0,17,0,17,0,17,0,17,23,41,16,29,0,17,249,257,12,22,0,17,6,16,23,32,208,236,0,17,0,17
3.2,Georgetown,80,84,18,35,0,12,0,12,0,12,0,12,14,33,4,9,0,12,62,77,11,18,0,12,0,12,0,12,40,43,11,17,0,12
3.3,Duwamish/SODO,73,55,8,13,0,12,0,12,0,12,0,12,8,13,0,12,0,12,65,50,0,12,0,12,0,12,0,12,65,50,0,12,0,12
3.4,South Beacon Hill/NewHolly,488,218,42,50,14,30,0,24,0,24,0,24,28,45,0,24,0,24,446,217,81,57,13,30,94,78,7,22,216,109,23,28,12,28
