area_id,area_name,b11001f001,b11001f001_moe,b11001f002,b11001f002_moe,b11001f003,b11001f003_moe,b11001f004,b11001f004_moe,b11001f005,b11001f005_moe,b11001f006,b11001f006_moe,b11001f007,b11001f007_moe,b11001f008,b11001f008_moe,b11001f009,b11001f009_moe
1.1,Arbor Heights,15,24,15,24,15,24,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,17,29,17,29,2,23,15,30,0,24,15,30,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,13,31,13,31,13,31,0,29,0,29,0,29,0,29,0,29,0,29
1.4,Alki/Admiral,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,83,73,70,69,54,81,16,26,16,26,0,12,13,22,0,12,13,22
2.2,High Point,14,21,10,22,0,17,10,22,0,17,10,22,4,16,0,17,4,16
2.3,Riverview,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,191,111,191,111,64,60,127,92,96,80,31,51,0,21,0,21,0,21
2.5,Highland Park,40,48,0,21,0,21,0,21,0,21,0,21,40,48,40,48,0,21
3.1,South Park,32,32,32,32,22,30,10,21,0,17,10,21,0,17,0,17,0,17
3.2,Georgetown,18,24,18,24,0,12,18,24,18,24,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,21,33,0,12,0,12,0,12,0,12,0,12,21,33,0,12,21,33
3.4,South Beacon Hill/NewHolly,28,34,28,34,0,24,28,34,16,33,12,25,0,24,0,24,0,24
3.5,Beacon Hill,36,41,36,41,0,17,36,41,18,30,18,33,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,95,87,29,42,0,24,29,42,29,42,0,24,66,81,22,43,44,72
4.1,Rainier Beach,110,93,96,91,49,75,47,58,0,27,47,58,14,31,14,31,0,27
4.2,Columbia City,80,67,40,47,33,39,7,33,0,27,7,33,40,48,23,43,17,33
4.3,Seward Park,32,40,8,18,8,18,0,17,0,17,0,17,24,40,24,40,0,17
4.4,Mt. Baker/North Rainier,14,22,14,22,14,22,0,17,0,17,0,17,0,17,0,17,0,17
5.1,Madrona/Leschi,52,50,52,50,52,50,0,21,0,21,0,21,0,21,0,21,0,21
5.2,Judkins Park,14,23,0,12,0,12,0,12,0,12,0,12,14,23,14,23,0,12
5.3,Central Area/Squire Park,43,36,21,30,8,24,13,30,0,24,13,30,22,31,0,24,22,31
6.1,First Hill,138,80,71,55,37,46,34,41,34,41,0,24,67,60,67,60,0,24
6.2,Capitol Hill,80,53,0,29,0,29,0,29,0,29,0,29,80,53,44,45,36,39
6.3,North Capitol Hill,20,31,0,12,0,12,0,12,0,12,0,12,20,31,0,12,20,31
6.4,Miller Park,8,18,0,17,0,17,0,17,0,17,0,17,8,18,0,17,8,18
6.5,Madison Park,12,19,12,19,12,19,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,58,77,9,23,9,23,0,21,0,21,0,21,49,77,49,77,0,21
7.2,University District,121,121,0,29,0,29,0,29,0,29,0,29,121,121,53,84,68,88
7.3,Ravenna/Bryant,88,69,30,39,21,36,9,33,0,32,9,33,58,66,58,66,0,32
7.4,Wedgwood/View Ridge,22,30,10,28,10,28,0,27,0,27,0,27,12,28,0,27,12,28
7.5,Laurelhurst/Sand Point,17,26,0,21,0,21,0,21,0,21,0,21,17,26,17,26,0,21
8.1,Northgate/Maple Leaf,99,80,67,73,67,73,0,24,0,24,0,24,32,38,32,38,0,24
8.2,Olympic Hills/Victory Heights,92,80,92,80,92,80,0,24,0,24,0,24,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,186,100,131,80,30,42,101,77,61,64,40,49,55,66,55,66,0,27
9.1,Broadview/Bitter Lake,53,48,5,26,5,26,0,27,0,27,0,27,48,49,48,49,0,27
9.2,Licton Springs,82,61,71,59,0,17,71,59,0,17,71,59,11,21,0,17,11,21
9.3,Greenwood/Phinney Ridge,189,108,110,87,101,85,9,31,0,29,9,31,79,69,79,69,0,29
9.4,Green Lake,115,89,0,24,0,24,0,24,0,24,0,24,115,89,54,55,61,72
9.5,Haller Lake,123,108,61,52,61,52,0,21,0,21,0,21,62,96,62,96,0,21
10.1,North Beach/Blue Ridge,41,52,30,50,0,21,30,50,30,50,0,21,11,25,11,25,0,21
10.2,Whittier Heights,52,62,35,58,35,58,0,24,0,24,0,24,17,33,17,33,0,24
10.3,Sunset Hill/Loyal Heights,33,35,14,27,14,27,0,24,0,24,0,24,19,33,19,33,0,24
10.4,Ballard,30,36,15,25,0,17,15,25,0,17,15,25,15,26,15,26,0,17
11.1,Fremont,66,69,12,26,12,26,0,24,0,24,0,24,54,66,39,64,15,30
11.2,Wallingford,17,33,17,33,17,33,0,27,0,27,0,27,0,27,0,27,0,27
11.3,Cascade/Eastlake,188,132,58,97,0,21,58,97,58,97,0,21,130,94,100,88,30,36
12.1,Magnolia,25,44,25,44,25,44,0,24,0,24,0,24,0,24,0,24,0,24
12.2,Interbay,22,25,10,22,0,21,10,22,0,21,10,22,12,24,12,24,0,21
12.3,Queen Anne,139,91,24,44,24,44,0,40,0,40,0,40,115,94,71,77,44,64
13.1,Belltown,52,55,0,21,0,21,0,21,0,21,0,21,52,55,52,55,0,21
13.2,Downtown Commercial Core,93,94,0,12,0,12,0,12,0,12,0,12,93,94,93,94,0,12
13.3,Pioneer Square/International District,33,38,25,36,25,36,0,17,0,17,0,17,8,18,0,17,8,18
