area_id,area_name,b05003e001,b05003e001_moe,b05003e002,b05003e002_moe,b05003e003,b05003e003_moe,b05003e004,b05003e004_moe,b05003e005,b05003e005_moe,b05003e006,b05003e006_moe,b05003e007,b05003e007_moe,b05003e008,b05003e008_moe,b05003e009,b05003e009_moe,b05003e010,b05003e010_moe,b05003e011,b05003e011_moe,b05003e012,b05003e012_moe,b05003e013,b05003e013_moe,b05003e014,b05003e014_moe,b05003e015,b05003e015_moe,b05003e016,b05003e016_moe,b05003e017,b05003e017_moe,b05003e018,b05003e018_moe,b05003e019,b05003e019_moe,b05003e020,b05003e020_moe,b05003e021,b05003e021_moe,b05003e022,b05003e022_moe,b05003e023,b05003e023_moe
1.1,Arbor Heights,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,57,82,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,57,82,0,24,0,24,0,24,0,24,0,24,57,82,57,82,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,52,77,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,52,77,0,29,0,29,0,29,0,29,0,29,52,77,52,77,0,29,0,29,0,29
1.4,Alki/Admiral,22,56,15,41,0,24,0,24,0,24,0,24,0,24,15,41,8,26,7,24,0,24,7,24,7,23,0,24,0,24,0,24,0,24,0,24,7,23,0,24,7,23,7,23,0,24
2.1,North Delridge,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.2,High Point,22,38,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,22,38,0,17,0,17,0,17,0,17,0,17,22,38,22,38,0,17,0,17,0,17
2.3,Riverview,59,53,32,28,11,18,11,18,0,12,0,12,0,12,21,23,11,16,10,16,0,12,10,16,27,45,27,45,11,18,16,28,16,28,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,134,117,99,98,12,29,12,29,0,21,0,21,0,21,87,90,78,89,9,23,9,23,0,21,35,44,0,21,0,21,0,21,0,21,0,21,35,44,11,27,24,40,11,24,13,26
2.5,Highland Park,60,123,33,79,7,21,7,21,0,21,0,21,0,21,26,62,26,62,0,21,0,21,0,21,27,48,0,21,0,21,0,21,0,21,0,21,27,48,27,48,0,21,0,21,0,21
3.1,South Park,214,219,95,109,45,63,45,63,0,17,0,17,0,17,50,54,32,44,18,33,0,17,18,33,119,114,62,78,62,78,0,17,0,17,0,17,57,53,38,46,19,32,0,17,19,32
3.2,Georgetown,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,140,149,54,81,0,24,0,24,0,24,0,24,0,24,54,81,25,42,29,47,0,24,29,47,86,98,0,24,0,24,0,24,0,24,0,24,86,98,54,88,32,50,0,24,32,50
