area_id,area_name,c21001h001,c21001h001_moe,c21001h002,c21001h002_moe,c21001h003,c21001h003_moe,c21001h004,c21001h004_moe,c21001h005,c21001h005_moe,c21001h006,c21001h006_moe,c21001h007,c21001h007_moe,c21001h008,c21001h008_moe,c21001h009,c21001h009_moe,c21001h010,c21001h010_moe,c21001h011,c21001h011_moe,c21001h012,c21001h012_moe,c21001h013,c21001h013_moe,c21001h014,c21001h014_moe,c21001h015,c21001h015_moe
9.3,Greenwood/Phinney Ridge,15919,533,7714,408,6944,379,552,156,6392,386,770,147,448,120,322,109,8205,368,7223,329,60,44,7163,328,982,150,17,37,965,152
9.4,Green Lake,9890,568,5278,410,4709,385,309,115,4400,380,569,160,201,82,368,143,4612,367,3934,356,0,24,3934,356,678,149,46,36,632,147
9.5,Haller Lake,5501,339,2670,250,2246,225,368,135,1878,215,424,121,265,86,159,89,2831,269,2148,243,21,26,2127,241,683,146,0,21,683,146
10.1,North Beach/Blue Ridge,7994,321,4048,238,3422,221,361,97,3061,232,626,93,247,78,379,92,3946,231,3143,210,23,29,3120,209,803,98,33,34,770,98
10.2,Whittier Heights,8430,356,4071,255,3794,247,312,109,3482,257,277,76,167,67,110,60,4359,284,3932,273,61,52,3871,276,427,83,0,24,427,83
10.3,Sunset Hill/Loyal Heights,10363,517,5070,325,4415,302,237,91,4178,310,655,132,370,109,285,104,5293,348,4532,339,43,35,4489,342,761,134,43,39,718,133
10.4,Ballard,5314,408,2960,349,2764,346,241,185,2523,351,196,124,147,98,49,75,2354,320,1916,270,0,17,1916,270,438,137,19,32,419,141
11.1,Fremont,11713,483,6134,470,5712,452,308,118,5404,457,422,132,235,92,187,93,5579,394,5284,384,61,76,5223,384,295,107,31,37,264,105
11.2,Wallingford,11308,806,5930,535,5451,513,319,116,5132,527,479,129,245,123,234,68,5378,553,4837,544,13,30,4824,544,541,95,10,29,531,96
11.3,Cascade/Eastlake,8002,648,4259,430,3821,430,348,152,3473,432,438,129,204,77,234,110,3743,477,3367,461,40,39,3327,458,376,109,0,21,376,109
12.1,Magnolia,8763,444,4168,257,3298,247,389,128,2909,227,870,123,576,128,294,101,4595,381,3739,364,73,74,3666,371,856,139,26,34,830,136
12.2,Interbay,6850,440,3300,313,2997,281,278,115,2719,297,303,102,125,66,178,87,3550,289,2998,302,62,55,2936,301,552,116,18,30,534,115
12.3,Queen Anne,26233,987,12625,823,11208,827,718,185,10490,823,1417,209,737,180,680,146,13608,761,11590,750,48,46,11542,748,2018,213,29,46,1989,206
13.1,Belltown,5635,497,3187,386,2785,375,131,92,2654,362,402,126,214,104,188,97,2448,338,2038,317,0,21,2038,317,410,133,52,79,358,127
13.2,Downtown Commercial Core,2636,294,1614,260,1451,246,75,46,1376,241,163,82,95,64,68,52,1022,177,861,168,0,12,861,168,161,81,0,12,161,81
13.3,Pioneer Square/International District,1667,219,1156,166,1005,155,144,74,861,154,151,74,38,35,113,74,511,135,428,125,0,17,428,125,83,65,0,17,83,65
