area_id,area_name,b16004001,b16004001_moe,b16004002,b16004002_moe,b16004003,b16004003_moe,b16004004,b16004004_moe,b16004005,b16004005_moe,b16004006,b16004006_moe,b16004007,b16004007_moe,b16004008,b16004008_moe,b16004009,b16004009_moe,b16004010,b16004010_moe,b16004011,b16004011_moe,b16004012,b16004012_moe,b16004013,b16004013_moe,b16004014,b16004014_moe,b16004015,b16004015_moe,b16004016,b16004016_moe,b16004017,b16004017_moe,b16004018,b16004018_moe,b16004019,b16004019_moe,b16004020,b16004020_moe,b16004021,b16004021_moe,b16004022,b16004022_moe,b16004023,b16004023_moe,b16004024,b16004024_moe,b16004025,b16004025_moe,b16004026,b16004026_moe,b16004027,b16004027_moe,b16004028,b16004028_moe,b16004029,b16004029_moe,b16004030,b16004030_moe,b16004031,b16004031_moe,b16004032,b16004032_moe,b16004033,b16004033_moe,b16004034,b16004034_moe,b16004035,b16004035_moe,b16004036,b16004036_moe,b16004037,b16004037_moe,b16004038,b16004038_moe,b16004039,b16004039_moe,b16004040,b16004040_moe,b16004041,b16004041_moe,b16004042,b16004042_moe,b16004043,b16004043_moe,b16004044,b16004044_moe,b16004045,b16004045_moe,b16004046,b16004046_moe,b16004047,b16004047_moe,b16004048,b16004048_moe,b16004049,b16004049_moe,b16004050,b16004050_moe,b16004051,b16004051_moe,b16004052,b16004052_moe,b16004053,b16004053_moe,b16004054,b16004054_moe,b16004055,b16004055_moe,b16004056,b16004056_moe,b16004057,b16004057_moe,b16004058,b16004058_moe,b16004059,b16004059_moe,b16004060,b16004060_moe,b16004061,b16004061_moe,b16004062,b16004062_moe,b16004063,b16004063_moe,b16004064,b16004064_moe,b16004065,b16004065_moe,b16004066,b16004066_moe,b16004067,b16004067_moe
1.1,Arbor Heights,5810,258,870,137,790,138,32,38,21,33,11,21,0,17,0,17,8,18,8,18,0,17,0,17,0,17,40,60,0,17,40,60,0,17,0,17,0,17,0,17,0,17,0,17,0,17,4115,202,3688,237,210,123,192,115,18,26,0,17,0,17,102,67,102,67,0,17,0,17,0,17,115,76,68,52,27,40,20,32,0,17,0,17,0,17,0,17,0,17,0,17,825,102,715,87,0,17,0,17,0,17,0,17,0,17,27,33,16,29,0,17,11,21,0,17,67,66,8,18,59,65,0,17,0,17,16,29,16,29,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,12872,589,1612,277,1547,279,43,54,13,27,30,53,0,24,0,24,17,33,17,33,0,24,0,24,0,24,5,20,0,24,5,20,0,24,0,24,0,24,0,24,0,24,0,24,0,24,9465,476,8557,492,228,123,215,122,0,24,13,27,0,24,334,166,282,160,52,41,0,24,0,24,289,123,241,122,33,42,15,29,0,24,57,56,57,56,0,24,0,24,0,24,1795,164,1597,178,33,39,0,24,0,24,15,31,18,34,113,77,63,55,48,43,2,18,0,24,52,48,43,49,9,23,0,24,0,24,0,24,0,24,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,17051,622,2443,303,2090,295,24,43,24,43,0,29,0,29,0,29,172,106,104,85,0,29,0,29,68,77,142,104,119,99,23,43,0,29,0,29,15,33,15,33,0,29,0,29,0,29,12160,483,10766,538,333,179,233,158,87,70,13,33,0,29,549,190,433,162,104,109,12,31,0,29,483,169,350,137,92,56,41,67,0,29,29,43,17,36,0,29,5,26,7,28,2448,273,2172,267,35,39,4,25,18,37,13,31,0,29,179,115,96,58,71,96,12,31,0,29,46,33,4,25,11,23,8,22,23,26,16,33,16,33,0,29,0,29,0,29
1.4,Alki/Admiral,10630,475,1152,199,937,208,110,106,98,104,0,24,12,25,0,24,67,78,67,78,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,38,43,38,43,0,24,0,24,0,24,7553,422,6672,436,264,162,230,158,13,27,21,35,0,24,323,189,238,167,85,88,0,24,0,24,213,130,171,113,35,38,0,24,7,24,81,86,81,86,0,24,0,24,0,24,1925,241,1688,185,11,24,11,24,0,24,0,24,0,24,179,136,133,114,46,77,0,24,0,24,47,45,19,35,0,24,23,34,5,20,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,4387,280,302,141,260,147,0,12,0,12,0,12,0,12,0,12,28,41,28,41,0,12,0,12,0,12,14,23,0,12,0,12,14,23,0,12,0,12,0,12,0,12,0,12,0,12,3746,259,2881,333,207,167,36,39,83,69,14,23,74,85,242,198,186,129,28,42,28,41,0,12,309,159,225,139,50,51,34,37,0,12,107,157,107,157,0,12,0,12,0,12,339,59,248,60,0,12,0,12,0,12,0,12,0,12,30,34,15,24,15,24,0,12,0,12,61,58,0,12,11,19,50,55,0,12,0,12,0,12,0,12,0,12,0,12
2.2,High Point,5917,439,1102,248,653,231,22,40,0,17,11,22,11,22,0,17,0,17,0,17,0,17,0,17,0,17,119,82,94,94,25,34,0,17,0,17,308,127,169,128,131,118,8,19,0,17,4353,397,2935,413,65,67,17,25,41,60,7,18,0,17,25,30,18,20,7,18,0,17,0,17,868,226,500,214,179,100,151,75,38,49,460,173,200,103,141,131,90,84,29,30,462,136,250,116,0,17,0,17,0,17,0,17,0,17,20,26,0,17,20,26,0,17,0,17,187,98,31,47,28,37,50,65,78,72,5,16,0,17,0,17,0,17,5,16
2.3,Riverview,4430,272,779,180,621,141,11,18,11,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,90,68,90,68,0,12,0,12,0,12,57,93,57,93,0,12,0,12,0,12,3297,222,2635,256,103,90,58,63,45,34,0,12,0,12,42,41,42,41,0,12,0,12,0,12,470,167,202,105,210,94,48,46,10,16,47,49,20,22,0,12,27,43,0,12,354,61,243,63,0,12,0,12,0,12,0,12,0,12,12,19,12,19,0,12,0,12,0,12,99,53,22,20,34,35,15,23,28,30,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,11695,653,1663,297,847,199,562,243,484,240,42,66,36,58,0,21,42,54,42,54,0,21,0,21,0,21,185,112,159,110,14,27,12,25,0,21,27,49,27,49,0,21,0,21,0,21,8850,558,5827,440,1534,477,546,239,342,127,410,239,236,210,179,107,69,45,100,93,10,23,0,21,1006,280,465,189,343,146,184,113,14,27,304,200,207,152,41,52,56,95,0,21,1182,158,909,137,26,43,0,21,0,21,0,21,26,43,38,41,12,27,12,26,14,28,0,21,173,92,21,37,66,57,76,64,10,18,36,40,23,33,0,21,13,28,0,21
2.5,Highland Park,5490,406,727,205,412,175,65,71,46,47,19,34,0,21,0,21,0,21,0,21,0,21,0,21,0,21,224,130,167,117,57,86,0,21,0,21,26,30,26,30,0,21,0,21,0,21,3931,317,2663,338,387,222,240,143,93,97,35,44,19,33,44,41,44,41,0,21,0,21,0,21,580,238,314,169,158,119,41,39,67,81,257,134,165,92,33,47,59,60,0,21,832,162,659,163,27,33,0,21,11,22,16,28,0,21,26,46,0,21,26,46,0,21,0,21,93,62,15,27,42,42,36,48,0,21,27,30,27,30,0,21,0,21,0,21
3.1,South Park,4021,516,940,256,289,168,402,185,332,152,45,53,0,17,25,42,0,17,0,17,0,17,0,17,0,17,242,147,147,134,60,55,25,24,10,20,7,18,7,18,0,17,0,17,0,17,2781,439,1218,154,1031,447,268,171,144,90,396,241,223,136,14,24,14,24,0,17,0,17,0,17,506,123,189,73,137,55,117,73,63,45,12,23,12,23,0,17,0,17,0,17,300,80,157,54,29,39,0,17,0,17,29,39,0,17,0,17,0,17,0,17,0,17,0,17,114,57,9,21,10,23,53,51,42,34,0,17,0,17,0,17,0,17,0,17
