area_id,area_name,b99193001,b99193001_moe,b99193002,b99193002_moe,b99193003,b99193003_moe,b99193004,b99193004_moe,b99193005,b99193005_moe,b99193006,b99193006_moe,b99193007,b99193007_moe,b99193008,b99193008_moe
1.1,Arbor Heights,1585,-1,1369,-1,24,-1,38,-1,0,-1,20,-1,69,-1,65,-1
1.2,Fauntleroy/Seaview,3390,-1,2993,-1,89,-1,47,-1,16,-1,17,-1,52,-1,176,-1
1.3,West Seattle Junction/Genesee Hill,4165,-1,3611,-1,64,-1,85,-1,23,-1,75,-1,136,-1,171,-1
1.4,Alki/Admiral,2475,-1,2067,-1,64,-1,77,-1,30,-1,0,-1,104,-1,133,-1
2.1,North Delridge,979,-1,721,-1,12,-1,77,-1,71,-1,0,-1,79,-1,19,-1
2.2,High Point,1514,-1,1243,-1,7,-1,49,-1,0,-1,0,-1,74,-1,141,-1
2.3,Riverview,1096,-1,758,-1,0,-1,9,-1,52,-1,54,-1,95,-1,128,-1
2.4,Roxhill/Westwood,2961,-1,2335,-1,45,-1,87,-1,34,-1,30,-1,135,-1,295,-1
2.5,Highland Park,1348,-1,969,-1,20,-1,28,-1,5,-1,52,-1,46,-1,228,-1
3.1,South Park,823,-1,520,-1,8,-1,34,-1,24,-1,0,-1,24,-1,213,-1
3.2,Georgetown,190,-1,152,-1,0,-1,9,-1,0,-1,29,-1,0,-1,0,-1
3.3,Duwamish/SODO,317,-1,195,-1,29,-1,11,-1,18,-1,0,-1,15,-1,49,-1
3.4,South Beacon Hill/NewHolly,3415,-1,2145,-1,105,-1,101,-1,74,-1,291,-1,285,-1,414,-1
3.5,Beacon Hill,1954,-1,1241,-1,125,-1,110,-1,70,-1,26,-1,227,-1,155,-1
3.6,North Beacon Hill/Jefferson Park,3324,-1,2632,-1,65,-1,96,-1,55,-1,116,-1,135,-1,225,-1
4.1,Rainier Beach,3431,-1,2474,-1,104,-1,0,-1,86,-1,121,-1,292,-1,354,-1
4.2,Columbia City,3753,-1,2713,-1,107,-1,79,-1,107,-1,161,-1,226,-1,360,-1
4.3,Seward Park,2162,-1,1669,-1,21,-1,87,-1,32,-1,54,-1,152,-1,147,-1
4.4,Mt. Baker/North Rainier,1352,-1,965,-1,26,-1,80,-1,37,-1,0,-1,37,-1,207,-1
5.1,Madrona/Leschi,2490,-1,1840,-1,67,-1,201,-1,39,-1,48,-1,87,-1,208,-1
5.2,Judkins Park,450,-1,305,-1,21,-1,7,-1,9,-1,28,-1,28,-1,52,-1
5.3,Central Area/Squire Park,2887,-1,2284,-1,62,-1,39,-1,0,-1,20,-1,266,-1,216,-1
6.1,First Hill,1417,-1,1204,-1,53,-1,27,-1,0,-1,0,-1,32,-1,101,-1
6.2,Capitol Hill,2188,-1,1876,-1,78,-1,45,-1,43,-1,11,-1,0,-1,135,-1
6.3,North Capitol Hill,727,-1,604,-1,37,-1,0,-1,0,-1,12,-1,27,-1,47,-1
6.4,Miller Park,1365,-1,1080,-1,43,-1,72,-1,16,-1,51,-1,29,-1,74,-1
6.5,Madison Park,1217,-1,945,-1,13,-1,65,-1,0,-1,0,-1,43,-1,151,-1
7.1,Montlake/Portage Bay,2107,-1,1741,-1,64,-1,99,-1,0,-1,58,-1,39,-1,106,-1
7.2,University District,1138,-1,1043,-1,0,-1,0,-1,0,-1,31,-1,17,-1,47,-1
7.3,Ravenna/Bryant,4872,-1,4127,-1,99,-1,190,-1,28,-1,118,-1,68,-1,242,-1
7.4,Wedgwood/View Ridge,3927,-1,3175,-1,105,-1,119,-1,121,-1,93,-1,79,-1,235,-1
7.5,Laurelhurst/Sand Point,2695,-1,2180,-1,76,-1,126,-1,13,-1,16,-1,86,-1,198,-1
8.1,Northgate/Maple Leaf,2868,-1,2352,-1,18,-1,115,-1,76,-1,27,-1,101,-1,179,-1
8.2,Olympic Hills/Victory Heights,3632,-1,2597,-1,113,-1,86,-1,82,-1,78,-1,239,-1,437,-1
8.3,Cedar Park/Meadowbrook,2665,-1,2099,-1,10,-1,217,-1,11,-1,11,-1,37,-1,280,-1
9.1,Broadview/Bitter Lake,2993,-1,2392,-1,34,-1,124,-1,34,-1,46,-1,119,-1,244,-1
9.2,Licton Springs,1744,-1,1405,-1,50,-1,28,-1,0,-1,28,-1,111,-1,122,-1
9.3,Greenwood/Phinney Ridge,5397,-1,4486,-1,56,-1,99,-1,170,-1,105,-1,183,-1,298,-1
9.4,Green Lake,2937,-1,2371,-1,73,-1,43,-1,93,-1,46,-1,117,-1,194,-1
9.5,Haller Lake,2381,-1,1763,-1,46,-1,69,-1,42,-1,123,-1,133,-1,205,-1
10.1,North Beach/Blue Ridge,3159,-1,2643,-1,67,-1,75,-1,17,-1,71,-1,71,-1,215,-1
10.2,Whittier Heights,2878,-1,2518,-1,63,-1,46,-1,21,-1,45,-1,67,-1,118,-1
10.3,Sunset Hill/Loyal Heights,3269,-1,2761,-1,38,-1,54,-1,42,-1,81,-1,36,-1,257,-1
10.4,Ballard,1233,-1,1033,-1,34,-1,22,-1,24,-1,60,-1,15,-1,45,-1
11.1,Fremont,2776,-1,2392,-1,20,-1,87,-1,9,-1,76,-1,66,-1,126,-1
11.2,Wallingford,2475,-1,2126,-1,51,-1,23,-1,61,-1,80,-1,48,-1,86,-1
11.3,Cascade/Eastlake,1426,-1,1065,-1,64,-1,29,-1,8,-1,14,-1,0,-1,246,-1
12.1,Magnolia,3302,-1,2621,-1,75,-1,98,-1,25,-1,40,-1,118,-1,325,-1
12.2,Interbay,2040,-1,1552,-1,33,-1,139,-1,13,-1,89,-1,67,-1,147,-1
12.3,Queen Anne,6804,-1,5612,-1,102,-1,193,-1,53,-1,85,-1,253,-1,506,-1
13.1,Belltown,1111,-1,971,-1,12,-1,0,-1,0,-1,0,-1,54,-1,74,-1
13.2,Downtown Commercial Core,440,-1,382,-1,0,-1,0,-1,0,-1,28,-1,0,-1,30,-1
13.3,Pioneer Square/International District,750,-1,641,-1,17,-1,0,-1,10,-1,9,-1,14,-1,59,-1
