area_id,area_name,b13002c001,b13002c001_moe,b13002c002,b13002c002_moe,b13002c003,b13002c003_moe,b13002c004,b13002c004_moe,b13002c005,b13002c005_moe,b13002c006,b13002c006_moe,b13002c007,b13002c007_moe
1.1,Arbor Heights,36,46,0,17,0,17,0,17,36,46,0,17,36,46
1.2,Fauntleroy/Seaview,12,25,0,24,0,24,0,24,12,25,0,24,12,25
1.3,West Seattle Junction/Genesee Hill,67,59,15,34,0,29,15,34,52,54,8,23,44,53
1.4,Alki/Admiral,18,34,0,24,0,24,0,24,18,34,18,34,0,24
2.1,North Delridge,24,39,0,12,0,12,0,12,24,39,0,12,24,39
2.2,High Point,8,20,0,17,0,17,0,17,8,20,0,17,8,20
2.3,Riverview,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,21,33,0,21,0,21,0,21,21,33,3,19,18,34
2.5,Highland Park,0,21,0,21,0,21,0,21,0,21,0,21,0,21
3.1,South Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17
3.2,Georgetown,7,12,0,12,0,12,0,12,7,12,0,12,7,12
3.3,Duwamish/SODO,30,54,0,12,0,12,0,12,30,54,0,12,30,54
3.4,South Beacon Hill/NewHolly,32,40,0,24,0,24,0,24,32,40,15,31,17,33
3.5,Beacon Hill,1,12,0,17,0,17,0,17,1,12,0,17,1,12
3.6,North Beacon Hill/Jefferson Park,37,66,0,24,0,24,0,24,37,66,0,24,37,66
4.1,Rainier Beach,0,27,0,27,0,27,0,27,0,27,0,27,0,27
4.2,Columbia City,25,36,0,27,0,27,0,27,25,36,10,29,15,35
4.3,Seward Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17
4.4,Mt. Baker/North Rainier,45,52,0,17,0,17,0,17,45,52,27,31,18,28
5.1,Madrona/Leschi,13,24,0,21,0,21,0,21,13,24,0,21,13,24
5.2,Judkins Park,10,15,0,12,0,12,0,12,10,15,10,15,0,12
5.3,Central Area/Squire Park,46,49,0,24,0,24,0,24,46,49,9,25,37,47
6.1,First Hill,85,59,32,37,20,36,12,26,53,52,29,41,24,42
6.2,Capitol Hill,102,78,0,29,0,29,0,29,102,78,21,42,81,70
6.3,North Capitol Hill,42,62,0,12,0,12,0,12,42,62,0,12,42,62
6.4,Miller Park,18,22,0,17,0,17,0,17,18,22,0,17,18,22
6.5,Madison Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,0,21,0,21,0,21,0,21,0,21,0,21,0,21
7.2,University District,54,58,0,29,0,29,0,29,54,58,16,34,38,55
7.3,Ravenna/Bryant,23,38,0,32,0,32,0,32,23,38,8,33,15,37
7.4,Wedgwood/View Ridge,0,27,0,27,0,27,0,27,0,27,0,27,0,27
7.5,Laurelhurst/Sand Point,0,21,0,21,0,21,0,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,50,54,0,24,0,24,0,24,50,54,21,40,29,37
8.2,Olympic Hills/Victory Heights,0,24,0,24,0,24,0,24,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,58,56,0,27,0,27,0,27,58,56,6,26,52,57
9.1,Broadview/Bitter Lake,79,79,17,35,17,35,0,27,62,76,17,36,45,70
9.2,Licton Springs,12,22,0,17,0,17,0,17,12,22,12,22,0,17
9.3,Greenwood/Phinney Ridge,23,47,0,29,0,29,0,29,23,47,0,29,23,47
9.4,Green Lake,0,24,0,24,0,24,0,24,0,24,0,24,0,24
9.5,Haller Lake,55,53,0,21,0,21,0,21,55,53,16,28,39,47
10.1,North Beach/Blue Ridge,0,21,0,21,0,21,0,21,0,21,0,21,0,21
10.2,Whittier Heights,0,24,0,24,0,24,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,0,24,0,24,0,24,0,24,0,24,0,24,0,24
10.4,Ballard,0,17,0,17,0,17,0,17,0,17,0,17,0,17
11.1,Fremont,0,24,0,24,0,24,0,24,0,24,0,24,0,24
11.2,Wallingford,7,27,0,27,0,27,0,27,7,27,0,27,7,27
11.3,Cascade/Eastlake,21,28,0,21,0,21,0,21,21,28,11,25,10,24
12.1,Magnolia,0,24,0,24,0,24,0,24,0,24,0,24,0,24
12.2,Interbay,31,41,0,21,0,21,0,21,31,41,0,21,31,41
12.3,Queen Anne,151,105,0,40,0,40,0,40,151,105,27,50,124,98
13.1,Belltown,0,21,0,21,0,21,0,21,0,21,0,21,0,21
13.2,Downtown Commercial Core,0,12,0,12,0,12,0,12,0,12,0,12,0,12
13.3,Pioneer Square/International District,12,23,0,17,0,17,0,17,12,23,0,17,12,23
