area_id,area_name,b14005001,b14005001_moe,b14005002,b14005002_moe,b14005003,b14005003_moe,b14005004,b14005004_moe,b14005005,b14005005_moe,b14005006,b14005006_moe,b14005007,b14005007_moe,b14005008,b14005008_moe,b14005009,b14005009_moe,b14005010,b14005010_moe,b14005011,b14005011_moe,b14005012,b14005012_moe,b14005013,b14005013_moe,b14005014,b14005014_moe,b14005015,b14005015_moe,b14005016,b14005016_moe,b14005017,b14005017_moe,b14005018,b14005018_moe,b14005019,b14005019_moe,b14005020,b14005020_moe,b14005021,b14005021_moe,b14005022,b14005022_moe,b14005023,b14005023_moe,b14005024,b14005024_moe,b14005025,b14005025_moe,b14005026,b14005026_moe,b14005027,b14005027_moe,b14005028,b14005028_moe,b14005029,b14005029_moe
1.1,Arbor Heights,150,58,79,41,62,37,20,24,0,17,42,30,17,22,17,22,17,22,0,17,0,17,0,17,0,17,0,17,0,17,71,48,71,48,30,29,0,17,41,31,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,222,82,80,52,80,52,0,24,0,24,80,52,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,142,68,142,68,35,38,0,24,107,61,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,534,174,298,132,281,131,65,49,67,73,149,91,17,35,17,35,17,35,0,29,0,29,0,29,0,29,0,29,0,29,236,109,217,105,65,63,0,29,152,84,19,38,19,38,19,38,0,29,0,29,0,29,0,29,0,29,0,29
1.4,Alki/Admiral,336,117,184,80,184,80,17,27,61,51,106,66,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,152,77,115,75,24,40,0,24,91,61,37,40,19,34,19,34,0,24,0,24,18,33,0,24,0,24,18,33
2.1,North Delridge,144,115,90,75,90,75,22,27,0,12,68,72,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,54,61,54,61,0,12,0,12,54,61,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.2,High Point,313,139,118,66,96,65,15,26,0,17,81,60,22,30,22,30,0,17,22,30,0,17,0,17,0,17,0,17,0,17,195,121,190,121,29,45,35,44,126,88,5,16,0,17,0,17,0,17,0,17,5,16,0,17,0,17,5,16
2.3,Riverview,320,126,255,126,224,117,90,91,8,14,126,83,31,50,0,12,0,12,0,12,0,12,31,50,0,12,31,50,0,12,65,45,55,43,21,25,0,12,34,35,10,15,0,12,0,12,0,12,0,12,10,15,10,15,0,12,0,12
2.4,Roxhill/Westwood,596,194,268,114,257,109,53,44,3,18,201,98,11,25,11,25,11,25,0,21,0,21,0,21,0,21,0,21,0,21,328,168,326,167,62,46,39,62,225,116,2,21,2,21,2,21,0,21,0,21,0,21,0,21,0,21,0,21
2.5,Highland Park,315,131,254,117,245,119,39,36,26,30,180,102,9,20,9,20,9,20,0,21,0,21,0,21,0,21,0,21,0,21,61,81,61,81,59,79,0,21,2,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
3.1,South Park,148,81,48,43,33,35,0,17,0,17,33,35,15,26,0,17,0,17,0,17,0,17,15,26,0,17,0,17,15,26,100,58,86,55,56,45,0,17,30,34,14,25,0,17,0,17,0,17,0,17,14,25,0,17,14,25,0,17
3.2,Georgetown,44,32,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,44,32,44,32,28,35,0,12,16,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,47,32,39,30,32,28,0,12,15,26,17,28,7,9,7,9,7,9,0,12,0,12,0,12,0,12,0,12,0,12,8,11,6,10,6,10,0,12,0,12,2,4,2,4,2,4,0,12,0,12,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,858,233,405,148,389,147,38,32,84,71,267,124,16,31,16,31,16,31,0,24,0,24,0,24,0,24,0,24,0,24,453,153,434,151,62,52,48,76,324,132,19,27,19,27,19,27,0,24,0,24,0,24,0,24,0,24,0,24
3.5,Beacon Hill,314,120,141,78,115,62,8,18,17,30,90,53,26,31,17,30,0,17,0,17,17,30,9,19,9,19,0,17,0,17,173,98,173,98,13,26,0,17,160,101,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
