area_id,area_name,b07008001,b07008001_moe,b07008002,b07008002_moe,b07008003,b07008003_moe,b07008004,b07008004_moe,b07008005,b07008005_moe,b07008006,b07008006_moe,b07008007,b07008007_moe,b07008008,b07008008_moe,b07008009,b07008009_moe,b07008010,b07008010_moe,b07008011,b07008011_moe,b07008012,b07008012_moe,b07008013,b07008013_moe,b07008014,b07008014_moe,b07008015,b07008015_moe,b07008016,b07008016_moe,b07008017,b07008017_moe,b07008018,b07008018_moe,b07008019,b07008019_moe,b07008020,b07008020_moe,b07008021,b07008021_moe,b07008022,b07008022_moe,b07008023,b07008023_moe,b07008024,b07008024_moe,b07008025,b07008025_moe,b07008026,b07008026_moe,b07008027,b07008027_moe,b07008028,b07008028_moe,b07008029,b07008029_moe,b07008030,b07008030_moe,b07008031,b07008031_moe,b07008032,b07008032_moe,b07008033,b07008033_moe,b07008034,b07008034_moe,b07008035,b07008035_moe,b07008036,b07008036_moe
1.1,Arbor Heights,5095,223,1430,250,2761,295,578,162,24,34,302,93,4371,267,1029,203,2559,304,484,145,24,34,275,89,590,212,309,152,176,113,94,64,0,17,11,22,16,25,14,25,2,13,0,17,0,17,0,17,83,71,43,50,24,39,0,17,0,17,16,27,35,40,35,40,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,11543,486,3261,415,5957,546,1684,324,99,66,542,133,9896,510,2773,414,5119,468,1402,277,81,60,521,128,1063,347,302,123,501,287,234,127,18,25,8,21,142,83,46,55,73,54,23,41,0,24,0,24,397,167,95,84,264,143,25,41,0,24,13,28,45,71,45,71,0,24,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,15172,575,5395,553,6887,503,1838,287,171,109,881,212,12386,585,3669,466,6276,477,1459,259,171,109,811,202,1812,437,1061,351,429,209,260,119,0,29,62,37,300,193,224,172,38,51,30,32,0,29,8,21,495,277,342,182,88,94,65,80,0,29,0,29,179,89,99,71,56,49,24,32,0,29,0,29
1.4,Alki/Admiral,9775,423,3169,386,4725,446,1365,249,0,24,516,137,7928,456,2191,313,4194,430,1060,214,0,24,483,132,1156,353,644,251,270,211,214,104,0,24,28,36,350,177,156,117,111,98,78,61,0,24,5,20,246,115,83,56,150,98,13,27,0,24,0,24,95,92,95,92,0,24,0,24,0,24,0,24
2.1,North Delridge,4151,265,1678,312,1577,334,636,168,67,68,193,86,3387,329,1205,292,1389,320,563,167,52,64,178,83,529,216,392,207,106,108,16,24,0,12,15,25,18,27,3,6,0,12,0,12,15,26,0,12,119,110,62,72,0,12,57,76,0,12,0,12,98,121,16,26,82,117,0,12,0,12,0,12
2.2,High Point,5047,401,2249,471,1727,272,609,181,161,129,301,128,4142,385,1826,419,1445,227,469,159,161,129,241,98,721,212,302,141,263,161,96,62,0,17,60,86,86,82,54,61,3,13,29,49,0,17,0,17,98,72,67,62,16,27,15,25,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
2.3,Riverview,3878,237,1572,233,1487,215,571,153,82,70,166,72,3565,228,1415,225,1403,203,540,156,49,52,158,72,190,74,74,43,74,50,9,14,33,48,0,12,86,99,77,99,0,12,9,13,0,12,0,12,19,22,6,11,0,12,13,21,0,12,0,12,18,22,0,12,10,17,0,12,0,12,8,12
2.4,Roxhill/Westwood,10423,578,3871,469,4399,520,1456,322,230,131,467,114,8555,631,3102,453,3782,481,1088,228,176,105,407,109,980,286,451,183,285,159,184,127,0,21,60,43,201,214,77,82,98,140,26,33,0,21,0,21,635,253,199,126,224,193,158,94,54,84,0,21,52,58,42,55,10,26,0,21,0,21,0,21
2.5,Highland Park,5037,361,1786,369,2328,392,639,166,83,67,201,107,3970,367,1335,293,1995,352,477,144,44,46,119,80,796,244,362,236,199,122,114,64,39,47,82,82,66,67,36,57,30,36,0,21,0,21,0,21,166,105,14,26,104,95,48,48,0,21,0,21,39,43,39,43,0,21,0,21,0,21,0,21
3.1,South Park,3243,414,1334,235,1382,324,242,90,110,63,175,70,2688,367,1132,190,1200,304,152,78,67,46,137,71,425,135,172,87,135,80,83,55,26,48,9,23,21,29,14,25,0,17,7,17,0,17,0,17,36,50,6,16,30,49,0,17,0,17,0,17,73,57,10,19,17,31,0,17,17,22,29,39
3.2,Georgetown,1066,135,459,109,400,122,166,69,41,36,0,12,741,111,251,76,359,116,101,55,30,30,0,12,172,105,100,77,41,46,20,33,11,17,0,12,53,64,53,64,0,12,0,12,0,12,0,12,100,69,55,54,0,12,45,46,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,2265,367,1131,240,523,183,415,162,61,43,135,71,1741,271,821,195,500,179,255,117,43,36,122,60,295,102,149,94,23,32,105,70,18,29,0,12,109,78,90,73,0,12,19,31,0,12,0,12,87,92,38,36,0,12,36,49,0,12,13,30,33,29,33,29,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,11616,804,3964,596,5519,481,1043,219,246,123,844,185,9995,710,3225,477,4820,514,942,211,246,123,762,178,870,349,324,172,416,208,84,72,0,24,46,39,15,39,0,24,0,24,0,24,0,24,15,39,157,125,122,115,18,45,17,35,0,24,0,24,579,381,293,214,265,179,0,24,0,24,21,27
3.5,Beacon Hill,7993,612,2845,542,3858,397,574,182,96,68,620,198,6871,517,2265,467,3562,353,452,132,47,48,545,167,864,351,483,252,201,159,86,76,19,33,75,69,82,72,38,47,0,17,36,56,8,18,0,17,133,124,59,69,52,69,0,17,22,38,0,17,43,41,0,17,43,41,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,11680,599,4392,580,5097,543,1226,277,259,133,706,169,9845,578,3698,534,4238,493,1086,270,167,94,656,169,1158,321,432,169,498,226,93,73,85,98,50,41,142,99,69,76,49,52,24,33,0,24,0,24,291,145,154,113,107,95,23,36,7,21,0,24,244,242,39,63,205,195,0,24,0,24,0,24
4.1,Rainier Beach,11997,736,4386,633,4610,485,1848,344,313,155,840,194,10218,712,3478,527,4162,437,1585,327,215,136,778,194,1435,454,731,266,346,260,216,129,80,74,62,63,104,81,24,34,29,47,33,56,18,37,0,27,146,106,74,71,58,80,14,30,0,27,0,27,94,97,79,105,15,32,0,27,0,27,0,27
4.2,Columbia City,13648,701,4846,586,6235,677,1429,334,343,144,795,194,11383,678,3829,521,5346,593,1173,313,279,132,756,192,1636,464,704,260,664,300,186,106,56,53,26,34,123,85,72,68,23,42,28,38,0,27,0,27,257,145,153,123,50,54,42,45,8,27,4,24,249,218,88,111,152,187,0,27,0,27,9,28
4.3,Seward Park,7227,467,2013,367,3673,321,887,171,73,52,581,176,6470,462,1708,341,3487,318,637,141,73,52,565,174,390,120,149,72,64,53,161,89,0,17,16,25,73,76,15,26,0,17,58,57,0,17,0,17,279,115,126,81,122,78,31,31,0,17,0,17,15,18,15,18,0,17,0,17,0,17,0,17
4.4,Mt. Baker/North Rainier,4517,425,1645,392,2027,271,638,182,38,38,169,85,3875,287,1212,223,1877,265,592,178,38,38,156,78,441,238,293,210,122,89,13,21,0,17,13,22,116,155,99,154,0,17,17,28,0,17,0,17,71,77,27,34,28,45,16,25,0,17,0,17,14,23,14,23,0,17,0,17,0,17,0,17
5.1,Madrona/Leschi,8388,452,2655,428,4169,461,1096,218,53,62,415,136,6600,516,1802,366,3627,437,737,216,53,62,381,124,1366,380,672,251,406,208,288,167,0,21,0,21,52,54,26,47,0,21,26,32,0,21,0,21,370,177,155,125,136,112,45,44,0,21,34,38,0,21,0,21,0,21,0,21,0,21,0,21
5.2,Judkins Park,2607,266,1176,264,749,177,353,113,48,37,281,129,1801,230,723,157,620,164,228,81,12,20,218,103,487,228,281,221,70,43,56,42,25,31,55,54,62,43,26,30,0,12,36,33,0,12,0,12,237,127,126,106,59,50,33,52,11,17,8,14,20,24,20,24,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,14682,644,7638,633,4361,438,1796,303,261,117,626,169,10865,655,4937,514,3701,404,1537,271,123,79,567,160,2683,427,1895,376,423,188,205,118,129,81,31,40,336,190,321,188,4,23,11,29,0,24,0,24,729,261,462,225,215,114,34,47,9,25,9,30,69,51,23,28,18,35,9,25,0,24,19,32
6.1,First Hill,14289,734,9031,663,2594,385,1562,269,432,144,670,162,8072,518,4311,415,1936,340,989,211,289,122,547,137,3751,445,2800,373,361,145,394,152,107,79,89,77,668,199,524,183,16,27,119,78,9,27,0,24,1612,337,1264,301,235,115,60,54,19,32,34,37,186,102,132,74,46,75,0,24,8,26,0,24
6.2,Capitol Hill,19469,680,12949,753,3809,702,2035,395,289,151,387,167,13038,828,8334,717,2619,601,1651,373,136,96,298,148,3947,572,2661,423,886,430,241,142,153,116,6,28,360,188,344,186,16,37,0,29,0,29,0,29,1755,387,1462,360,114,99,96,85,0,29,83,77,369,204,148,123,174,152,47,76,0,29,0,29
6.3,North Capitol Hill,3611,195,1837,242,1417,253,341,138,0,12,16,23,2807,277,1272,232,1196,240,325,135,0,12,14,23,565,221,398,191,149,115,16,25,0,12,2,4,20,30,20,30,0,12,0,12,0,12,0,12,219,98,147,78,72,71,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,6190,333,3015,354,2454,260,515,127,55,52,151,65,4633,385,1893,306,2221,278,383,116,15,19,121,61,1065,292,775,208,148,116,83,60,40,48,19,17,92,60,82,59,0,17,10,19,0,17,0,17,271,120,162,80,59,54,39,36,0,17,11,21,129,72,103,67,26,32,0,17,0,17,0,17
6.5,Madison Park,4324,260,1256,240,2190,355,575,158,30,33,273,97,3377,298,794,202,1848,278,467,138,13,21,255,97,524,213,333,185,122,103,34,37,17,26,18,28,91,89,36,58,0,17,55,73,0,17,0,17,303,218,93,81,191,203,19,30,0,17,0,17,29,52,0,17,29,52,0,17,0,17,0,17
7.1,Montlake/Portage Bay,8372,444,3720,500,3539,375,962,199,23,26,128,59,6249,419,2122,390,3224,363,773,189,23,26,107,52,1376,321,1030,309,164,92,161,85,0,21,21,29,165,82,107,67,58,45,0,21,0,21,0,21,545,273,452,268,65,65,28,35,0,21,0,21,37,34,9,22,28,30,0,21,0,21,0,21
7.2,University District,18904,1381,16153,1389,1762,294,683,172,115,110,191,234,8431,989,6364,945,1229,210,568,150,102,108,168,231,5329,813,4910,807,312,197,94,75,13,32,0,29,2285,339,2261,338,1,25,0,29,0,29,23,44,1972,459,1820,447,131,100,21,32,0,29,0,29,887,367,798,355,89,94,0,29,0,29,0,29
