area_id,area_name,b17010i001,b17010i001_moe,b17010i002,b17010i002_moe,b17010i003,b17010i003_moe,b17010i004,b17010i004_moe,b17010i005,b17010i005_moe,b17010i006,b17010i006_moe,b17010i007,b17010i007_moe,b17010i008,b17010i008_moe,b17010i009,b17010i009_moe,b17010i010,b17010i010_moe,b17010i011,b17010i011_moe,b17010i012,b17010i012_moe,b17010i013,b17010i013_moe,b17010i014,b17010i014_moe,b17010i015,b17010i015_moe,b17010i016,b17010i016_moe,b17010i017,b17010i017_moe,b17010i018,b17010i018_moe,b17010i019,b17010i019_moe,b17010i020,b17010i020_moe,b17010i021,b17010i021_moe,b17010i022,b17010i022_moe,b17010i023,b17010i023_moe,b17010i024,b17010i024_moe,b17010i025,b17010i025_moe,b17010i026,b17010i026_moe,b17010i027,b17010i027_moe,b17010i028,b17010i028_moe,b17010i029,b17010i029_moe,b17010i030,b17010i030_moe,b17010i031,b17010i031_moe,b17010i032,b17010i032_moe,b17010i033,b17010i033_moe,b17010i034,b17010i034_moe,b17010i035,b17010i035_moe,b17010i036,b17010i036_moe,b17010i037,b17010i037_moe,b17010i038,b17010i038_moe,b17010i039,b17010i039_moe,b17010i040,b17010i040_moe,b17010i041,b17010i041_moe
1.1,Arbor Heights,103,67,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,103,67,81,57,47,41,8,19,28,32,11,20,34,44,22,37,0,17,0,17,0,17,0,17,0,17,0,17,22,37,0,17,0,17,0,17,0,17,22,37
1.2,Fauntleroy/Seaview,72,52,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,72,52,41,46,20,36,20,36,0,24,0,24,21,34,31,33,0,24,0,24,0,24,0,24,0,24,0,24,31,33,15,30,0,24,0,24,15,30,16,31
1.3,West Seattle Junction/Genesee Hill,149,97,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,149,97,123,92,38,50,25,47,13,31,0,29,85,83,26,46,13,33,0,29,0,29,0,29,0,29,13,33,13,34,13,34,0,29,0,29,13,34,0,29
1.4,Alki/Admiral,97,97,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,97,97,43,51,0,24,0,24,0,24,0,24,43,51,54,86,54,86,0,24,0,24,0,24,0,24,54,86,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,95,74,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,95,74,65,84,0,12,0,12,0,12,0,12,65,84,30,35,30,35,16,26,0,12,0,12,16,26,14,23,0,12,0,12,0,12,0,12,0,12,0,12
2.2,High Point,27,27,10,22,0,17,0,17,0,17,0,17,0,17,0,17,10,22,0,17,0,17,0,17,0,17,0,17,0,17,10,22,10,22,0,17,10,22,0,17,0,17,17,20,10,20,0,17,0,17,0,17,0,17,10,20,7,17,7,17,7,17,0,17,0,17,7,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
2.3,Riverview,47,35,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,47,35,38,27,18,25,18,25,0,12,0,12,20,24,9,15,0,12,0,12,0,12,0,12,0,12,0,12,9,15,0,12,0,12,0,12,0,12,9,15
2.4,Roxhill/Westwood,679,169,184,98,116,77,116,77,0,21,116,77,0,21,0,21,68,65,17,32,17,32,17,32,0,21,0,21,0,21,51,59,51,59,0,21,0,21,51,59,0,21,495,172,263,118,114,65,0,21,15,30,99,60,149,100,232,139,181,128,29,40,0,21,22,37,7,22,152,127,51,51,33,43,0,21,0,21,33,43,18,34
2.5,Highland Park,177,127,17,30,0,21,0,21,0,21,0,21,0,21,0,21,17,30,0,21,0,21,0,21,0,21,0,21,0,21,17,30,17,30,0,21,0,21,17,30,0,21,160,124,93,107,29,36,16,28,2,23,11,25,64,102,67,85,17,30,17,30,0,21,0,21,17,30,0,21,50,79,50,79,50,79,0,21,0,21,0,21
3.1,South Park,309,74,106,75,7,16,7,16,0,17,0,17,7,16,0,17,99,74,19,30,19,30,0,17,0,17,19,30,0,17,80,71,71,70,0,17,50,55,21,38,9,19,203,83,128,82,95,74,6,17,31,47,58,65,33,43,75,57,28,35,20,34,20,34,0,17,0,17,8,17,47,50,37,48,0,17,37,48,0,17,10,21
