area_id,area_name,c23002i001,c23002i001_moe,c23002i002,c23002i002_moe,c23002i003,c23002i003_moe,c23002i004,c23002i004_moe,c23002i005,c23002i005_moe,c23002i006,c23002i006_moe,c23002i007,c23002i007_moe,c23002i008,c23002i008_moe,c23002i009,c23002i009_moe,c23002i010,c23002i010_moe,c23002i011,c23002i011_moe,c23002i012,c23002i012_moe,c23002i013,c23002i013_moe,c23002i014,c23002i014_moe,c23002i015,c23002i015_moe,c23002i016,c23002i016_moe,c23002i017,c23002i017_moe,c23002i018,c23002i018_moe,c23002i019,c23002i019_moe,c23002i020,c23002i020_moe,c23002i021,c23002i021_moe,c23002i022,c23002i022_moe,c23002i023,c23002i023_moe,c23002i024,c23002i024_moe,c23002i025,c23002i025_moe,c23002i026,c23002i026_moe,c23002i027,c23002i027_moe
1.1,Arbor Heights,247,141,150,83,150,83,150,83,0,17,150,83,118,70,32,45,0,17,0,17,0,17,0,17,0,17,0,17,97,68,97,68,96,68,0,17,96,68,96,68,0,17,1,13,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,423,155,192,106,192,106,105,84,0,24,105,84,105,84,0,24,87,58,0,24,0,24,0,24,0,24,0,24,231,103,213,98,201,96,0,24,201,96,201,96,0,24,12,25,18,34,0,24,0,24,0,24,18,34
1.3,West Seattle Junction/Genesee Hill,555,227,258,138,258,138,183,102,0,29,183,102,169,96,14,32,75,69,0,29,0,29,0,29,0,29,0,29,297,149,266,146,188,109,0,29,188,109,188,109,0,29,78,104,31,38,0,29,0,29,0,29,31,38
1.4,Alki/Admiral,374,228,160,117,160,117,160,117,0,24,160,117,140,112,20,36,0,24,0,24,0,24,0,24,0,24,0,24,214,143,190,137,169,133,0,24,169,133,109,93,60,97,21,36,24,40,0,24,0,24,0,24,24,40
2.1,North Delridge,339,155,165,101,146,107,146,107,11,18,135,104,99,72,36,59,0,12,19,28,0,12,0,12,0,12,19,28,174,88,154,84,137,82,0,12,137,82,137,82,0,12,17,26,20,36,0,12,0,12,0,12,20,36
2.2,High Point,147,86,95,71,95,71,95,71,0,17,95,71,58,45,37,59,0,17,0,17,0,17,0,17,0,17,0,17,52,40,52,40,14,21,0,17,14,21,14,21,0,17,38,36,0,17,0,17,0,17,0,17,0,17
2.3,Riverview,224,124,136,74,136,74,125,67,0,12,125,67,86,40,39,52,11,18,0,12,0,12,0,12,0,12,0,12,88,74,80,74,57,47,0,12,57,47,57,47,0,12,23,31,8,13,8,13,8,13,0,12,0,12
2.4,Roxhill/Westwood,1981,507,1206,330,1192,329,1025,311,21,37,1004,315,981,314,23,35,167,91,14,27,0,21,0,21,0,21,14,27,775,311,712,307,425,186,0,21,425,186,290,118,135,148,287,169,63,53,38,46,12,26,26,43,25,31
2.5,Highland Park,675,264,365,153,365,153,318,152,0,21,318,152,293,148,25,41,47,54,0,21,0,21,0,21,0,21,0,21,310,141,284,142,253,138,0,21,253,138,196,116,57,70,31,32,26,34,15,29,15,29,0,21,11,22
3.1,South Park,1188,430,679,347,660,344,585,342,0,17,585,342,585,342,0,17,75,47,19,30,0,17,0,17,0,17,19,30,509,166,480,165,373,136,0,17,373,136,276,115,97,80,107,68,29,39,0,17,0,17,0,17,29,39
3.2,Georgetown,172,133,93,76,93,76,93,76,0,12,93,76,93,76,0,12,0,12,0,12,0,12,0,12,0,12,0,12,79,67,79,67,19,34,0,12,19,34,9,16,10,19,60,59,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,189,143,149,113,137,93,91,74,1,2,90,74,75,71,15,26,46,67,12,30,12,30,12,30,0,12,0,12,40,47,34,45,34,45,0,12,34,45,34,45,0,12,0,12,6,10,0,12,0,12,0,12,6,10
3.4,South Beacon Hill/NewHolly,235,118,108,65,94,61,87,57,0,24,87,57,59,43,28,32,7,21,14,29,0,24,0,24,0,24,14,29,127,81,127,81,119,81,0,24,119,81,119,81,0,24,8,23,0,24,0,24,0,24,0,24,0,24
