area_id,area_name,b19313g001,b19313g001_moe
1.1,Arbor Heights,15498600,12337540
1.2,Fauntleroy/Seaview,10972000,5980637
1.3,West Seattle Junction/Genesee Hill,22701300,10670174
1.4,Alki/Admiral,13024800,6533760
2.1,North Delridge,2533000,2083898
2.2,High Point,5535000,4688891
2.3,Riverview,6515900,4344484
2.4,Roxhill/Westwood,18315300,8301346
2.5,Highland Park,4016200,3447606
3.1,South Park,2644500,2675970
3.2,Georgetown,1451800,1854214
3.3,Duwamish/SODO,2711200,2558138
3.4,South Beacon Hill/NewHolly,8083600,4496594
3.5,Beacon Hill,4985100,4653555
3.6,North Beacon Hill/Jefferson Park,19569100,9334513
4.1,Rainier Beach,16529600,10198739
4.2,Columbia City,14391300,6517778
4.3,Seward Park,13397100,8909752
4.4,Mt. Baker/North Rainier,13744300,9364097
5.1,Madrona/Leschi,19825700,14573440
5.2,Judkins Park,3732300,2940884
5.3,Central Area/Squire Park,25492100,9922691
6.1,First Hill,10180400,4336386
6.2,Capitol Hill,26820000,9546995
6.3,North Capitol Hill,8816500,12125610
6.4,Miller Park,11629500,7789825
6.5,Madison Park,3400400,3741949
7.1,Montlake/Portage Bay,14223600,7755663
7.2,University District,9471900,4425548
7.3,Ravenna/Bryant,26978400,10428916
7.4,Wedgwood/View Ridge,17559700,9766387
7.5,Laurelhurst/Sand Point,11934200,8929791
8.1,Northgate/Maple Leaf,11302400,6398776
8.2,Olympic Hills/Victory Heights,21620700,12074140
8.3,Cedar Park/Meadowbrook,8234500,4679361
9.1,Broadview/Bitter Lake,10911900,5058210
9.2,Licton Springs,12096900,5788387
9.3,Greenwood/Phinney Ridge,23040800,8118137
9.4,Green Lake,20372000,9756120
9.5,Haller Lake,7221800,4092452
10.1,North Beach/Blue Ridge,12255000,6468615
10.2,Whittier Heights,26652700,23678100
10.3,Sunset Hill/Loyal Heights,9390000,4512450
10.4,Ballard,7624500,5854029
11.1,Fremont,25682100,11013751
11.2,Wallingford,18278000,6944049
11.3,Cascade/Eastlake,19805400,10631067
12.1,Magnolia,6334100,5653639
12.2,Interbay,9649200,4889812
12.3,Queen Anne,49248300,16086776
13.1,Belltown,13968600,8004121
13.2,Downtown Commercial Core,4629400,3008123
13.3,Pioneer Square/International District,8111600,8958730
