area_id,area_name,b18106001,b18106001_moe,b18106002,b18106002_moe,b18106003,b18106003_moe,b18106004,b18106004_moe,b18106005,b18106005_moe,b18106006,b18106006_moe,b18106007,b18106007_moe,b18106008,b18106008_moe,b18106009,b18106009_moe,b18106010,b18106010_moe,b18106011,b18106011_moe,b18106012,b18106012_moe,b18106013,b18106013_moe,b18106014,b18106014_moe,b18106015,b18106015_moe,b18106016,b18106016_moe,b18106017,b18106017_moe,b18106018,b18106018_moe,b18106019,b18106019_moe,b18106020,b18106020_moe,b18106021,b18106021_moe,b18106022,b18106022_moe,b18106023,b18106023_moe,b18106024,b18106024_moe,b18106025,b18106025_moe,b18106026,b18106026_moe,b18106027,b18106027_moe,b18106028,b18106028_moe,b18106029,b18106029_moe,b18106030,b18106030_moe,b18106031,b18106031_moe,b18106032,b18106032_moe,b18106033,b18106033_moe
1.1,Arbor Heights,5807,258,2803,178,377,109,0,17,377,109,599,130,0,17,599,130,1461,102,9,18,1452,104,283,68,19,31,264,69,83,31,0,17,83,31,3004,211,493,114,0,17,493,114,532,137,0,17,532,137,1520,146,9,19,1511,146,289,79,4,14,285,79,170,55,2,13,168,55
1.2,Fauntleroy/Seaview,12750,594,5867,429,760,202,0,24,760,202,1100,252,28,42,1072,248,3371,314,44,39,3327,308,274,103,0,24,274,103,362,100,18,32,344,98,6883,371,852,211,0,24,852,211,1464,221,0,24,1464,221,3511,238,33,38,3478,242,544,116,46,48,498,109,512,110,96,62,416,103
1.3,West Seattle Junction/Genesee Hill,16496,564,7695,470,1107,242,0,29,1107,242,1551,313,0,29,1551,313,4134,279,12,31,4122,280,549,112,1,27,548,113,354,125,92,82,262,94,8801,431,1336,212,0,29,1336,212,1974,316,0,29,1974,316,4338,269,0,29,4338,269,523,126,13,32,510,126,630,158,73,57,557,150
1.4,Alki/Admiral,10525,487,4716,345,476,153,0,24,476,153,1057,203,0,24,1057,203,2439,219,0,24,2439,219,456,157,4,19,452,157,288,94,41,42,247,87,5809,415,676,184,0,24,676,184,1245,262,0,24,1245,262,2787,250,87,59,2700,243,553,158,8,25,545,162,548,109,92,58,456,109
2.1,North Delridge,4376,281,2102,209,151,79,0,12,151,79,656,172,0,12,656,172,1166,178,37,46,1129,166,112,53,0,12,112,53,17,22,3,5,14,22,2274,205,151,104,0,12,151,104,898,204,0,12,898,204,1015,161,47,52,968,174,124,58,0,12,124,58,86,59,2,3,84,59
2.2,High Point,5880,434,2791,304,660,174,0,17,660,174,944,256,37,59,907,256,1058,192,64,78,994,188,105,62,0,17,105,62,24,34,0,17,24,34,3089,347,442,179,0,17,442,179,963,215,0,17,963,215,1351,194,44,52,1307,194,272,121,15,27,257,121,61,45,14,27,47,37
2.3,Riverview,4424,272,2385,208,464,112,13,22,451,116,647,145,0,12,647,145,1108,157,17,25,1091,155,119,45,0,12,119,45,47,31,0,12,47,31,2039,193,315,117,0,12,315,117,448,104,0,12,448,104,1090,125,9,14,1081,125,111,34,0,12,111,34,75,40,0,12,75,40
2.4,Roxhill/Westwood,11664,647,5560,430,758,174,21,29,737,172,1717,338,0,21,1717,338,2561,284,10,23,2551,283,282,95,61,65,221,86,242,81,28,32,214,79,6104,477,905,219,0,21,905,219,1725,348,16,30,1709,348,2816,251,50,34,2766,249,356,100,21,28,335,97,302,85,42,42,260,79
2.5,Highland Park,5468,407,2944,303,472,154,0,21,472,154,879,188,0,21,879,188,1226,189,17,30,1209,183,260,93,19,32,241,86,107,84,45,71,62,59,2524,230,255,109,0,21,255,109,621,151,0,21,621,151,1197,162,38,49,1159,159,283,96,56,43,227,88,168,87,35,40,133,74
3.1,South Park,3929,517,2022,457,388,136,0,17,388,136,573,211,0,17,573,211,922,314,0,17,922,314,124,75,0,17,124,75,15,20,0,17,15,20,1907,288,552,213,18,30,534,207,623,172,0,17,623,172,645,114,25,32,620,115,0,17,0,17,0,17,87,37,65,37,22,29
3.2,Georgetown,1160,143,620,94,19,12,0,12,19,12,144,65,0,12,144,65,425,80,0,12,425,80,18,17,0,12,18,17,14,9,0,12,14,9,540,101,90,38,0,12,90,38,189,69,0,12,189,69,207,70,0,12,207,70,48,44,0,12,48,44,6,10,0,12,6,10
3.3,Duwamish/SODO,2322,378,1347,352,68,48,0,12,68,48,346,149,0,12,346,149,759,257,44,45,715,266,97,83,8,18,89,79,77,42,30,34,47,26,975,164,109,61,0,12,109,61,413,131,0,12,413,131,321,67,0,12,321,67,12,18,12,18,0,12,120,44,28,31,92,44
3.4,South Beacon Hill/NewHolly,14310,1112,6820,634,1600,343,0,24,1600,343,1806,308,0,24,1806,308,2727,293,69,55,2658,299,363,104,13,28,350,104,324,96,54,54,270,88,7490,746,1819,499,30,39,1789,495,1775,266,0,24,1775,266,2937,311,50,55,2887,313,387,106,43,34,344,103,572,140,159,86,413,120
3.5,Beacon Hill,8652,659,4302,479,467,146,0,17,467,146,1087,222,0,17,1087,222,2241,406,27,31,2214,405,279,116,0,17,279,116,228,81,0,17,228,81,4350,381,487,175,0,17,487,175,1229,234,1,12,1228,234,1750,232,13,24,1737,233,410,131,0,17,410,131,474,128,55,46,419,127
3.6,North Beacon Hill/Jefferson Park,12978,659,6701,545,723,228,0,24,723,228,2211,393,0,24,2211,393,3050,330,35,44,3015,335,373,146,47,69,326,127,344,117,87,72,257,106,6277,398,865,194,0,24,865,194,1566,254,0,24,1566,254,2732,276,84,76,2648,291,498,146,0,24,498,146,616,161,103,72,513,160
