area_id,area_name,b12002i001,b12002i001_moe,b12002i002,b12002i002_moe,b12002i003,b12002i003_moe,b12002i004,b12002i004_moe,b12002i005,b12002i005_moe,b12002i006,b12002i006_moe,b12002i007,b12002i007_moe,b12002i008,b12002i008_moe,b12002i009,b12002i009_moe,b12002i010,b12002i010_moe,b12002i011,b12002i011_moe,b12002i012,b12002i012_moe,b12002i013,b12002i013_moe
1.1,Arbor Heights,247,141,150,83,35,48,89,58,0,17,0,17,26,42,97,68,18,23,56,49,0,17,0,17,23,35
1.2,Fauntleroy/Seaview,423,155,192,106,117,61,75,76,0,24,0,24,0,24,231,103,125,81,90,65,16,31,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,555,227,258,138,88,63,121,89,0,29,0,29,49,61,297,149,139,118,114,89,0,29,13,31,31,41
1.4,Alki/Admiral,374,228,160,117,87,75,73,90,0,24,0,24,0,24,214,143,152,132,49,57,0,24,0,24,13,26
2.1,North Delridge,339,155,165,101,52,63,62,80,0,12,0,12,51,38,174,88,76,51,54,81,0,12,0,12,44,52
2.2,High Point,147,86,95,71,78,68,10,20,0,17,0,17,7,18,52,40,26,32,22,29,0,17,0,17,4,16
2.3,Riverview,224,124,136,74,58,58,65,32,0,12,0,12,13,21,88,74,51,47,35,34,1,2,0,12,1,4
2.4,Roxhill/Westwood,2030,521,1255,343,540,221,514,198,47,59,0,21,154,119,775,311,335,229,359,130,27,36,9,23,45,45
2.5,Highland Park,675,264,365,153,193,127,109,115,21,35,0,21,42,49,310,141,96,93,184,120,0,21,11,22,19,33
3.1,South Park,1219,417,679,347,351,173,299,207,10,18,0,17,19,30,540,167,266,130,200,96,26,48,29,39,19,26
3.2,Georgetown,172,133,93,76,18,20,53,52,0,12,0,12,22,28,79,67,39,42,30,44,10,19,0,12,0,12
3.3,Duwamish/SODO,207,153,149,113,78,89,31,25,12,30,21,33,7,16,58,58,46,55,6,10,0,12,6,10,0,12
3.4,South Beacon Hill/NewHolly,244,119,117,65,74,49,27,33,0,24,0,24,16,33,127,81,62,58,58,43,7,21,0,24,0,24
3.5,Beacon Hill,278,237,176,157,133,114,29,52,7,27,7,17,0,17,102,106,42,57,51,60,0,17,9,34,0,17
3.6,North Beacon Hill/Jefferson Park,1034,412,589,312,448,289,117,80,10,28,0,24,14,30,445,195,112,91,145,94,0,24,11,30,177,135
