area_id,area_name,c27007001,c27007001_moe,c27007002,c27007002_moe,c27007003,c27007003_moe,c27007004,c27007004_moe,c27007005,c27007005_moe,c27007006,c27007006_moe,c27007007,c27007007_moe,c27007008,c27007008_moe,c27007009,c27007009_moe,c27007010,c27007010_moe,c27007011,c27007011_moe,c27007012,c27007012_moe,c27007013,c27007013_moe,c27007014,c27007014_moe,c27007015,c27007015_moe,c27007016,c27007016_moe,c27007017,c27007017_moe,c27007018,c27007018_moe,c27007019,c27007019_moe,c27007020,c27007020_moe,c27007021,c27007021_moe
1.1,Arbor Heights,6251,299,3071,189,645,129,87,56,558,125,2060,132,53,34,2007,132,366,67,0,17,366,67,3180,221,669,128,66,55,603,113,2052,150,66,40,1986,154,459,77,19,25,440,76
1.2,Fauntleroy/Seaview,13653,592,6300,420,1193,192,91,93,1102,167,4471,358,75,54,4396,351,636,125,63,49,573,127,7353,381,1322,211,118,80,1204,207,4975,258,97,82,4878,268,1056,113,101,55,955,120
1.3,West Seattle Junction/Genesee Hill,17521,592,8151,473,1563,256,36,34,1527,258,5685,375,277,143,5408,363,903,157,42,39,861,157,9370,472,1905,265,128,75,1777,264,6312,355,267,151,6045,336,1153,176,108,61,1045,171
1.4,Alki/Admiral,11124,577,5012,353,772,164,31,37,741,160,3496,270,41,37,3455,265,744,168,50,43,694,166,6112,494,979,268,23,41,956,264,4032,339,136,76,3896,339,1101,161,142,76,959,165
2.1,North Delridge,4749,359,2318,254,367,136,0,12,367,136,1822,188,87,64,1735,189,129,61,0,12,129,61,2431,230,308,132,14,23,294,130,1913,194,113,86,1800,214,210,70,42,50,168,63
2.2,High Point,6452,416,3118,309,987,230,596,203,391,132,2002,254,265,89,1737,255,129,70,49,45,80,52,3334,340,687,173,441,136,246,121,2314,286,815,251,1499,204,333,126,216,116,117,71
2.3,Riverview,4685,295,2538,223,617,145,219,175,398,114,1755,219,76,50,1679,228,166,47,22,26,144,44,2147,191,423,119,102,81,321,108,1538,133,103,66,1435,122,186,47,8,12,178,49
2.4,Roxhill/Westwood,12524,701,6020,495,1218,295,514,226,704,166,4278,383,227,121,4051,376,524,118,100,69,424,118,6504,510,1305,296,423,253,882,193,4541,401,351,125,4190,405,658,114,62,46,596,110
2.5,Highland Park,5814,462,3105,315,633,171,212,117,421,153,2105,236,177,86,1928,223,367,107,59,48,308,102,2709,283,440,170,151,100,289,129,1818,198,199,103,1619,183,451,126,144,71,307,103
3.1,South Park,4310,608,2208,488,574,182,344,138,230,119,1495,379,150,97,1345,351,139,72,56,54,83,42,2102,348,747,260,524,257,223,95,1268,197,233,102,1035,206,87,37,65,37,22,29
3.2,Georgetown,1184,151,631,98,30,21,11,18,19,12,569,99,32,29,537,98,32,20,7,11,25,19,553,106,103,38,10,18,93,37,396,88,75,46,321,84,54,44,0,12,54,44
3.3,Duwamish/SODO,2332,380,1347,352,68,48,15,26,53,50,1105,282,185,75,920,255,174,108,50,62,124,61,985,163,119,61,88,79,31,37,734,147,156,131,578,101,132,47,41,35,91,38
3.4,South Beacon Hill/NewHolly,15604,1277,7367,703,2147,447,1194,351,953,272,4533,435,534,185,3999,447,687,123,237,101,450,107,8237,824,2566,624,1523,593,1043,280,4712,421,901,218,3811,414,959,158,269,104,690,120
3.5,Beacon Hill,9332,700,4656,499,821,224,365,140,456,191,3328,422,257,125,3071,438,507,123,126,65,381,117,4676,426,813,204,213,118,600,183,2979,292,365,148,2614,311,884,155,230,94,654,165
3.6,North Beacon Hill/Jefferson Park,14180,731,7455,613,1477,294,554,214,923,309,5261,493,371,159,4890,465,717,154,343,126,374,123,6725,418,1313,228,607,204,706,238,4298,328,451,178,3847,352,1114,177,520,167,594,148
4.1,Rainier Beach,15144,983,7512,721,2159,457,1036,345,1123,382,4616,473,468,201,4148,416,737,154,317,124,420,125,7632,559,1655,334,768,280,887,293,4966,383,717,233,4249,372,1011,161,411,128,600,141
4.2,Columbia City,16249,808,7708,597,1687,315,906,262,781,160,5281,458,440,148,4841,465,740,162,245,105,495,138,8541,537,1623,309,723,266,900,204,5880,437,843,253,5037,455,1038,156,312,115,726,137
4.3,Seward Park,8589,543,4168,468,871,226,261,191,610,131,2772,328,178,72,2594,328,525,84,77,52,448,84,4421,284,887,161,179,96,708,154,2873,197,273,104,2600,196,661,169,202,151,459,96
4.4,Mt. Baker/North Rainier,5483,466,2653,251,666,155,72,58,594,176,1689,231,192,109,1497,238,298,112,66,51,232,101,2830,319,526,132,100,66,426,139,2005,230,191,107,1814,246,299,102,127,63,172,75
5.1,Madrona/Leschi,9977,562,4775,398,898,205,160,148,738,192,3265,324,147,116,3118,320,612,114,54,45,558,109,5202,444,1002,220,100,114,902,205,3595,365,156,136,3439,320,605,129,95,69,510,126
5.2,Judkins Park,2735,272,1394,249,121,72,37,37,84,65,1017,220,80,70,937,223,256,90,176,83,80,40,1341,179,169,101,0,12,169,101,805,121,117,66,688,98,367,82,249,83,118,55
5.3,Central Area/Squire Park,16546,780,7799,568,1048,258,363,220,685,155,6253,507,271,123,5982,503,498,149,175,104,323,112,8747,572,1269,209,410,174,859,192,6507,447,570,210,5937,383,971,180,179,83,792,174
6.1,First Hill,12940,727,6449,530,239,114,157,97,82,64,5535,496,565,185,4970,484,675,129,125,71,550,103,6491,492,249,87,180,72,69,75,5102,458,586,200,4516,421,1140,163,249,106,891,138
6.2,Capitol Hill,20179,773,10563,642,452,163,201,115,251,120,9615,610,315,122,9300,617,496,147,56,52,440,154,9616,623,359,201,201,178,158,99,8502,577,564,215,7938,573,755,198,130,91,625,186
6.3,North Capitol Hill,3918,239,2169,187,171,58,0,12,171,58,1716,193,0,12,1716,193,282,94,12,20,270,93,1749,190,165,78,17,26,148,76,1415,150,37,51,1378,143,169,56,12,20,157,55
6.4,Miller Park,7268,370,3877,315,742,119,172,79,570,116,2845,265,144,90,2701,240,290,97,93,86,197,54,3391,271,625,144,174,108,451,123,2473,242,138,105,2335,216,293,60,45,31,248,59
6.5,Madison Park,5099,381,2156,284,387,122,0,17,387,122,1336,256,9,15,1327,256,433,100,29,33,404,98,2943,293,505,135,14,23,491,129,1781,204,84,66,1697,198,657,131,16,25,641,132
7.1,Montlake/Portage Bay,9397,467,4264,350,511,105,12,23,499,107,3236,324,53,41,3183,325,517,91,27,30,490,88,5133,361,629,114,20,35,609,113,3906,345,61,45,3845,346,598,81,2,18,596,81
7.2,University District,19393,1384,9758,967,478,111,40,57,438,98,8997,968,101,75,8896,970,283,87,92,83,191,76,9635,886,131,90,14,33,117,87,9134,853,227,105,8907,842,370,254,106,106,264,233
7.3,Ravenna/Bryant,24600,831,12052,667,1955,212,168,101,1787,202,9135,615,189,101,8946,595,962,139,126,80,836,123,12548,565,2048,221,148,84,1900,211,9137,497,359,245,8778,464,1363,149,88,56,1275,141
7.4,Wedgwood/View Ridge,14935,464,7329,359,1427,191,29,34,1398,185,5045,282,128,79,4917,276,857,99,73,55,784,110,7606,355,1639,178,140,64,1499,176,4773,275,93,53,4680,276,1194,114,109,64,1085,117
7.5,Laurelhurst/Sand Point,10791,534,5014,368,1237,205,125,108,1112,178,3216,260,162,102,3054,246,561,89,90,48,471,90,5777,388,1388,217,107,79,1281,203,3684,292,133,86,3551,282,705,95,105,54,600,98
8.1,Northgate/Maple Leaf,13239,595,6809,515,1080,216,340,178,740,176,5074,425,299,168,4775,415,655,146,98,68,557,144,6430,382,809,191,181,107,628,147,4476,274,392,174,4084,279,1145,200,254,102,891,184
8.2,Olympic Hills/Victory Heights,14590,681,7181,468,1074,176,156,94,918,188,5321,431,304,139,5017,426,786,156,144,90,642,143,7409,519,1172,216,279,138,893,207,5160,380,483,192,4677,372,1077,144,143,75,934,159
8.3,Cedar Park/Meadowbrook,12033,596,5914,436,967,192,301,154,666,165,4431,352,294,114,4137,376,516,104,30,33,486,103,6119,412,1062,194,276,106,786,153,4308,320,289,116,4019,313,749,118,83,46,666,107
9.1,Broadview/Bitter Lake,13305,764,6134,499,1122,218,357,182,765,181,4119,434,265,136,3854,405,893,161,127,72,766,147,7171,451,854,208,153,127,701,195,4538,413,512,223,4026,345,1779,229,310,148,1469,198
9.2,Licton Springs,8916,503,4334,363,658,221,92,65,566,213,3381,303,90,67,3291,302,295,100,81,67,214,87,4582,374,429,178,172,134,257,128,3753,328,185,101,3568,329,400,93,163,69,237,81
