area_id,area_name,b19037i001,b19037i001_moe,b19037i002,b19037i002_moe,b19037i003,b19037i003_moe,b19037i004,b19037i004_moe,b19037i005,b19037i005_moe,b19037i006,b19037i006_moe,b19037i007,b19037i007_moe,b19037i008,b19037i008_moe,b19037i009,b19037i009_moe,b19037i010,b19037i010_moe,b19037i011,b19037i011_moe,b19037i012,b19037i012_moe,b19037i013,b19037i013_moe,b19037i014,b19037i014_moe,b19037i015,b19037i015_moe,b19037i016,b19037i016_moe,b19037i017,b19037i017_moe,b19037i018,b19037i018_moe,b19037i019,b19037i019_moe,b19037i020,b19037i020_moe,b19037i021,b19037i021_moe,b19037i022,b19037i022_moe,b19037i023,b19037i023_moe,b19037i024,b19037i024_moe,b19037i025,b19037i025_moe,b19037i026,b19037i026_moe,b19037i027,b19037i027_moe,b19037i028,b19037i028_moe,b19037i029,b19037i029_moe,b19037i030,b19037i030_moe,b19037i031,b19037i031_moe,b19037i032,b19037i032_moe,b19037i033,b19037i033_moe,b19037i034,b19037i034_moe,b19037i035,b19037i035_moe,b19037i036,b19037i036_moe,b19037i037,b19037i037_moe,b19037i038,b19037i038_moe,b19037i039,b19037i039_moe,b19037i040,b19037i040_moe,b19037i041,b19037i041_moe,b19037i042,b19037i042_moe,b19037i043,b19037i043_moe,b19037i044,b19037i044_moe,b19037i045,b19037i045_moe,b19037i046,b19037i046_moe,b19037i047,b19037i047_moe,b19037i048,b19037i048_moe,b19037i049,b19037i049_moe,b19037i050,b19037i050_moe,b19037i051,b19037i051_moe,b19037i052,b19037i052_moe,b19037i053,b19037i053_moe,b19037i054,b19037i054_moe,b19037i055,b19037i055_moe,b19037i056,b19037i056_moe,b19037i057,b19037i057_moe,b19037i058,b19037i058_moe,b19037i059,b19037i059_moe,b19037i060,b19037i060_moe,b19037i061,b19037i061_moe,b19037i062,b19037i062_moe,b19037i063,b19037i063_moe,b19037i064,b19037i064_moe,b19037i065,b19037i065_moe,b19037i066,b19037i066_moe,b19037i067,b19037i067_moe,b19037i068,b19037i068_moe,b19037i069,b19037i069_moe
1.1,Arbor Heights,131,79,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,51,51,0,17,0,17,0,17,28,47,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,15,24,8,19,0,17,0,17,80,60,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,24,42,0,17,22,37,0,17,10,20,11,20,13,23,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,206,89,34,43,0,24,0,24,0,24,0,24,0,24,0,24,0,24,15,30,0,24,19,35,0,24,0,24,0,24,0,24,0,24,0,24,93,60,38,38,0,24,0,24,14,29,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,19,34,22,35,61,58,0,24,0,24,16,31,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,15,29,0,24,0,24,30,50,0,24,18,34,18,34,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,253,115,13,33,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,13,33,0,29,0,29,0,29,0,29,0,29,0,29,0,29,83,65,0,29,0,29,0,29,0,29,17,36,0,29,0,29,0,29,17,37,0,29,0,29,13,34,11,31,0,29,0,29,25,47,126,90,0,29,0,29,0,29,0,29,0,29,16,35,0,29,0,29,0,29,12,31,0,29,0,29,0,29,61,71,11,29,26,48,31,38,31,38,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
1.4,Alki/Admiral,200,123,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,37,41,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,13,26,0,24,24,40,0,24,0,24,0,24,139,111,0,24,0,24,0,24,0,24,20,36,0,24,20,36,0,24,0,24,54,86,0,24,0,24,0,24,19,35,0,24,26,43,24,40,0,24,0,24,0,24,0,24,0,24,0,24,24,40,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,237,87,16,26,16,26,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,109,73,0,12,0,12,0,12,0,12,0,12,24,39,0,12,0,12,0,12,18,29,27,31,14,23,26,32,0,12,0,12,0,12,73,84,0,12,0,12,0,12,54,81,0,12,0,12,0,12,0,12,0,12,19,30,0,12,0,12,0,12,0,12,0,12,0,12,39,45,19,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,20,36,0,12,0,12,0,12,0,12
2.2,High Point,66,45,5,16,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,5,16,0,17,0,17,0,17,0,17,0,17,40,38,0,17,0,17,0,17,10,22,16,28,0,17,0,17,0,17,0,17,14,27,0,17,0,17,0,17,0,17,0,17,0,17,21,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,7,17,0,17,4,16,0,17,0,17,10,20,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
2.3,Riverview,55,35,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,17,20,0,12,0,12,0,12,0,12,9,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,13,0,12,0,12,0,12,38,27,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,18,0,12,0,12,0,12,18,25,0,12,0,12,0,12,8,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,928,194,49,62,0,21,13,25,0,21,36,60,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,599,170,0,21,68,65,32,49,12,28,58,72,22,38,0,21,0,21,42,50,28,39,175,116,110,109,45,51,0,21,7,21,0,21,245,113,0,21,0,21,18,34,37,59,47,59,3,19,2,18,49,51,0,21,0,21,42,43,38,41,0,21,0,21,0,21,9,23,35,35,0,21,9,23,0,21,0,21,0,21,0,21,0,21,0,21,0,21,12,26,0,21,14,27,0,21,0,21,0,21,0,21
2.5,Highland Park,325,148,50,79,0,21,0,21,0,21,50,79,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,140,113,17,30,0,21,0,21,0,21,0,21,0,21,20,32,0,21,23,38,0,21,64,102,16,28,0,21,0,21,0,21,0,21,124,74,25,41,0,21,19,33,0,21,21,35,0,21,0,21,0,21,17,30,0,21,0,21,7,17,2,23,11,25,22,38,0,21,11,22,0,21,11,22,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
3.1,South Park,394,81,44,48,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,44,48,0,17,0,17,0,17,0,17,0,17,262,88,24,41,28,40,0,17,26,48,45,49,14,22,0,17,19,32,0,17,23,39,24,30,0,17,0,17,0,17,31,47,28,46,40,33,9,19,0,17,0,17,0,17,0,17,0,17,0,17,15,27,10,21,0,17,0,17,0,17,6,16,0,17,0,17,0,17,48,44,0,17,29,39,0,17,0,17,19,30,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
