area_id,area_name,b19013b001,b19013b001_moe
1.1,Arbor Heights,21786,144230
1.2,Fauntleroy/Seaview,9851,47025
1.3,West Seattle Junction/Genesee Hill,19074,45122
1.4,Alki/Admiral,140837,88595
2.1,North Delridge,76750,35533
2.2,High Point,35950,15880
2.3,Riverview,41875,77011
2.4,Roxhill/Westwood,121584,55994
2.5,Highland Park,68688,39510
3.1,South Park,45885,24196
3.2,Georgetown,40000,2008
3.3,Duwamish/SODO,41133,1301
3.4,South Beacon Hill/NewHolly,74295,27999
3.5,Beacon Hill,140192,153808
3.6,North Beacon Hill/Jefferson Park,95158,26039
4.1,Rainier Beach,152979,63153
4.2,Columbia City,92071,24783
4.3,Seward Park,89552,23530
4.4,Mt. Baker/North Rainier,45671,15883
5.1,Madrona/Leschi,95138,24673
5.2,Judkins Park,31250,10387
5.3,Central Area/Squire Park,134841,37169
6.1,First Hill,102509,37385
6.2,Capitol Hill,98112,56466
6.4,Miller Park,145804,119101
6.5,Madison Park,58750,102895
7.1,Montlake/Portage Bay,80192,99484
7.2,University District,56507,92952
7.3,Ravenna/Bryant,179390,222456
7.4,Wedgwood/View Ridge,262357,35304
8.1,Northgate/Maple Leaf,111665,74043
8.2,Olympic Hills/Victory Heights,137966,129752
8.3,Cedar Park/Meadowbrook,47767,27348
9.1,Broadview/Bitter Lake,45176,11146
9.2,Licton Springs,30331,9260
9.3,Greenwood/Phinney Ridge,169521,129818
9.4,Green Lake,161081,131259
9.5,Haller Lake,65027,56742
10.3,Sunset Hill/Loyal Heights,10221,2324
10.4,Ballard,48594,40259
11.2,Wallingford,37700,95178
11.3,Cascade/Eastlake,153382,48642
12.2,Interbay,152642,60636
12.3,Queen Anne,126966,192881
13.1,Belltown,28221,29163
13.2,Downtown Commercial Core,9699,14204
13.3,Pioneer Square/International District,32003,38908
