area_id,area_name,b12002d001,b12002d001_moe,b12002d002,b12002d002_moe,b12002d003,b12002d003_moe,b12002d004,b12002d004_moe,b12002d005,b12002d005_moe,b12002d006,b12002d006_moe,b12002d007,b12002d007_moe,b12002d008,b12002d008_moe,b12002d009,b12002d009_moe,b12002d010,b12002d010_moe,b12002d011,b12002d011_moe,b12002d012,b12002d012_moe,b12002d013,b12002d013_moe
1.1,Arbor Heights,355,126,102,57,0,17,51,35,0,17,13,23,38,42,253,105,83,72,68,45,0,17,79,65,23,32
1.2,Fauntleroy/Seaview,503,141,133,62,66,55,67,45,0,24,0,24,0,24,370,108,225,101,132,65,4,20,0,24,9,23
1.3,West Seattle Junction/Genesee Hill,719,194,279,115,132,81,110,59,11,31,12,23,14,31,440,139,171,90,213,86,0,29,51,51,5,26
1.4,Alki/Admiral,462,154,148,99,87,88,44,42,0,24,0,24,17,31,314,105,89,54,154,83,0,24,37,39,34,41
2.1,North Delridge,428,206,162,98,32,40,81,63,35,57,0,12,14,23,266,138,98,73,87,59,16,27,51,54,14,23
2.2,High Point,1130,253,449,139,154,97,218,84,0,17,15,30,62,76,681,200,264,171,224,100,17,30,117,90,59,51
2.3,Riverview,830,177,421,115,171,82,207,57,0,12,15,23,28,31,409,93,99,52,200,62,0,12,30,28,80,54
2.4,Roxhill/Westwood,1266,300,522,161,177,93,319,120,0,21,16,31,10,25,744,169,197,107,490,137,30,43,10,18,17,28
2.5,Highland Park,959,242,492,144,270,93,205,92,0,21,0,21,17,30,467,136,151,91,256,97,23,32,15,27,22,36
3.1,South Park,597,173,258,119,38,33,178,79,9,20,26,44,7,16,339,97,111,59,143,66,23,35,62,53,0,17
3.2,Georgetown,108,80,39,26,0,12,39,26,0,12,0,12,0,12,69,56,28,35,41,26,0,12,0,12,0,12
3.3,Duwamish/SODO,480,123,211,66,94,48,95,45,0,12,5,8,17,20,269,83,93,51,114,47,0,12,40,37,22,34
3.4,South Beacon Hill/NewHolly,6174,781,3074,432,1099,255,1646,244,0,24,82,51,247,118,3100,433,840,323,1601,222,45,53,365,107,249,108
3.5,Beacon Hill,5133,672,2574,417,1097,314,1308,188,20,34,71,48,78,70,2559,357,760,271,1332,186,20,28,341,151,106,67
3.6,North Beacon Hill/Jefferson Park,4976,482,2452,329,994,244,1113,192,77,91,107,84,161,100,2524,254,669,189,1229,211,15,32,493,148,118,66
4.1,Rainier Beach,3621,567,1728,315,501,196,889,171,64,80,96,87,178,85,1893,325,487,152,1004,169,0,27,252,114,150,105
4.2,Columbia City,3914,497,1855,304,682,213,943,179,14,30,4,22,212,113,2059,324,708,268,1002,195,68,70,231,85,50,39
