area_id,area_name,b08135001,b08135001_moe,b08135002,b08135002_moe,b08135003,b08135003_moe,b08135004,b08135004_moe,b08135005,b08135005_moe,b08135006,b08135006_moe,b08135007,b08135007_moe,b08135008,b08135008_moe,b08135009,b08135009_moe,b08135010,b08135010_moe
1.1,Arbor Heights,91930,8508,1395,539,3260,1065,9070,2197,11440,2698,4525,1793,16840,3706,8375,3332,16535,5405,20490,8189
1.2,Fauntleroy/Seaview,216800,20856,2565,819,6500,2457,13365,3171,24840,4852,18150,4951,40725,8802,25485,7853,34060,10840,51115,15489
1.3,West Seattle Junction/Genesee Hill,244780,17689,5855,1325,8265,2223,17340,3666,31980,5037,20445,5260,53610,8499,30405,7229,45520,9801,31360,11339
1.4,Alki/Admiral,164830,15103,2385,804,3190,1900,10340,3176,19175,4374,10300,3125,29880,6802,23645,6913,30215,9105,35700,12214
2.1,North Delridge,79320,14139,1210,634,3955,1505,6740,2427,7960,3383,5225,2454,14550,4961,7830,3639,6520,5359,25330,13519
2.2,High Point,73175,13059,1035,619,3920,2090,5335,2050,6005,2306,3850,1959,18360,5677,7355,3705,13375,6103,13945,9428
2.3,Riverview,70920,7739,775,671,3420,989,6075,2088,7940,2289,3925,2113,12570,3165,12390,4152,10870,3847,12960,5827
2.4,Roxhill/Westwood,185635,16148,1560,547,6835,1870,16520,3657,24795,5392,15885,4617,29520,6471,18225,5384,32025,9708,40270,11953
2.5,Highland Park,71130,13171,1525,779,4185,1178,8395,2741,6750,2841,5225,2476,11010,4442,9930,4812,10045,4517,14065,10508
3.1,South Park,58585,15251,585,349,2965,1359,3750,1571,5420,2843,4575,2326,11070,5127,4245,2977,7695,4380,18280,8275
3.2,Georgetown,21475,5287,355,254,850,652,1185,899,2180,945,2625,1783,2760,1241,1940,1863,2070,1869,7510,4290
3.3,Duwamish/SODO,27570,5272,495,368,2360,911,3530,1593,5545,3203,600,948,5670,2703,5495,3560,1265,1315,2610,2959
3.4,South Beacon Hill/NewHolly,127255,17166,1465,793,4285,1687,11155,3001,15835,3880,4125,1712,30595,6511,13215,4885,16850,6549,29730,11715
3.5,Beacon Hill,61385,13227,665,751,2820,1030,6185,3039,4560,1793,5105,2388,13260,5235,7630,3494,7705,7468,13460,9021
3.6,North Beacon Hill/Jefferson Park,137585,17574,1990,763,6135,1644,14945,3909,22045,5385,14225,5605,28770,6238,11200,4565,23690,10547,14580,9655
4.1,Rainier Beach,202595,19675,1250,1027,6070,1981,14460,4257,14700,4648,18575,6343,32370,6981,15965,5225,47460,14064,51745,15360
4.2,Columbia City,221635,23406,2105,863,6295,1776,19060,4458,27615,5259,14400,4306,42390,8098,27825,8795,28395,11748,53560,17006
4.3,Seward Park,107400,10321,820,364,3775,1349,8605,2739,17850,3372,7850,2302,19295,4650,21780,5963,15720,5515,11705,5540
4.4,Mt. Baker/North Rainier,71190,14586,295,218,3580,1185,8165,2474,8860,3011,6225,2395,8945,3635,9205,4619,3735,2839,22185,13937
5.3,Central Area/Squire Park,230475,17598,3720,952,13335,2499,25330,4493,35125,5408,19125,5147,56790,9975,22315,6245,20140,7193,34595,10384
6.1,First Hill,74150,8420,2660,968,4820,1645,10995,2819,14240,4147,6500,3085,9000,3198,4755,2787,6310,3921,14870,6638
6.2,Capitol Hill,346315,23544,7260,1855,17295,3598,44600,6414,61035,9283,27975,7225,60450,10851,26420,7538,39835,11232,61445,18462
6.4,Miller Park,37005,6251,800,388,3455,925,4815,1562,6100,2100,1500,1023,6150,2564,3865,1981,3905,2129,6420,5293
6.5,Madison Park,53760,8968,845,519,2510,975,9140,3420,9320,3619,5890,3124,10050,3527,4345,2435,3645,3804,8015,6688
7.1,Montlake/Portage Bay,136995,15522,2140,683,8560,2110,19620,3786,22320,4295,11475,4432,27000,6167,7580,3025,10670,4963,27635,12537
7.2,University District,152835,21186,3980,1155,12905,3145,17420,3702,19595,5461,6425,2974,43380,11763,11870,5744,16345,7296,20910,9516
7.3,Ravenna/Bryant,278845,19640,6330,1496,14935,2868,26495,4417,41105,6509,21790,5055,55380,8760,27265,6572,44500,9729,41050,11065
7.4,Wedgwood/View Ridge,77390,9992,1470,498,3715,1020,6945,2300,8245,2378,6075,2266,12000,3249,14895,5490,9705,3363,14340,7673
7.5,Laurelhurst/Sand Point,115995,10198,2615,823,7620,1916,12485,2740,18225,4057,10000,3178,21480,4783,16030,5061,8545,3230,18990,7736
8.1,Northgate/Maple Leaf,177290,16984,3540,1401,6950,1923,19755,3841,25875,4833,19870,4974,40175,8233,17220,5714,14025,5336,29890,13232
8.2,Olympic Hills/Victory Heights,229815,27598,2785,1021,5670,1585,15065,3212,30200,5189,16885,3807,55410,8751,25680,6566,32655,8613,45470,23559
8.3,Cedar Park/Meadowbrook,140585,17537,3100,1620,6195,1881,10335,2297,17270,4165,5320,2590,25350,5838,16080,5195,25865,8278,31060,14341
9.1,Broadview/Bitter Lake,152585,16550,2195,809,7075,1856,9760,2656,19755,4298,11415,3332,30990,6836,21890,6560,20505,6745,29000,11460
9.2,Licton Springs,148635,17177,1205,494,7480,2649,13470,3444,19640,4076,10660,3557,33660,8411,19420,6157,10195,5993,32910,14846
9.3,Greenwood/Phinney Ridge,340385,18452,4495,1088,18915,3206,28435,4273,45155,5752,29125,5832,66510,8897,52465,9874,48710,9621,46585,13082
9.4,Green Lake,199295,16350,3405,1122,10860,2152,15940,3641,31730,5326,16075,4446,47935,8921,28535,7112,20105,6646,24710,10268
9.5,Haller Lake,142075,16449,2070,862,3815,1447,14765,3635,18700,4992,9635,2796,29130,6982,17505,5444,14625,5832,31835,13773
10.1,North Beach/Blue Ridge,150920,12419,2895,855,6010,1513,13350,3203,21405,4135,9600,3174,32415,5801,25125,5452,24900,5725,15215,7106
10.2,Whittier Heights,193085,16283,2180,906,7915,1943,13370,2858,21780,4465,13285,4925,44190,8932,27845,7263,34490,8525,28025,10735
10.3,Sunset Hill/Loyal Heights,212360,17718,2725,824,9075,2170,12170,3853,28295,5824,13285,3747,43920,9872,36515,7723,34820,7623,31560,10288
10.4,Ballard,113130,16355,1925,1021,8060,3070,6770,2716,12020,4543,7900,3255,29700,9870,16625,4816,16455,9895,13675,9304
11.1,Fremont,252140,18059,4830,1147,14755,2842,26390,4067,32295,5577,20575,4950,54635,7889,41065,8990,24160,7487,33445,10824
11.2,Wallingford,210630,19712,4510,1220,11905,2481,34115,6026,37310,6090,20175,4867,48960,9660,22545,7062,17095,5951,14010,6364
11.3,Cascade/Eastlake,134065,17346,4080,1121,9780,2488,15375,4569,16715,5010,8910,4401,19410,6702,20030,8905,25470,10322,14300,8606
