area_id,area_name,c15002a001,c15002a001_moe,c15002a002,c15002a002_moe,c15002a003,c15002a003_moe,c15002a004,c15002a004_moe,c15002a005,c15002a005_moe,c15002a006,c15002a006_moe,c15002a007,c15002a007_moe,c15002a008,c15002a008_moe,c15002a009,c15002a009_moe,c15002a010,c15002a010_moe,c15002a011,c15002a011_moe
1.1,Arbor Heights,4032,229,1961,146,39,38,436,110,551,111,935,142,2071,163,44,33,349,103,706,140,972,133
1.2,Fauntleroy/Seaview,9996,494,4723,359,154,115,644,191,1339,228,2586,322,5273,282,128,98,711,169,1469,229,2965,287
1.3,West Seattle Junction/Genesee Hill,12327,532,5783,395,283,133,748,182,1369,231,3383,381,6544,394,178,91,951,215,1741,298,3674,347
1.4,Alki/Admiral,8089,378,3792,255,54,43,360,150,1228,228,2150,261,4297,292,73,49,539,150,1183,257,2502,250
2.1,North Delridge,2890,323,1479,217,48,42,256,151,339,121,836,167,1411,229,78,67,56,67,359,146,918,221
2.2,High Point,2042,274,1022,185,96,84,231,128,349,110,346,119,1020,167,58,58,231,89,174,78,557,143
2.3,Riverview,2148,239,1170,232,112,64,326,160,436,150,296,82,978,116,72,55,159,67,318,87,429,111
2.4,Roxhill/Westwood,6384,474,3074,279,368,147,555,174,927,194,1224,165,3310,315,382,198,552,151,1088,234,1288,199
2.5,Highland Park,2934,328,1593,256,171,99,218,97,654,182,550,144,1341,173,115,68,290,121,466,148,470,106
3.1,South Park,1830,427,1133,377,395,277,174,126,363,118,201,90,697,120,136,78,103,69,302,108,156,75
3.2,Georgetown,725,179,451,89,53,50,109,76,214,78,75,44,274,107,33,42,0,12,124,65,117,65
3.3,Duwamish/SODO,1125,235,720,195,85,74,73,66,239,112,323,144,405,158,31,45,66,64,84,49,224,101
3.4,South Beacon Hill/NewHolly,1528,261,724,160,77,48,212,110,158,68,277,95,804,179,92,67,193,88,229,98,290,103
3.5,Beacon Hill,1637,307,879,208,36,68,62,48,213,89,568,168,758,169,6,16,165,95,176,77,411,133
