area_id,area_name,c21001c001,c21001c001_moe,c21001c002,c21001c002_moe,c21001c003,c21001c003_moe,c21001c004,c21001c004_moe,c21001c005,c21001c005_moe,c21001c006,c21001c006_moe,c21001c007,c21001c007_moe,c21001c008,c21001c008_moe,c21001c009,c21001c009_moe,c21001c010,c21001c010_moe,c21001c011,c21001c011_moe,c21001c012,c21001c012_moe,c21001c013,c21001c013_moe,c21001c014,c21001c014_moe,c21001c015,c21001c015_moe
1.1,Arbor Heights,33,39,33,39,14,22,0,17,14,22,19,31,19,31,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,50,40,26,29,26,29,2,18,24,28,0,24,0,24,0,24,24,28,24,28,0,24,24,28,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,137,105,55,76,50,79,0,29,50,79,5,22,0,29,5,22,82,72,82,72,0,29,82,72,0,29,0,29,0,29
1.4,Alki/Admiral,39,47,21,35,21,35,0,24,21,35,0,24,0,24,0,24,18,34,18,34,0,24,18,34,0,24,0,24,0,24
2.1,North Delridge,42,49,18,29,18,29,0,12,18,29,0,12,0,12,0,12,24,39,24,39,0,12,24,39,0,12,0,12,0,12
2.2,High Point,8,20,0,17,0,17,0,17,0,17,0,17,0,17,0,17,8,20,8,20,0,17,8,20,0,17,0,17,0,17
2.3,Riverview,21,34,21,34,21,34,0,12,21,34,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,79,97,40,65,40,65,0,21,40,65,0,21,0,21,0,21,39,44,39,44,0,21,39,44,0,21,0,21,0,21
2.5,Highland Park,37,47,9,18,9,18,0,21,9,18,0,21,0,21,0,21,28,45,28,45,0,21,28,45,0,21,0,21,0,21
3.1,South Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
3.2,Georgetown,25,26,18,24,18,24,0,12,18,24,0,12,0,12,0,12,7,12,7,12,0,12,7,12,0,12,0,12,0,12
3.3,Duwamish/SODO,33,47,7,17,7,17,0,12,7,17,0,12,0,12,0,12,26,44,12,22,0,12,12,22,14,22,0,12,14,22
3.4,South Beacon Hill/NewHolly,133,98,44,43,44,43,0,24,44,43,0,24,0,24,0,24,89,65,67,59,0,24,67,59,22,29,0,24,22,29
3.5,Beacon Hill,36,39,35,39,35,39,0,17,35,39,0,17,0,17,0,17,1,12,1,12,0,17,1,12,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,60,73,13,25,13,25,0,24,13,25,0,24,0,24,0,24,47,66,47,66,0,24,47,66,0,24,0,24,0,24
4.1,Rainier Beach,31,42,14,33,14,33,0,27,14,33,0,27,0,27,0,27,17,34,0,27,0,27,0,27,17,34,0,27,17,34
4.2,Columbia City,36,37,11,28,11,28,0,27,11,28,0,27,0,27,0,27,25,36,25,36,0,27,25,36,0,27,0,27,0,27
4.3,Seward Park,26,29,15,23,12,22,0,17,12,22,3,13,0,17,3,13,11,22,11,22,0,17,11,22,0,17,0,17,0,17
4.4,Mt. Baker/North Rainier,139,127,94,113,94,113,0,17,94,113,0,17,0,17,0,17,45,52,45,52,0,17,45,52,0,17,0,17,0,17
5.1,Madrona/Leschi,45,42,32,40,32,40,0,21,32,40,0,21,0,21,0,21,13,24,13,24,0,21,13,24,0,21,0,21,0,21
5.2,Judkins Park,10,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,15,10,15,0,12,10,15,0,12,0,12,0,12
5.3,Central Area/Squire Park,73,57,27,34,27,34,1,21,26,34,0,24,0,24,0,24,46,49,46,49,0,24,46,49,0,24,0,24,0,24
6.1,First Hill,270,140,185,104,185,104,17,33,168,101,0,24,0,24,0,24,85,59,85,59,1,21,84,59,0,24,0,24,0,24
6.2,Capitol Hill,303,128,154,87,123,85,28,38,95,81,31,35,0,29,31,35,149,102,149,102,0,29,149,102,0,29,0,29,0,29
6.3,North Capitol Hill,89,130,47,68,47,68,0,12,47,68,0,12,0,12,0,12,42,62,42,62,0,12,42,62,0,12,0,12,0,12
6.4,Miller Park,36,28,18,25,18,25,0,17,18,25,0,17,0,17,0,17,18,22,18,22,0,17,18,22,0,17,0,17,0,17
6.5,Madison Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,27,36,15,28,15,28,15,28,0,21,0,21,0,21,0,21,12,24,12,24,0,21,12,24,0,21,0,21,0,21
7.2,University District,159,117,86,85,86,85,22,42,64,78,0,29,0,29,0,29,73,71,54,58,0,29,54,58,19,49,0,29,19,49
7.3,Ravenna/Bryant,64,59,41,50,41,50,0,32,41,50,0,32,0,32,0,32,23,38,23,38,0,32,23,38,0,32,0,32,0,32
7.4,Wedgwood/View Ridge,23,35,12,31,12,31,12,31,0,27,0,27,0,27,0,27,11,29,11,29,0,27,11,29,0,27,0,27,0,27
7.5,Laurelhurst/Sand Point,30,31,23,23,23,23,0,21,23,23,0,21,0,21,0,21,7,21,7,21,0,21,7,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,121,92,29,40,29,40,0,24,29,40,0,24,0,24,0,24,92,67,77,67,0,24,77,67,15,29,0,24,15,29
8.2,Olympic Hills/Victory Heights,10,24,10,24,10,24,0,24,10,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,134,112,64,61,64,61,6,26,58,61,0,27,0,27,0,27,70,57,59,57,0,27,59,57,11,27,0,27,11,27
9.1,Broadview/Bitter Lake,179,121,50,65,50,65,11,29,39,63,0,27,0,27,0,27,129,90,129,90,0,27,129,90,0,27,0,27,0,27
9.2,Licton Springs,23,29,11,22,11,22,0,17,11,22,0,17,0,17,0,17,12,22,12,22,0,17,12,22,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,177,114,93,61,89,60,0,29,89,60,4,26,1,27,3,28,84,85,59,76,0,29,59,76,25,47,0,29,25,47
9.4,Green Lake,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
9.5,Haller Lake,124,79,49,42,42,39,0,21,42,39,7,23,7,23,0,21,75,58,55,53,24,43,31,37,20,23,0,21,20,23
10.1,North Beach/Blue Ridge,71,48,43,40,26,34,0,21,26,34,17,23,17,23,0,21,28,35,14,29,0,21,14,29,14,27,0,21,14,27
10.2,Whittier Heights,20,35,20,35,20,35,0,24,20,35,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,45,57,14,29,14,29,0,24,14,29,0,24,0,24,0,24,31,51,31,51,0,24,31,51,0,24,0,24,0,24
10.4,Ballard,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
