area_id,area_name,b21005001,b21005001_moe,b21005002,b21005002_moe,b21005003,b21005003_moe,b21005004,b21005004_moe,b21005005,b21005005_moe,b21005006,b21005006_moe,b21005007,b21005007_moe,b21005008,b21005008_moe,b21005009,b21005009_moe,b21005010,b21005010_moe,b21005011,b21005011_moe,b21005012,b21005012_moe,b21005013,b21005013_moe,b21005014,b21005014_moe,b21005015,b21005015_moe,b21005016,b21005016_moe,b21005017,b21005017_moe,b21005018,b21005018_moe,b21005019,b21005019_moe,b21005020,b21005020_moe,b21005021,b21005021_moe,b21005022,b21005022_moe,b21005023,b21005023_moe,b21005024,b21005024_moe,b21005025,b21005025_moe,b21005026,b21005026_moe,b21005027,b21005027_moe,b21005028,b21005028_moe,b21005029,b21005029_moe,b21005030,b21005030_moe,b21005031,b21005031_moe,b21005032,b21005032_moe,b21005033,b21005033_moe,b21005034,b21005034_moe
1.1,Arbor Heights,4115,202,1131,199,73,55,73,55,73,55,0,17,0,17,1058,192,973,184,880,189,93,61,85,50,2092,213,105,64,105,64,105,64,0,17,0,17,1987,220,1869,211,1800,203,69,53,118,62,892,164,124,57,92,50,82,46,10,19,32,31,768,151,547,143,530,141,17,24,221,74
1.2,Fauntleroy/Seaview,9449,474,2564,370,43,43,43,43,43,43,0,24,0,24,2521,369,2345,375,2247,350,98,84,176,88,4947,435,298,134,280,134,272,131,8,23,18,26,4649,393,4143,380,3988,367,155,72,506,166,1938,267,263,109,206,100,206,100,0,24,57,46,1675,251,1179,216,1145,212,34,42,496,158
1.3,West Seattle Junction/Genesee Hill,12062,483,3530,439,171,109,96,65,96,65,0,29,75,95,3359,427,2992,395,2869,395,123,71,367,138,5994,439,446,202,425,200,405,200,20,30,21,32,5548,428,4844,403,4697,394,147,94,704,180,2538,314,187,82,87,58,87,58,0,29,100,61,2351,302,1635,251,1537,250,98,63,716,217
1.4,Alki/Admiral,7528,424,2302,333,108,80,108,80,55,52,53,64,0,24,2194,342,1905,338,1783,314,122,117,289,121,3540,356,179,84,132,81,132,81,0,24,47,53,3361,359,2973,332,2769,319,204,99,388,135,1686,260,148,76,94,61,94,61,0,24,54,49,1538,252,1012,190,928,179,84,64,526,179
2.1,North Delridge,3735,260,1554,278,44,42,31,35,31,35,0,12,13,22,1510,282,1300,297,1176,277,124,93,210,99,1665,302,134,90,134,90,134,90,0,12,0,12,1531,285,1370,285,1227,273,143,113,161,102,516,159,133,88,101,80,101,80,0,12,32,35,383,139,241,116,241,116,0,12,142,83
2.2,High Point,4353,397,1933,391,5,16,0,17,0,17,0,17,5,16,1928,389,1509,322,1277,291,232,119,419,182,1956,259,123,105,76,82,76,82,0,17,47,75,1833,258,1408,239,1333,231,75,87,425,139,464,105,64,74,10,21,10,21,0,17,54,73,400,97,228,84,211,80,17,22,172,77
2.3,Riverview,3297,222,1095,191,0,12,0,12,0,12,0,12,0,12,1095,191,930,181,825,159,105,74,165,87,1628,175,71,38,71,38,63,33,8,12,0,12,1557,188,1377,187,1309,187,68,49,180,85,574,117,67,56,67,56,43,51,24,25,0,12,507,105,403,106,335,91,68,71,104,59
2.4,Roxhill/Westwood,8819,558,3442,473,74,58,42,41,31,38,11,26,32,41,3368,471,2763,415,2559,389,204,121,605,217,4170,413,148,72,100,53,89,50,11,25,48,50,4022,404,3578,377,3324,354,254,126,444,132,1207,268,227,97,201,96,188,94,13,26,26,34,980,236,678,210,606,183,72,73,302,98
2.5,Highland Park,3923,317,1500,288,38,45,38,45,38,45,0,21,0,21,1462,285,1296,285,1192,273,104,80,166,81,1612,288,105,84,51,53,51,53,0,21,54,52,1507,273,1264,264,1172,257,92,79,243,104,811,228,133,79,68,60,68,60,0,21,65,50,678,215,345,180,345,180,0,21,333,132
3.1,South Park,2781,439,1196,315,5,16,5,16,5,16,0,17,0,17,1191,314,1056,300,915,283,141,87,135,66,1216,353,42,43,16,22,16,22,0,17,26,43,1174,355,977,322,922,329,55,47,197,79,369,114,57,54,48,50,19,26,29,45,9,18,312,108,198,79,188,78,10,21,114,65
3.2,Georgetown,965,152,333,114,9,18,9,18,9,18,0,12,0,12,324,114,258,77,251,75,7,14,66,52,533,131,46,38,35,25,27,22,8,12,11,19,487,124,344,119,344,119,0,12,143,85,99,54,34,36,34,36,34,36,0,12,0,12,65,47,52,36,42,30,10,19,13,19
3.3,Duwamish/SODO,1844,308,764,242,24,30,24,30,24,30,0,12,0,12,740,242,619,194,594,201,25,34,121,117,645,192,40,37,26,30,26,30,0,12,14,22,605,188,429,146,408,142,21,28,176,95,435,258,36,41,30,29,23,24,7,16,6,16,399,251,200,96,173,72,27,44,199,184
3.4,South Beacon Hill/NewHolly,9245,668,3581,433,64,63,48,58,48,58,0,24,16,30,3517,428,2782,419,2331,391,451,163,735,214,4127,450,95,61,73,54,50,41,23,40,22,32,4032,445,3197,362,2892,359,305,127,835,246,1537,239,154,79,98,66,75,63,23,33,56,50,1383,233,983,221,955,219,28,29,400,129
3.5,Beacon Hill,6307,559,2316,334,126,96,126,96,126,96,0,17,0,17,2190,335,1531,320,1367,312,164,102,659,217,2846,502,129,116,129,116,129,116,0,17,0,17,2717,460,2361,416,2277,420,84,65,356,153,1145,283,166,106,111,97,111,97,0,17,55,50,979,248,831,227,760,235,71,53,148,96
3.6,North Beacon Hill/Jefferson Park,9620,616,3803,522,92,85,92,85,78,82,14,32,0,24,3711,502,3253,464,3103,450,150,106,458,150,4217,410,152,85,86,58,76,54,10,32,66,63,4065,399,3528,381,3281,382,247,160,537,190,1600,290,104,81,64,67,45,43,19,36,40,50,1496,275,1097,249,1037,245,60,46,399,139
4.1,Rainier Beach,9582,635,3262,440,0,27,0,27,0,27,0,27,0,27,3262,440,2474,396,1965,390,509,224,788,227,4526,506,224,132,179,111,179,111,0,27,45,73,4302,488,3588,446,3307,413,281,140,714,236,1794,268,155,79,90,64,78,67,12,28,65,51,1639,258,1186,250,1110,242,76,63,453,161
4.2,Columbia City,11195,632,3352,416,65,56,49,53,49,53,0,27,16,33,3287,420,2587,392,2217,336,370,184,700,215,5620,484,113,86,112,86,63,47,49,75,1,21,5507,467,4707,458,4213,429,494,183,800,203,2223,304,235,101,115,78,80,58,35,57,120,72,1988,301,1474,302,1318,271,156,104,514,154
4.3,Seward Park,5654,377,1578,300,19,26,19,26,19,26,0,17,0,17,1559,300,1225,258,1099,241,126,67,334,135,2768,272,130,72,121,70,114,68,7,17,9,18,2638,266,2169,258,2022,251,147,68,469,161,1308,197,119,66,47,44,47,44,0,17,72,52,1189,180,1022,183,985,181,37,30,167,70
4.4,Mt. Baker/North Rainier,3694,397,944,378,0,17,0,17,0,17,0,17,0,17,944,378,778,369,636,255,142,160,166,93,1923,251,80,80,80,80,80,80,0,17,0,17,1843,244,1474,207,1365,225,109,76,369,125,827,156,27,30,27,30,27,30,0,17,0,17,800,155,644,136,631,136,13,21,156,85
5.1,Madrona/Leschi,6892,438,1962,382,13,28,13,28,13,28,0,21,0,21,1949,383,1677,367,1487,352,190,167,272,129,3410,380,130,109,130,109,130,109,0,21,0,21,3280,382,2787,362,2707,349,80,62,493,145,1520,283,92,62,40,37,40,37,0,21,52,47,1428,275,1003,192,965,189,38,42,425,156
