Value
-----
Universe: Owner-occupied Housing Units

B25075001 Total:
B25075002  Less than $10,000
B25075003  $10,000 to $14,999
B25075004  $15,000 to $19,999
B25075005  $20,000 to $24,999
B25075006  $25,000 to $29,999
B25075007  $30,000 to $34,999
B25075008  $35,000 to $39,999
B25075009  $40,000 to $49,999
B25075010  $50,000 to $59,999
B25075011  $60,000 to $69,999
B25075012  $70,000 to $79,999
B25075013  $80,000 to $89,999
B25075014  $90,000 to $99,999
B25075015  $100,000 to $124,999
B25075016  $125,000 to $149,999
B25075017  $150,000 to $174,999
B25075018  $175,000 to $199,999
B25075019  $200,000 to $249,999
B25075020  $250,000 to $299,999
B25075021  $300,000 to $399,999
B25075022  $400,000 to $499,999
B25075023  $500,000 to $749,999
B25075024  $750,000 to $999,999
B25075025  $1,000,000 or more
