area_id,area_name,b16009001,b16009001_moe,b16009002,b16009002_moe,b16009003,b16009003_moe,b16009004,b16009004_moe,b16009005,b16009005_moe,b16009006,b16009006_moe,b16009007,b16009007_moe,b16009008,b16009008_moe,b16009009,b16009009_moe,b16009010,b16009010_moe,b16009011,b16009011_moe,b16009012,b16009012_moe,b16009013,b16009013_moe,b16009014,b16009014_moe,b16009015,b16009015_moe,b16009016,b16009016_moe,b16009017,b16009017_moe,b16009018,b16009018_moe,b16009019,b16009019_moe,b16009020,b16009020_moe,b16009021,b16009021_moe,b16009022,b16009022_moe,b16009023,b16009023_moe,b16009024,b16009024_moe,b16009025,b16009025_moe,b16009026,b16009026_moe,b16009027,b16009027_moe
60,Bridgeport,30770,1264,6123,867,1514,403,616,246,540,273,20,46,338,130,0,37,4609,590,1946,357,1024,315,130,86,1509,347,0,37,24647,1233,3725,508,1961,363,710,309,37,59,1007,230,10,36,20922,958,9489,616,3555,563,762,209,7064,766,52,68
61,New City,37563,1630,11794,1302,3940,585,1898,434,2031,415,0,47,11,49,0,47,7854,936,4131,772,3594,548,49,54,57,74,23,59,25769,1448,5397,593,2581,423,2634,428,26,54,120,67,36,75,20372,1130,9583,778,10199,920,256,118,269,96,65,74
62,West Elsdon,17420,969,2985,764,1028,362,143,137,885,333,0,27,0,27,0,27,1957,490,262,124,1591,465,75,60,28,36,1,22,14435,955,2843,465,423,176,2372,447,40,40,0,27,8,27,11592,690,2884,444,7280,678,1191,371,190,115,47,69
63,Gage Park,35871,1581,8448,1221,3176,594,443,212,2733,549,0,41,0,41,0,41,5272,755,709,202,4463,728,9,41,71,86,20,50,27423,1659,6296,648,751,216,5519,622,0,41,26,46,0,41,21127,1293,2974,499,17858,1280,141,75,140,99,14,41
64,Clearing,21049,871,1818,416,335,144,151,99,162,104,22,42,0,31,0,31,1483,343,604,199,586,227,249,146,0,31,44,54,19231,904,3538,406,2048,355,1280,309,135,95,26,51,49,81,15693,738,9456,729,4340,476,1724,359,140,188,33,58
65,West Lawn,30301,1156,5205,1027,1626,425,471,270,1155,347,0,34,0,34,0,34,3579,730,667,226,2739,683,114,98,18,42,41,55,25096,1345,6019,680,1237,338,4707,665,75,95,0,34,0,34,19077,981,5824,584,12681,1026,509,179,44,57,19,39
66,Chicago Lawn,48939,1884,14475,1664,5468,846,3311,660,2157,523,0,49,0,49,0,49,9007,999,6068,768,2835,607,52,91,11,50,41,64,34464,1960,7370,813,3765,586,3567,564,32,63,0,49,6,47,27094,1447,16069,1123,10268,1041,353,156,329,271,75,95
67,West Englewood,32548,1454,12554,1238,3884,598,3829,595,55,68,0,48,0,48,0,48,8670,838,8424,835,211,116,15,50,0,48,20,55,19994,1284,3401,509,3270,495,117,125,9,49,0,48,5,47,16593,1000,16031,980,421,220,76,82,15,52,50,65
68,Englewood,26232,1347,11975,1132,3757,582,3719,581,38,60,0,36,0,36,0,36,8218,783,8058,778,132,104,19,40,9,38,0,36,14257,1155,2482,434,2433,429,49,57,0,36,0,36,0,36,11775,928,11596,926,92,59,35,62,12,36,40,54
69,Greater Grand Crossing,29927,1387,9648,1119,3113,617,3057,611,56,53,0,38,0,38,0,38,6535,683,6484,683,21,42,18,45,12,41,0,38,20279,1266,3482,514,3398,513,57,68,27,46,0,38,0,38,16797,978,16304,983,208,117,84,62,52,69,149,104
70,Ashburn,39526,1471,4660,902,1627,421,743,311,822,264,0,41,0,41,62,108,3033,565,1599,407,1271,372,68,67,0,41,95,122,34866,1571,7072,749,4787,673,2193,397,32,45,28,49,32,52,27794,1147,20943,1109,6168,736,330,141,20,43,333,219
71,Auburn Gresham,46011,1717,13071,1344,4204,665,4132,662,61,68,11,48,0,46,0,46,8867,869,8652,860,99,79,15,47,1,44,100,123,32940,1601,5553,621,5337,613,203,116,13,48,0,46,0,46,27387,1299,26916,1283,278,139,93,87,71,95,29,62
72,Beverly,19815,776,905,277,215,147,205,147,0,29,10,32,0,29,0,29,690,197,675,196,15,28,0,29,0,29,0,29,18910,838,4197,384,3915,390,199,86,78,71,5,28,0,29,14713,640,13871,647,452,165,317,113,16,32,57,75
73,Washington Heights,24442,1053,4790,932,1328,406,1212,379,0,33,116,200,0,33,0,33,3462,671,3361,665,38,65,62,108,1,29,0,33,19652,1194,2966,494,2914,494,42,52,10,35,0,33,0,33,16686,917,16302,927,148,70,133,78,0,33,103,118
74,Mount Greenwood,16749,759,480,238,37,44,37,44,0,25,0,25,0,25,0,25,443,228,434,228,1,23,0,25,0,25,8,27,16269,752,3395,446,3179,428,108,78,68,56,40,65,0,25,12874,525,12462,532,164,80,158,73,64,92,26,46
75,Morgan Park,21149,993,3147,602,809,252,757,246,52,65,0,31,0,31,0,31,2338,468,2163,459,111,92,64,69,0,31,0,31,18002,1021,3407,545,3312,539,44,46,51,55,0,31,0,31,14595,766,14051,739,167,81,335,148,42,67,0,31
76,O'Hare,12369,856,1940,767,421,349,0,38,42,72,134,156,28,58,217,303,1519,474,292,134,234,222,586,233,79,100,328,315,10429,870,820,319,325,169,148,107,341,237,6,38,0,38,9609,764,3358,500,1227,463,4002,668,655,344,367,226
77,Edgewater,50366,1554,9249,988,822,330,238,177,436,281,57,76,33,58,58,79,8427,860,4639,666,982,312,1473,340,576,248,757,258,41117,1554,3050,541,1641,402,757,297,253,125,352,206,47,69,38067,1301,25131,1083,4442,781,4280,601,2806,595,1408,382
