area_id,area_name,b13001001,b13001001_moe,b13001002,b13001002_moe,b13001003,b13001003_moe,b13001004,b13001004_moe,b13001005,b13001005_moe,b13001006,b13001006_moe,b13001007,b13001007_moe,b13001008,b13001008_moe,b13001009,b13001009_moe
1,Rogers Park,16991,1121,5673,528,21,52,2755,404,2897,388,11318,988,2260,423,6118,716,2940,451
2,West Ridge,17441,985,8684,603,0,51,3256,458,5428,485,8757,799,2050,378,4024,519,2683,412
3,Uptown,15948,836,5605,515,58,70,2709,375,2838,385,10343,760,605,203,6024,604,3714,460
4,Lincoln Square,11854,647,5206,420,0,40,2289,278,2917,355,6648,573,694,229,4138,458,1816,270
5,North Center,10450,539,4771,309,4,42,2127,241,2640,247,5679,497,402,145,3763,438,1514,245
6,Lake View,36337,1274,10158,534,0,66,5795,472,4363,378,26179,1277,765,188,21493,1226,3921,447
7,Lincoln Park,23062,991,6839,498,0,51,2860,355,3979,381,16223,975,1502,277,11991,911,2730,329
8,Near North Side,26129,1160,6813,625,91,90,3553,507,3169,401,19316,1108,869,224,13971,995,4476,542
9,Edison Park,2898,306,1240,151,0,25,285,94,955,131,1658,296,319,126,763,194,576,171
10,Norwood Park,7888,536,4286,366,0,39,1364,279,2922,320,3602,463,583,158,1625,319,1394,278
11,Jefferson Park,6407,524,3496,354,16,33,1158,230,2322,298,2911,403,576,168,1518,326,817,198
12,Forest Glen,3919,320,2407,235,0,29,514,150,1893,197,1512,263,464,142,754,203,294,102
13,North Park,4535,472,2138,266,0,27,668,153,1470,225,2397,396,668,168,1043,254,686,208
14,Albany Park,14519,823,6718,529,33,57,2898,370,3787,422,7801,662,1872,328,4012,511,1917,323
15,Portage Park,17008,916,8064,538,35,72,2810,401,5219,450,8944,831,1955,392,4054,508,2935,442
16,Irving Park,14771,745,7046,524,30,64,3183,402,3833,405,7725,631,1008,241,4330,487,2387,340
17,Dunning,10066,602,5213,400,55,52,1866,323,3292,341,4853,477,1100,229,2520,355,1233,216
18,Montclare,3035,376,1488,240,0,23,587,177,901,204,1547,317,326,142,764,201,457,153
19,Belmont Cragin,20433,1011,9065,597,107,91,3448,402,5510,476,11368,885,2995,445,5211,573,3162,444
20,Hermosa,6327,549,2503,293,50,59,876,189,1577,227,3824,492,1056,248,1856,365,912,214
21,Avondale,11465,835,4572,430,0,38,2169,330,2403,331,6893,770,1300,368,3962,524,1631,302
22,Logan Square,23413,939,8411,512,8,58,4157,372,4246,386,15002,856,1964,322,9474,684,3564,392
23,Humboldt Park,15696,886,4117,426,20,55,1800,309,2297,325,11579,840,2504,399,5551,554,3524,426
24,West Town,28997,1011,9732,514,31,70,4697,387,5004,405,19265,974,1721,336,13569,829,3975,389
25,Austin,26617,1160,5112,467,0,61,1649,283,3463,391,21505,1101,4240,458,9670,721,7595,580
26,West Garfield Park,5259,496,940,202,3,34,264,110,673,190,4319,453,994,229,1967,262,1358,211
27,East Garfield Park,6419,530,960,179,0,38,344,116,616,151,5459,518,1232,299,2151,305,2076,270
28,Near West Side,18752,877,5737,428,0,52,3585,363,2152,273,13015,853,2043,411,7648,666,3324,377
29,North Lawndale,10190,723,1653,243,16,48,484,123,1153,219,8537,692,1701,285,3985,432,2851,324
30,South Lawndale,17269,926,6840,486,96,78,2735,363,4009,374,10429,789,2869,397,5001,528,2559,370
31,Lower West Side,9370,599,3270,362,0,42,1499,267,1771,268,6100,519,840,216,3610,429,1650,314
32,Loop,9054,813,2679,390,0,30,1748,334,931,252,6375,790,837,271,4322,652,1216,285
33,Near South Side,6672,577,2211,373,0,24,1120,263,1091,287,4461,546,483,240,2359,416,1619,340
34,Armour Square,3157,357,1562,248,0,27,464,149,1098,239,1595,273,396,140,859,215,340,112
35,Douglas,5635,481,1092,189,4,34,541,135,547,138,4543,466,580,148,2583,384,1380,217
36,Oakland,2081,256,490,126,0,19,137,69,353,113,1591,273,213,101,827,208,551,146
37,Fuller Park,790,217,154,72,0,16,30,24,124,67,636,181,120,60,243,106,273,91
38,Grand Boulevard,6984,490,1453,237,15,41,462,154,976,193,5531,480,667,169,2673,338,2191,269
39,Kenwood,4947,459,1360,217,4,30,546,151,810,171,3587,426,285,106,2126,368,1176,228
40,Washington Park,3370,349,341,108,0,27,83,51,258,91,3029,335,474,143,1497,217,1058,188
41,Hyde Park,8476,582,2346,239,0,38,951,166,1395,205,6130,571,1097,227,3798,484,1235,223
42,Woodlawn,7258,530,1460,225,0,36,677,157,783,186,5798,509,1078,204,2526,350,2194,294
43,South Shore,13233,975,2478,393,0,44,404,163,2074,353,10755,910,1997,402,4919,572,3839,434
44,Chatham,8485,749,1726,312,0,37,476,160,1250,269,6759,696,1201,271,3094,431,2464,383
45,Avalon Park,2242,274,572,150,0,19,95,63,477,138,1670,260,306,110,657,195,707,188
46,South Chicago,7752,670,1895,291,0,37,624,180,1271,237,5857,611,1013,235,2694,419,2150,344
47,Burnside,835,257,183,108,0,11,0,11,183,108,652,199,243,164,288,124,121,69
48,Calumet Heights,2981,331,969,184,0,27,199,97,770,169,2012,336,463,179,657,173,892,202
49,Roseland,11294,713,2541,324,20,46,691,210,1830,267,8753,670,2316,364,3450,434,2987,355
50,Pullman,1930,250,362,113,0,19,166,96,196,70,1568,224,232,90,685,175,651,149
51,South Deering,4529,479,1358,248,0,25,446,161,912,197,3171,434,721,208,1209,283,1241,269
52,East Side,5879,481,2320,273,0,29,756,178,1564,248,3559,419,885,211,1684,324,990,212
