area_id,area_name,c21001f001,c21001f001_moe,c21001f002,c21001f002_moe,c21001f003,c21001f003_moe,c21001f004,c21001f004_moe,c21001f005,c21001f005_moe,c21001f006,c21001f006_moe,c21001f007,c21001f007_moe,c21001f008,c21001f008_moe,c21001f009,c21001f009_moe,c21001f010,c21001f010_moe,c21001f011,c21001f011_moe,c21001f012,c21001f012_moe,c21001f013,c21001f013_moe,c21001f014,c21001f014_moe,c21001f015,c21001f015_moe
1,Rogers Park,3185,708,2096,525,2056,524,12,49,2044,523,40,54,0,48,40,54,1089,289,1056,283,0,48,1056,283,33,52,0,48,33,52
2,West Ridge,3798,898,1892,479,1694,452,0,51,1694,452,198,170,0,51,198,170,1906,501,1619,428,7,52,1612,428,287,195,0,51,287,195
3,Uptown,2309,601,1490,427,1446,423,0,48,1446,423,44,56,6,47,38,56,819,270,698,254,0,48,698,254,121,96,0,48,121,96
4,Lincoln Square,2347,644,1106,359,1068,356,4,39,1064,356,38,60,0,40,38,60,1241,350,1163,342,0,40,1163,342,78,67,0,40,78,67
5,North Center,705,293,342,154,325,153,42,61,283,123,17,45,0,43,17,45,363,184,356,184,0,43,356,184,7,43,0,43,7,43
6,Lake View,1195,285,634,190,607,186,0,66,607,186,27,71,11,68,16,70,561,188,547,186,0,66,547,186,14,68,0,66,14,68
7,Lincoln Park,802,231,419,171,369,166,0,51,369,166,50,64,0,51,50,64,383,145,330,136,0,51,330,136,53,64,0,51,53,64
8,Near North Side,1404,492,661,299,634,296,12,57,622,296,27,69,0,54,27,69,743,349,680,340,0,54,680,340,63,96,0,54,63,96
9,Edison Park,60,46,20,27,8,25,0,25,8,25,12,26,0,25,12,26,40,39,40,39,0,25,40,39,0,25,0,25,0,25
10,Norwood Park,1272,509,517,254,495,253,0,39,495,253,22,40,10,41,12,38,755,300,714,297,0,39,714,297,41,47,0,39,41,47
11,Jefferson Park,1132,439,534,210,501,206,11,32,490,206,33,35,9,31,24,34,598,286,588,287,0,29,588,287,10,31,0,29,10,31
