area_id,area_name,b25012001,b25012001_moe,b25012002,b25012002_moe,b25012003,b25012003_moe,b25012004,b25012004_moe,b25012005,b25012005_moe,b25012006,b25012006_moe,b25012007,b25012007_moe,b25012008,b25012008_moe,b25012009,b25012009_moe,b25012010,b25012010_moe,b25012011,b25012011_moe,b25012012,b25012012_moe,b25012013,b25012013_moe,b25012014,b25012014_moe,b25012015,b25012015_moe,b25012016,b25012016_moe,b25012017,b25012017_moe
1,Rogers Park,23981,550,6995,461,1687,263,1567,252,704,173,244,121,619,158,120,90,5308,422,16986,651,4133,447,3718,430,1069,251,945,234,1704,329,415,160,12853,639
2,West Ridge,24402,485,12314,533,4163,395,3688,376,777,217,914,195,1997,297,475,171,8151,469,12088,626,4756,521,4561,517,1351,305,1038,272,2172,376,195,126,7332,570
3,Uptown,29441,501,9490,491,1365,241,1339,237,698,191,191,123,450,142,26,55,8125,481,19951,640,2424,372,2070,353,545,160,369,167,1156,275,354,178,17527,670
4,Lincoln Square,17622,376,7020,447,2003,262,1860,257,1029,190,214,95,617,171,143,75,5017,371,10602,509,1775,300,1664,292,449,151,367,172,848,214,111,82,8827,492
5,North Center,14724,323,7758,369,2744,251,2720,251,1427,201,448,128,845,158,24,46,5014,339,6966,392,665,153,650,151,299,98,50,67,301,105,15,49,6301,382
6,Lake View,52568,659,19687,707,4264,309,4204,316,2454,257,742,175,1008,176,60,76,15423,669,32881,782,1798,286,1734,283,781,223,311,143,642,193,64,81,31083,803
7,Lincoln Park,32194,546,14662,578,3861,326,3861,326,1373,196,653,145,1835,283,0,51,10801,536,17532,621,1002,206,948,201,390,135,120,83,438,141,54,64,16530,613
8,Near North Side,50758,883,22765,857,1589,243,1561,242,801,192,195,89,565,187,28,57,21176,852,27993,973,1724,308,1625,305,512,205,322,146,791,236,99,67,26269,956
9,Edison Park,4608,141,3676,182,1009,122,965,121,94,52,195,79,676,123,44,32,2667,195,932,170,122,83,101,76,12,25,0,25,89,76,21,37,810,151
10,Norwood Park,14646,262,11624,364,2886,258,2794,252,672,172,594,167,1528,229,92,62,8738,357,3022,325,913,241,750,229,274,156,240,147,236,112,163,111,2109,265
11,Jefferson Park,9943,274,6535,336,2030,236,1918,239,392,134,441,127,1085,198,112,73,4505,322,3408,328,911,231,880,227,290,150,255,121,335,130,31,42,2497,311
12,Forest Glen,6793,159,5964,202,2128,171,1990,169,448,114,374,117,1168,176,138,92,3836,219,829,185,180,91,180,91,23,44,83,61,74,70,0,29,649,174
13,North Park,6436,188,3405,243,1206,195,1034,185,124,68,172,74,738,162,172,79,2199,244,3031,263,860,174,838,174,390,131,93,56,355,117,22,30,2171,248
14,Albany Park,16804,326,6138,382,2080,268,1806,254,569,148,384,142,853,173,274,112,4058,352,10666,433,4357,398,3833,387,1138,269,1004,230,1691,282,524,185,6309,465
15,Portage Park,22505,401,12675,479,4414,387,3609,353,634,165,805,191,2170,293,805,209,8261,438,9830,524,3073,394,2739,374,569,190,541,174,1629,307,334,148,6757,482
16,Irving Park,20177,401,9760,457,3189,315,2836,305,1098,216,326,120,1412,220,353,122,6571,405,10417,507,3465,402,3185,393,1036,230,751,216,1398,291,280,128,6952,466
17,Dunning,15141,266,11475,366,3342,279,2824,264,628,168,500,129,1696,224,518,159,8133,356,3666,344,1076,229,951,215,296,116,113,64,542,170,125,97,2590,314
18,Montclare,4425,173,2630,230,846,166,725,157,110,56,192,90,423,122,121,66,1784,238,1795,219,649,182,581,171,116,81,141,100,324,133,68,69,1146,186
19,Belmont Cragin,21570,412,10475,514,4916,428,3918,393,347,119,960,217,2611,335,998,212,5559,421,11095,541,5939,533,5448,520,1223,258,1496,288,2729,399,491,181,5156,432
20,Hermosa,7070,219,3110,282,1342,206,1103,195,119,78,204,85,780,167,239,97,1768,236,3960,302,2010,277,1679,254,393,139,556,174,730,181,331,138,1950,258
21,Avondale,13801,329,5774,391,2098,285,1780,265,496,143,303,128,981,202,318,130,3676,350,8027,430,2849,367,2562,358,790,208,607,175,1165,264,287,134,5178,409
22,Logan Square,29492,477,11139,516,3435,321,3113,310,1408,210,460,154,1245,217,322,128,7704,462,18353,602,4453,407,3880,388,1052,221,1024,218,1804,272,573,171,13900,578
23,Humboldt Park,16778,419,5910,422,2282,279,1608,256,227,107,303,117,1078,215,674,150,3628,362,10868,499,4778,422,4058,394,766,203,1396,273,1896,300,720,205,6090,469
24,West Town,37287,534,14909,572,3445,318,3173,302,1957,237,295,115,921,185,272,109,11464,541,22378,612,3946,379,3581,375,926,196,678,185,1977,280,365,119,18432,618
25,Austin,32428,573,12818,537,4571,397,2904,329,412,135,541,159,1951,289,1667,279,8247,493,19610,673,8053,561,6741,532,1022,239,1524,281,4195,446,1312,262,11557,624
26,West Garfield Park,5714,265,1486,192,440,119,211,88,45,55,90,58,76,57,229,87,1046,162,4228,294,2379,251,1922,235,186,82,577,143,1159,195,457,126,1849,220
27,East Garfield Park,6896,277,1857,223,630,145,449,125,61,54,111,78,277,97,181,82,1227,186,5039,306,2482,259,2095,249,337,130,591,148,1167,209,387,111,2557,265
28,Near West Side,25665,497,10251,474,1911,253,1819,245,1027,195,62,60,730,175,92,81,8340,452,15414,552,2704,289,2380,279,772,178,459,141,1149,192,324,115,12710,557
29,North Lawndale,10852,381,2612,263,860,158,587,130,151,67,93,65,343,108,273,96,1752,218,8240,399,4268,343,3357,315,398,119,998,192,1961,265,911,175,3972,334
30,South Lawndale,16454,435,5915,415,2785,314,2334,305,191,95,432,149,1711,271,451,118,3130,316,10539,500,5782,442,5409,439,1601,267,1667,274,2141,304,373,141,4757,415
31,Lower West Side,12255,332,3286,312,1161,214,835,168,104,70,200,91,531,139,326,132,2125,238,8969,386,3297,320,2906,309,769,170,814,178,1323,216,391,139,5672,374
32,Loop,14557,598,6257,474,646,222,646,222,472,184,121,110,53,47,0,30,5611,472,8300,652,422,186,388,179,282,163,48,54,58,66,34,59,7878,633
33,Near South Side,11517,470,5711,452,1052,231,1039,230,552,155,169,86,318,164,13,25,4659,424,5806,473,717,237,664,235,393,221,57,79,214,123,53,41,5089,496
34,Armour Square,5359,184,1884,236,575,157,470,139,67,51,94,67,309,114,105,71,1309,219,3475,227,787,175,749,173,133,67,136,75,480,151,38,38,2688,233
35,Douglas,9023,275,1875,186,315,102,272,99,42,38,63,52,167,82,43,41,1560,177,7148,281,1503,199,1390,193,452,126,245,88,693,162,113,66,5645,282
36,Oakland,2743,141,612,125,257,101,212,90,74,49,0,19,138,79,45,43,355,95,2131,173,864,143,774,137,248,106,99,70,427,132,90,60,1267,140
37,Fuller Park,1146,113,378,83,156,69,96,62,9,16,3,13,84,61,60,41,222,62,768,111,241,90,227,91,66,48,20,34,141,74,14,17,527,91
38,Grand Boulevard,9878,323,2767,261,716,163,640,155,221,93,75,59,344,114,76,58,2051,241,7111,330,2313,255,2005,245,458,137,412,124,1135,203,308,104,4798,321
39,Kenwood,9116,306,2855,256,624,139,533,130,202,88,78,47,253,96,91,64,2231,240,6261,340,1435,231,1296,224,355,121,307,115,634,175,139,91,4826,341
40,Washington Park,4142,214,833,147,198,84,118,69,39,36,11,26,68,60,80,45,635,129,3309,216,1602,191,1261,173,213,84,291,105,757,149,341,114,1707,188
