area_id,area_name,c27001i001,c27001i001_moe,c27001i002,c27001i002_moe,c27001i003,c27001i003_moe,c27001i004,c27001i004_moe,c27001i005,c27001i005_moe,c27001i006,c27001i006_moe,c27001i007,c27001i007_moe,c27001i008,c27001i008_moe,c27001i009,c27001i009_moe,c27001i010,c27001i010_moe
1,Rogers Park,14202,1601,4530,747,4013,722,517,235,9253,1086,3313,551,5940,896,419,161,359,150,60,68
2,West Ridge,15215,2093,4876,980,4549,932,327,211,8994,1280,4404,775,4590,950,1345,402,952,272,393,301
3,Uptown,6945,1025,1091,367,937,339,154,146,5463,819,2740,451,2723,639,391,144,391,144,0,48
4,Lincoln Square,7442,1192,1983,607,1886,601,97,91,4931,754,2920,471,2011,522,528,235,516,241,12,44
5,North Center,4376,706,611,224,584,220,27,60,3195,557,2241,414,954,314,570,212,570,212,0,43
6,Lake View,7262,773,1067,274,1019,267,48,78,5710,646,4434,552,1276,308,485,145,485,145,0,66
7,Lincoln Park,4127,658,998,304,998,304,0,51,2812,484,2541,444,271,123,317,124,317,124,0,51
8,Near North Side,4475,763,368,157,326,156,42,86,3770,688,2963,566,807,361,337,161,307,156,30,68
9,Edison Park,500,208,161,124,161,124,0,25,276,122,265,122,11,26,63,54,63,54,0,25
10,Norwood Park,4899,856,1825,521,1810,520,15,39,2831,578,2142,421,689,269,243,90,243,90,0,39
11,Jefferson Park,5342,842,1962,419,1935,418,27,45,3257,571,2516,478,741,259,123,83,123,83,0,29
12,Forest Glen,2408,518,956,284,956,284,0,29,1308,302,1155,292,153,104,144,114,144,114,0,29
13,North Park,3413,783,1047,420,1047,420,0,27,2124,451,1196,317,928,326,242,122,221,118,21,40
14,Albany Park,28164,2130,9149,1047,8556,1025,593,236,18207,1493,7085,705,11122,1353,808,241,727,224,81,98
15,Portage Park,26388,1818,8877,993,8435,970,442,247,16456,1186,11618,961,4838,712,1055,251,926,232,129,105
16,Irving Park,25434,1957,7983,955,7133,939,850,302,16273,1271,9379,903,6894,988,1178,277,1118,263,60,79
17,Dunning,9697,941,2958,478,2844,474,114,72,6055,610,4481,520,1574,333,684,171,665,172,19,52
18,Montclare,6401,831,2238,443,2049,430,189,127,3740,466,2484,375,1256,346,423,184,376,179,47,47
19,Belmont Cragin,59957,2572,20368,1341,19022,1290,1346,433,37256,1679,22545,1358,14711,1251,2333,360,2127,344,206,111
20,Hermosa,22612,1359,7109,674,6770,680,339,163,14160,920,8375,699,5785,738,1343,300,1244,288,99,89
