area_id,area_name,b18103001,b18103001_moe,b18103002,b18103002_moe,b18103003,b18103003_moe,b18103004,b18103004_moe,b18103005,b18103005_moe,b18103006,b18103006_moe,b18103007,b18103007_moe,b18103008,b18103008_moe,b18103009,b18103009_moe,b18103010,b18103010_moe,b18103011,b18103011_moe,b18103012,b18103012_moe,b18103013,b18103013_moe,b18103014,b18103014_moe,b18103015,b18103015_moe,b18103016,b18103016_moe,b18103017,b18103017_moe,b18103018,b18103018_moe,b18103019,b18103019_moe,b18103020,b18103020_moe,b18103021,b18103021_moe,b18103022,b18103022_moe,b18103023,b18103023_moe,b18103024,b18103024_moe,b18103025,b18103025_moe,b18103026,b18103026_moe,b18103027,b18103027_moe,b18103028,b18103028_moe,b18103029,b18103029_moe,b18103030,b18103030_moe,b18103031,b18103031_moe,b18103032,b18103032_moe,b18103033,b18103033_moe,b18103034,b18103034_moe,b18103035,b18103035_moe,b18103036,b18103036_moe,b18103037,b18103037_moe,b18103038,b18103038_moe,b18103039,b18103039_moe
1,Rogers Park,56493,2171,28398,1311,2295,362,9,48,2286,362,3424,520,53,75,3371,514,10200,884,109,96,10091,878,10940,692,209,108,10731,690,988,207,82,79,906,197,551,166,22,53,529,164,28095,1411,1967,355,0,48,1967,355,3750,532,0,48,3750,532,10050,888,73,79,9977,879,10180,715,248,119,9932,707,1191,217,53,63,1138,210,957,240,182,89,775,223
2,West Ridge,72744,2584,35480,1555,2818,435,0,51,2818,435,6364,695,16,55,6348,695,9022,935,63,75,8959,932,13651,708,128,101,13523,703,2184,363,108,78,2076,355,1441,234,108,95,1333,226,37264,1544,3079,551,0,51,3079,551,6775,736,62,95,6713,732,7964,691,105,102,7859,685,14280,710,190,89,14090,706,2804,432,106,78,2698,423,2362,342,276,138,2086,324
3,Uptown,53670,1701,28324,1220,1296,308,0,48,1296,308,2405,447,0,48,2405,447,9880,802,29,66,9851,800,12915,805,209,107,12706,796,1112,241,67,83,1045,230,716,191,135,97,581,174,25346,1095,1391,326,0,48,1391,326,1469,340,5,47,1464,340,9036,672,3,44,9033,672,10184,633,159,77,10025,630,1643,313,146,101,1497,298,1623,313,294,154,1329,297
4,Lincoln Square,38116,1327,18919,850,1532,314,0,40,1532,314,1642,331,40,53,1602,328,6335,514,21,43,6314,514,7838,507,13,44,7825,506,1145,210,67,59,1078,206,427,132,16,41,411,131,19197,880,1313,261,0,40,1313,261,1831,382,0,40,1831,382,6659,502,14,44,6645,500,7627,477,137,91,7490,477,1072,241,52,65,1020,241,695,167,173,109,522,132
5,North Center,33402,1096,16644,751,1594,234,12,45,1582,235,1645,249,26,58,1619,249,5863,595,6,43,5857,595,6483,406,40,52,6443,404,772,164,42,51,730,161,287,86,13,45,274,85,16758,773,1502,281,0,43,1502,281,1502,313,0,43,1502,313,6026,456,0,43,6026,456,6286,385,47,61,6239,378,814,165,9,44,805,165,628,170,49,55,579,167
6,Lake View,96425,1729,47189,1391,2286,341,5,66,2281,341,2343,383,0,66,2343,383,23263,1204,109,97,23154,1201,16446,749,233,127,16213,750,1717,244,87,94,1630,238,1134,201,102,91,1032,186,49236,1438,2618,336,9,67,2609,335,2554,352,0,66,2554,352,27734,1247,80,79,27654,1245,12653,631,230,147,12423,622,1760,255,111,110,1649,245,1917,260,215,108,1702,246
7,Lincoln Park,64028,1704,31324,1161,1799,267,12,53,1787,266,2803,403,0,51,2803,403,14293,977,9,50,14284,977,10048,520,156,89,9892,519,1522,221,17,51,1505,220,859,197,95,91,764,184,32704,1205,1446,228,0,51,1446,228,2823,491,36,57,2787,491,15922,940,34,59,15888,940,10375,512,138,98,10237,506,1353,227,66,73,1287,219,785,161,85,62,700,149
8,Near North Side,80315,1814,36801,1353,1350,311,0,54,1350,311,1582,331,0,54,1582,331,14839,1083,3,54,14836,1083,13674,756,155,95,13519,758,3504,412,171,136,3333,394,1852,276,94,73,1758,272,43514,1395,1067,268,0,54,1067,268,1893,454,0,54,1893,454,18323,1049,1,53,18322,1049,15354,801,150,117,15204,796,3986,407,140,109,3846,399,2891,375,241,129,2650,363
9,Edison Park,11135,498,5169,358,162,74,0,25,162,74,891,172,0,25,891,172,933,192,0,25,933,192,2550,255,11,26,2539,256,273,88,8,24,265,87,360,97,40,35,320,92,5966,353,197,78,0,25,197,78,1016,194,41,62,975,177,1134,222,0,25,1134,222,2585,191,15,29,2570,191,455,106,13,29,442,105,579,129,83,52,496,121
10,Norwood Park,36933,1214,17999,779,1309,361,0,39,1309,361,2669,356,11,41,2658,356,3447,481,0,39,3447,481,7894,434,129,88,7765,435,1423,207,27,45,1396,206,1257,203,91,66,1166,195,18934,822,1003,244,0,39,1003,244,2455,381,37,61,2418,382,3190,391,47,83,3143,382,8026,398,130,75,7896,403,1638,208,30,43,1608,207,2622,272,349,117,2273,260
