area_id,area_name,b11001001,b11001001_moe,b11001002,b11001002_moe,b11001003,b11001003_moe,b11001004,b11001004_moe,b11001005,b11001005_moe,b11001006,b11001006_moe,b11001007,b11001007_moe,b11001008,b11001008_moe,b11001009,b11001009_moe
61,New City,11621,370,8925,385,4718,349,4207,350,1445,235,2762,278,2696,292,2032,252,664,167
62,West Elsdon,5027,151,4075,196,2714,236,1361,210,468,141,893,185,952,151,774,141,178,96
63,Gage Park,9405,238,7786,291,5344,352,2442,307,903,202,1539,244,1619,219,1314,199,305,128
64,Clearing,8389,219,5806,286,3793,288,2013,286,775,202,1238,209,2583,270,2322,260,261,118
65,West Lawn,9111,215,7238,304,4947,308,2291,303,851,209,1440,248,1873,269,1651,254,222,99
66,Chicago Lawn,15416,427,11626,462,5416,425,6210,462,1255,248,4955,418,3790,382,3315,369,475,153
67,West Englewood,10364,339,7445,359,2253,249,5192,336,842,173,4350,309,2919,302,2648,285,271,119
68,Englewood,9803,383,6230,367,1363,209,4867,348,519,150,4348,335,3573,313,3195,294,378,120
69,Greater Grand Crossing,12605,368,7182,406,1644,223,5538,400,860,204,4678,372,5423,386,4858,376,565,161
70,Ashburn,12780,230,10042,362,6559,424,3483,384,788,196,2695,349,2738,343,2438,324,300,146
71,Auburn Gresham,17173,440,11249,469,3536,366,7713,457,949,210,6764,446,5924,444,5286,433,638,160
72,Beverly,7705,196,5272,243,4088,247,1184,198,303,106,881,174,2433,251,2294,249,139,69
73,Washington Heights,9308,303,6172,325,2516,277,3656,316,612,180,3044,282,3136,326,2848,324,288,121
74,Mount Greenwood,6589,208,4638,243,3767,247,871,199,331,146,540,144,1951,238,1757,225,194,94
75,Morgan Park,8009,269,5201,320,3033,252,2168,304,272,140,1896,295,2808,297,2349,283,459,160
76,O'Hare,6108,207,3444,325,2598,333,846,216,393,149,453,171,2664,312,2224,321,440,158
77,Edgewater,29110,543,9549,575,6736,516,2813,367,935,228,1878,306,19561,687,16075,683,3486,406
