area_id,area_name,b01002c001,b01002c001_moe,b01002c002,b01002c002_moe,b01002c003,b01002c003_moe
1,Rogers Park,26,0,27,6,22,0
4,Lincoln Square,111,7,104,32,109,4
14,Albany Park,53,14,54,13,31,0
15,Portage Park,74,30,77,31,85,37
19,Belmont Cragin,59,7,59,60,60,7
21,Avondale,24,34,23,0,24,34
28,Near West Side,57,37,62,26,53,48
30,South Lawndale,180,28,216,44,164,52
42,Woodlawn,51,14,22,18,51,17
57,Archer Heights,21,6,21,14,18,7
58,Brighton Park,30,38,20,52,30,34
59,McKinley Park,22,14,15,9,45,34
61,New City,99,46,127,8,78,19
64,Clearing,46,0,34,0,47,19
65,West Lawn,37,29,24,32,52,36
66,Chicago Lawn,11,1,14,0,10,0
70,Ashburn,27,20,23,8,45,14
77,Edgewater,20,0,21,10,16,0
