area_id,area_name,c24060001,c24060001_moe,c24060002,c24060002_moe,c24060003,c24060003_moe,c24060004,c24060004_moe,c24060005,c24060005_moe,c24060006,c24060006_moe,c24060007,c24060007_moe,c24060008,c24060008_moe,c24060009,c24060009_moe,c24060010,c24060010_moe,c24060011,c24060011_moe,c24060012,c24060012_moe,c24060013,c24060013_moe,c24060014,c24060014_moe,c24060015,c24060015_moe,c24060016,c24060016_moe,c24060017,c24060017_moe,c24060018,c24060018_moe,c24060019,c24060019_moe,c24060020,c24060020_moe,c24060021,c24060021_moe,c24060022,c24060022_moe,c24060023,c24060023_moe,c24060024,c24060024_moe,c24060025,c24060025_moe,c24060026,c24060026_moe,c24060027,c24060027_moe,c24060028,c24060028_moe,c24060029,c24060029_moe,c24060030,c24060030_moe,c24060031,c24060031_moe,c24060032,c24060032_moe,c24060033,c24060033_moe,c24060034,c24060034_moe,c24060035,c24060035_moe,c24060036,c24060036_moe
1,Rogers Park,30380,1247,12240,708,7406,811,6264,626,1542,320,2928,461,20654,1152,6303,539,5940,774,4871,554,1220,284,2320,420,774,220,439,166,70,90,73,59,81,81,111,88,4749,542,3139,402,521,186,813,190,66,76,210,130,2474,354,1598,280,399,148,327,147,20,54,130,104,1729,313,761,200,476,168,180,103,155,114,157,83
2,West Ridge,32006,1409,11004,797,7095,798,7251,693,2092,452,4564,589,21754,1380,5849,618,5287,704,5526,598,1574,402,3518,540,1162,250,427,150,119,82,261,121,131,89,224,124,3435,435,2302,349,491,160,545,169,19,57,78,81,3286,436,1791,313,717,216,446,175,158,127,174,100,2369,399,635,183,481,197,473,202,210,153,570,190
3,Uptown,32104,1151,16866,849,5467,649,6315,580,754,207,2702,492,22425,989,10122,662,4395,565,5095,530,513,173,2300,470,766,181,373,122,109,91,176,85,0,48,108,75,4224,517,3511,461,209,103,388,129,32,62,84,80,2750,405,1828,312,361,161,423,176,96,81,42,58,1939,444,1032,241,393,255,233,160,113,96,168,131
4,Lincoln Square,23356,825,12543,697,3487,441,4460,464,1146,303,1720,406,15436,786,7054,561,2621,390,3581,424,696,250,1484,387,833,195,435,122,70,59,74,55,200,128,54,61,3331,365,2608,329,155,80,503,156,8,41,57,53,2148,333,1607,289,268,103,225,110,38,52,10,41,1608,307,839,210,373,152,77,61,204,127,115,83
5,North Center,20929,740,11880,585,1861,304,5784,478,601,155,803,193,14698,723,7636,509,1211,259,4787,461,372,137,692,169,943,196,497,142,108,73,253,110,56,59,29,52,2008,282,1530,225,71,53,334,143,18,44,55,96,2038,302,1633,282,218,95,138,75,45,49,4,42,1242,248,584,161,253,107,272,118,110,80,23,46
6,Lake View,68957,1435,42708,1245,7027,670,16484,900,997,235,1741,336,50618,1401,28833,1113,5532,605,14175,858,712,207,1366,290,2136,305,1334,244,114,88,485,146,135,101,68,77,8495,623,6965,547,317,135,974,237,41,87,198,142,4850,513,3893,464,420,147,437,147,4,66,96,84,2858,361,1683,279,644,210,413,126,105,80,13,68
7,Lincoln Park,41372,1134,27590,983,3113,408,9605,698,407,143,657,184,29935,1122,18855,914,2321,352,7954,642,219,111,586,183,2034,276,1446,243,64,68,454,131,36,62,34,56,4541,472,3812,430,103,77,568,179,38,61,20,52,2532,355,1897,301,246,114,357,144,23,61,9,52,2330,329,1580,281,379,144,272,107,91,79,8,51
8,Near North Side,51159,1476,33465,1279,4443,644,11554,880,813,237,884,251,36928,1409,22488,1124,3207,574,9932,836,558,197,743,233,3048,432,2306,386,191,155,508,163,30,63,13,58,5308,572,4601,536,295,129,308,116,74,92,30,59,3336,423,2531,375,436,159,354,141,15,58,0,54,2539,394,1539,303,314,150,452,158,136,109,98,99
9,Edison Park,5943,391,2309,285,1401,283,1420,235,409,190,404,148,3763,399,1347,230,583,181,1191,224,283,176,359,143,112,58,73,46,0,25,17,34,22,30,0,25,421,132,328,119,42,43,46,43,0,25,5,23,1424,226,490,143,708,171,117,68,69,46,40,45,223,99,71,49,68,64,49,57,35,36,0,25
10,Norwood Park,18045,822,6382,551,3545,410,4180,491,2067,324,1871,366,11082,798,3413,408,1466,261,3283,466,1287,270,1633,357,730,216,208,104,82,76,189,120,209,123,42,46,1608,285,956,218,308,160,313,110,12,44,19,40,3814,437,1501,315,1499,265,296,129,341,121,177,77,811,192,304,105,190,102,99,59,218,105,0,39
