area_id,area_name,b19013h001,b19013h001_moe
1,Rogers Park,595296,58021
2,West Ridge,737958,66975
3,Uptown,783331,54386
4,Lincoln Square,739137,43263
5,North Center,1409612,95901
6,Lake View,2970886,129619
7,Lincoln Park,2089970,123542
8,Near North Side,1933445,129831
9,Edison Park,247402,36745
10,Norwood Park,532239,40681
11,Jefferson Park,334228,35610
12,Forest Glen,360997,36024
13,North Park,239976,32369
14,Albany Park,564814,85462
15,Portage Park,754695,54464
16,Irving Park,943625,84967
17,Dunning,638214,37188
18,Montclare,82166,14102
19,Belmont Cragin,676194,129142
20,Hermosa,332135,111266
21,Avondale,483188,56713
22,Logan Square,1946802,152182
23,Humboldt Park,608217,367038
24,West Town,2635399,148623
25,Austin,467137,307874
26,West Garfield Park,209063,259651
27,East Garfield Park,348220,396254
28,Near West Side,1519192,171688
29,North Lawndale,254134,57955
30,South Lawndale,401506,214501
31,Lower West Side,475409,66062
32,Loop,479671,60045
33,Near South Side,362081,33306
34,Armour Square,194799,49536
35,Douglas,917183,385880
36,Oakland,266419,136571
37,Fuller Park,47625,70131
38,Grand Boulevard,914015,311085
39,Kenwood,852876,220353
40,Washington Park,122500,311723
41,Hyde Park,796761,134728
42,Woodlawn,396431,146406
43,South Shore,426799,180925
44,Chatham,17361,47947
45,Avalon Park,130699,147592
46,South Chicago,396602,589169
48,Calumet Heights,124417,46601
49,Roseland,187367,149844
50,Pullman,61250,16872
51,South Deering,139371,52534
52,East Side,254099,27667
53,West Pullman,30278,269664
55,Hegewisch,98692,14523
56,Garfield Ridge,544728,47283
57,Archer Heights,190102,49621
58,Brighton Park,311491,130741
59,McKinley Park,187662,35001
60,Bridgeport,474116,49416
61,New City,599986,182564
62,West Elsdon,216149,54248
63,Gage Park,379871,92656
64,Clearing,344858,51476
65,West Lawn,286140,57850
66,Chicago Lawn,372331,113399
68,Englewood,15417,6196
70,Ashburn,440548,103977
72,Beverly,677515,48148
74,Mount Greenwood,348345,17338
75,Morgan Park,305736,52752
76,O'Hare,190552,20569
77,Edgewater,849145,77330
